ID,RA,DEC,TYPE,FLUX_m400,FLUX_m425,FLUX_m450,FLUX_m475,FLUX_m500,FLUX_m525,FLUX_m550,FLUX_m575,FLUX_m600,FLUX_m625,FLUX_m650,FLUX_m675,FLUX_m700,FLUX_m725,FLUX_m800,FLUX_m825,FLUX_m850,FLUX_m875,ELL,Re,THETA
00027,311.27478126,-1.4389584375,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8339999999999996,-5.47729122396131
00028,311.51089895,-1.3982910316,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9349999999999996,-24.42866299994429
00029,310.77087268,-1.6054125414,STAR,,,,,,,,,,,,,,,,,,,0.0,3.052,-23.611694995930396
00030,311.3588926,-1.9960474518,STAR,,,,,,,,,,,,,,,,,,,0.0,2.951,-39.606129949725755
00031,311.28000934,-2.012197499,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9535,-22.695233619258918
00032,311.10047352,-2.0246270046,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9955,5.963116369742677
00033,310.69294408,-1.5770836305,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0585,-17.314945080919028
00034,311.46354882,-1.7197023239,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9130000000000003,-12.58227004572289
00035,311.38178787,-1.5793176188,STAR,,,,,,,,,,,,,,,,,,,0.0,2.896,-0.10945424406904994
00036,311.50767118,-1.5489839259,STAR,,,,,,,,,,,,,,,,,,,0.0,2.95,-48.60263343730933
00037,311.41023335,-1.5452183842,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9195,-24.449883952649742
00038,311.38023954,-1.5417985255,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8754999999999997,-37.23656340064988
00039,311.56654807,-1.7511590014,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0229999999999997,0.22307080823536699
00040,311.19584593,-1.7263818102,STAR,,,,,,,,,,,,,,,,,,,0.0,2.785,-17.4045386866535
00041,310.66926551,-1.7704653537,STAR,,,,,,,,,,,,,,,,,,,0.0,3.0255,-46.84721236825449
00042,311.02415387,-1.776844265,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8425,-27.9317158116027
00043,311.09545473,-1.5176579748,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8405,17.11763466890872
00044,310.94711717,-1.5325448884,STAR,,,,,,,,,,,,,,,,,,,0.0,2.84,-8.776677535360966
00045,311.10727737,-1.5498956981,STAR,,,,,,,,,,,,,,,,,,,0.0,2.836,-29.58332334159981
00046,311.33253498,-1.5544634973,STAR,,,,,,,,,,,,,,,,,,,0.0,2.842,-31.504626406675857
00047,311.5802176,-1.4934998043,STAR,,,,,,,,,,,,,,,,,,,0.0,2.963,11.370185489055231
00048,310.81483319,-1.5571452697,STAR,,,,,,,,,,,,,,,,,,,0.0,2.915,-13.718728088244287
00049,310.79002128,-1.6999993169,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9135,-42.41133999316675
00050,311.67743435,-1.7149205882,STAR,,,,,,,,,,,,,,,,,,,0.0,3.1115000000000004,-19.423780434728148
00051,310.79060656,-1.6805427707,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8555,-45.59256066824897
00052,311.50462057,-1.6780144011,STAR,,,,,,,,,,,,,,,,,,,0.0,2.928,-6.588214841526235
00053,311.4575922,-1.7128646707,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8994999999999997,-29.696700884692323
00054,311.12054572,-1.5721139255,STAR,,,,,,,,,,,,,,,,,,,0.0,2.825,-30.625967752752352
00055,311.2875011,-1.7573669738,STAR,,,,,,,,,,,,,,,,,,,0.0,2.7695,-25.14736598032438
00056,311.33670178,-1.6890714044,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8375,21.704242241974413
00057,311.54548898,-1.316315033,STAR,,,,,,,,,,,,,,,,,,,0.0,2.9450000000000003,-34.89816281817368
00058,310.64911752,-1.8558666264,STAR,,,,,,,,,,,,,,,,,,,0.0,3.086,2.741862051463394
00059,311.15088221,-1.5356701695,STAR,,,,,,,,,,,,,,,,,,,0.0,2.83,-18.947157580796123
00060,311.09676047,-1.8538426078,STAR,,,,,,,,,,,,,,,,,,,0.0,2.8255,-9.832525990082784
