RAJ2000,DEJ2000,objID,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
189.604798450,27.385511020,140861896048343227,503635968,60,0.0074,0.0020,56049.700740740,5,90,20.5383,0.0309,20.6557,0.0677,115000,19.3332,0.0095,19.4209,0.0145,115000,18.5607,0.0037,18.6565,0.0075,115000,18.2262,0.0062,18.3182,0.0138,115000,18.0237,0.0113,18.1248,0.0158,115000
189.611812640,27.378980310,140851896118475367,503635968,60,0.0062,0.0019,56041.689791670,5,84,18.4958,0.0049,18.5833,0.0078,115000,17.8769,0.0040,17.9297,0.0064,115000,17.6372,0.0029,17.6931,0.0062,115000,17.5396,0.0046,17.6445,0.0101,115000,17.4666,0.0083,17.5851,0.0210,115000
189.616056540,27.378793640,140851896160865141,503635968,60,0.0022,0.0027,56002.548854170,5,86,17.4021,0.0033,17.4805,0.0090,115000,16.9259,0.0045,16.9740,0.0039,115000,16.7440,0.0024,16.8016,0.0031,115000,16.6917,0.0024,16.7639,0.0056,115000,16.6434,0.0064,16.7275,0.0097,115000
189.374498920,27.367372870,140841893746001388,444915712,53,0.0552,0.0829,55898.390729170,5,20,21.7727,0.1969,21.3676,0.2260,16892216,21.8383,0.0740,21.0545,0.1756,16892216,21.6264,0.0999,20.8448,0.0759,16892216,21.1474,0.1866,20.5082,0.2734,16892216,,,,,114720
189.391649220,27.360557620,140831893917053219,444915712,53,0.0102,0.0130,56115.103414350,5,81,21.3396,0.0369,20.8726,0.0758,16892216,20.6240,0.0327,20.0193,0.0193,16892216,19.8855,0.0476,19.4790,0.0232,16892216,19.7072,0.0465,19.2755,0.0215,16892216,19.4309,0.0341,18.9642,0.0468,16892216
189.391115500,27.358626040,140831893911920911,436527104,52,0.0152,0.0207,56095.837418980,5,49,21.9816,0.1590,21.9267,0.2457,16892216,21.2288,0.0226,21.2914,0.0485,115000,20.8511,0.0195,20.8725,0.0622,115000,20.6558,0.0490,20.7531,0.1064,115000,20.1844,0.1293,20.1798,0.1280,115000
189.367827900,27.360956200,140831893679943850,436527104,52,0.0141,0.0158,56001.666944440,5,64,20.7739,0.0185,20.8505,0.0483,115000,20.4895,0.0139,20.5894,0.0267,115000,20.3886,0.0281,20.4814,0.0387,115000,20.3232,0.0258,20.4740,0.0462,115000,20.3621,0.2947,20.1209,0.2431,115000
189.393855150,27.360169650,140831893938812793,436527104,52,0.0064,0.0080,56068.843819440,5,92,18.7847,0.0125,18.8613,0.0227,115000,18.5087,0.0036,18.5969,0.0074,115000,18.4118,0.0032,18.5026,0.0070,115000,18.4147,0.0095,18.5068,0.0181,115000,18.3975,0.0128,18.4866,0.0210,115000
189.374740580,27.367365420,140841893749631417,310534144,37,0.0636,0.0636,56350.629988430,0,9,21.1139,0.1955,21.0234,0.2451,536,21.7992,0.1267,20.8743,0.0514,16777496,21.5421,0.0637,20.8079,0.2102,16777496,,,,,0,,,,,0
189.336104060,27.366740470,140841893361210630,436527232,52,0.0064,0.0069,56020.941678240,5,82,20.2411,0.0230,20.3412,0.0303,115000,19.2435,0.0150,19.3452,0.0165,115000,18.7565,0.0068,18.8400,0.0067,115000,18.5281,0.0088,18.6058,0.0181,115000,18.3924,0.0093,18.5014,0.0248,115000
189.353561260,27.358939330,140831893535631281,512024576,61,0.0043,0.0042,56015.235844910,5,81,19.3443,0.0313,18.9251,0.0158,16892216,18.4677,0.0303,17.8170,0.0067,16892216,17.9917,0.0387,17.4003,0.0081,16892216,17.8264,0.0265,17.2555,0.0099,16892216,17.6109,0.0187,17.1259,0.0214,16892216
189.354687350,27.361187660,140831893546803983,512024576,61,0.0118,0.0106,55958.916956020,5,78,20.2983,0.0480,19.5316,0.0201,16892216,19.9508,0.0222,18.7984,0.0118,16892216,19.2205,0.0583,18.4147,0.0102,16892216,19.0856,0.0360,18.3125,0.0270,16892216,18.8330,0.0361,18.2610,0.0399,16892216
189.325624790,27.358115450,140831893256610305,436527104,52,0.0713,0.1183,56090.712395830,4,12,21.7599,0.1959,,,114992,21.9417,0.0820,21.9359,0.0943,115000,21.8380,0.0869,21.5875,0.0603,115000,20.9723,0.1887,20.9486,0.3257,115000,,,,,16416
189.358182620,27.400866890,140881893581771561,444915712,53,0.0139,0.0162,55907.598703700,5,75,21.4788,0.0631,21.1673,0.1755,115000,20.8807,0.0308,20.6795,0.0358,16892216,20.6615,0.0437,20.3805,0.0343,16892216,20.4651,0.0519,20.2626,0.0615,115000,19.8854,0.2789,19.5648,0.2166,16892216
189.380033140,27.385331420,140861893800302950,503635968,60,0.0063,0.0069,56047.253807870,5,88,21.1478,0.0495,21.0348,0.1024,16892216,20.0570,0.0126,20.1106,0.0386,115000,18.9160,0.0058,19.0069,0.0051,115000,18.4086,0.0060,18.5016,0.0145,115000,18.1406,0.0102,18.2691,0.0326,115000
189.369441760,27.380054920,140851893694326612,436527104,52,0.0080,0.0127,55927.283969910,5,83,20.2452,0.0137,20.2887,0.0435,115000,19.9814,0.0126,20.0960,0.0255,115000,19.9097,0.0108,20.0303,0.0319,115000,19.8742,0.0218,19.9636,0.0490,115000,19.7657,0.0430,19.7494,0.0781,115000
189.353526870,27.386896900,140861893535324946,444915712,53,0.0175,0.0404,56065.810578700,5,57,21.9293,0.1791,21.5618,0.2299,16892216,21.6136,0.0513,21.0375,0.0633,16892216,20.8598,0.0360,20.4246,0.0380,16892216,20.5787,0.0602,20.1160,0.0567,16892216,20.1805,0.0518,19.6738,0.2493,16892216
189.359281090,27.402925830,140881893591834002,436363264,52,0.0767,0.0767,55879.628229170,3,6,21.9809,0.1868,21.9828,0.2538,115000,22.2385,0.2068,,,115000,22.0473,0.0522,22.3919,0.0559,115000,,,,,16416,,,,,16416
189.376236290,27.384572840,140861893762222027,444915712,53,0.0419,0.0537,56063.326770830,5,39,21.2958,0.2092,19.8202,0.0929,16892216,21.6281,0.0722,20.8268,0.0598,16892216,21.0362,0.0705,20.5438,0.0287,16892216,20.9533,0.1137,20.3030,0.1262,16892216,20.5152,0.1713,20.1107,0.2123,16892216
189.292119930,27.369417560,140841892921163855,444915712,53,0.0100,0.0110,56164.483796300,5,70,21.6545,0.0990,21.2102,0.1561,16892216,20.7347,0.0353,20.4487,0.0488,16892216,20.0223,0.0404,19.7627,0.0185,16892216,19.7014,0.0321,19.4906,0.0432,16892216,19.3922,0.0252,19.1581,0.0755,16892216
189.274284230,27.362271820,140831892742955238,444915712,53,0.0134,0.0115,55957.433842590,5,68,21.3041,0.0445,21.0943,0.1276,115000,20.8367,0.0304,20.4605,0.0428,16892216,20.3178,0.0544,19.9949,0.0356,16892216,20.1547,0.0349,19.8579,0.0537,16892216,19.9369,0.0604,19.7000,0.0348,16892216
189.287334900,27.359451600,140831892873231943,503635968,60,0.0044,0.0025,56037.179768520,5,91,16.6759,0.0081,16.7520,0.0091,115000,16.3985,0.0022,16.4486,0.0023,115000,16.2850,0.0018,16.3450,0.0033,115000,16.2767,0.0035,16.3408,0.0038,115000,16.2524,0.0043,16.3412,0.0052,115000
189.308031920,27.365092300,140831893081268620,444915712,53,0.0354,0.0417,56004.272210650,5,37,21.6141,0.1747,21.1739,0.2096,16892208,21.5510,0.0748,21.3184,0.1304,16892216,21.2503,0.0717,20.6734,0.0747,16892216,20.7862,0.1314,20.2180,0.1251,16892216,20.3577,0.0907,19.9726,0.0223,115000
189.233386740,27.362397130,140831892334165276,436527104,52,0.0701,0.1596,55846.258090280,8,14,21.8418,0.1590,21.2979,0.1897,16892216,21.9013,0.0767,21.5936,0.1498,115000,21.8945,0.0564,21.4561,0.0342,115000,,,,,114720,,,,,16416
189.250025200,27.374685790,140851892500090167,444915712,53,0.0226,0.0134,55826.523796300,10,80,19.9082,0.0464,19.1230,0.0130,16892216,19.6179,0.0473,18.4491,0.0231,16892216,19.2381,0.0536,18.0527,0.0222,16892216,18.7793,0.0283,17.8672,0.0158,16892216,18.5279,0.0349,17.7293,0.0151,16892216
189.260295230,27.362387190,140831892603215422,444915712,53,0.0092,0.0086,56113.372534720,5,79,21.6573,0.0411,21.5072,0.0925,115000,20.4789,0.0298,20.2446,0.0259,16892216,19.8711,0.0284,19.6901,0.0163,16892216,19.6396,0.0222,19.4276,0.0323,16892216,19.3706,0.0407,19.0733,0.0599,115000
189.253097970,27.360228770,140831892530742854,310697984,37,0.0152,0.0173,56012.382256940,0,86,19.5459,0.0572,18.1684,0.0208,16777496,19.2993,0.0504,17.6157,0.0188,16777496,18.9522,0.1123,17.3697,0.0211,16777496,19.0153,0.0605,17.2429,0.0131,16777496,18.5357,0.0465,17.2689,0.0292,16777496
189.257515730,27.370515580,140841892574975155,436527104,52,0.0180,0.0188,55899.852719910,5,57,21.4514,0.0199,21.3444,0.1015,115000,21.0712,0.0452,21.1314,0.1227,115000,20.8715,0.0269,20.8022,0.0722,115000,20.8260,0.0642,20.9664,0.1041,115000,20.4288,0.0198,,,115000
189.252042420,27.365214370,140831892519948833,436527104,52,0.0322,0.0503,55866.748622690,5,22,21.7395,0.1743,21.7999,0.2767,115000,21.8286,0.0627,21.3644,0.1478,16892216,21.3437,0.0378,20.9810,0.0625,115000,20.9820,0.0517,20.8494,0.0889,16892216,,,,,114720
189.273094930,27.379753570,140851892731376296,444915712,53,0.0158,0.0128,55989.799837960,5,93,20.5964,0.0488,18.9663,0.0686,16892216,20.1490,0.0398,18.1755,0.0137,16892216,19.3408,0.0426,17.8605,0.0208,16892216,19.3531,0.0719,17.7620,0.0273,16892216,19.0815,0.0454,17.8661,0.0254,16892216
189.283059060,27.394488430,140871892829384064,444915712,53,0.0297,0.0331,55870.115972220,5,44,21.6996,0.1421,21.4632,0.1338,115000,21.3597,0.0786,20.8993,0.0445,16892216,21.0209,0.0588,20.5418,0.0509,16892216,20.7675,0.0349,20.5166,0.0764,16892216,20.1447,0.4245,19.4696,0.0781,16892216
189.276975840,27.375654550,140851892769871294,503635968,60,0.0072,0.0031,55972.161655090,5,87,20.3523,0.0247,20.5022,0.0572,115000,19.1041,0.0063,19.2247,0.0198,115000,17.8827,0.0070,17.9461,0.0048,115000,17.3040,0.0039,17.4009,0.0068,115000,17.0286,0.0114,17.1538,0.0169,115000
189.267234930,27.399280250,140871892673559868,444915712,53,0.0941,0.0975,55774.717662040,4,8,22.0820,0.1840,21.7001,0.2736,115000,22.0689,0.0728,20.6600,0.1873,16892216,21.8267,0.1408,21.5836,0.2296,115000,21.5025,0.1751,20.7377,0.1928,16892216,18.6792,0.1791,17.4278,0.1095,16793912
189.266754550,27.369945300,140841892667834515,436527232,52,0.0331,0.0464,56024.435150460,5,36,21.9310,0.1970,22.1684,0.3149,115000,21.6139,0.0983,21.4226,0.0743,16892216,21.3430,0.0937,21.0752,0.1105,16892216,20.8015,0.1029,20.4078,0.2382,115000,,,,,114720
189.320814000,27.392521110,140871893208671643,444915712,53,0.0182,0.0302,56031.937476850,5,65,20.9997,0.0559,20.1393,0.0529,16892216,20.8560,0.0383,19.8374,0.0377,16892216,20.3831,0.0871,19.5397,0.0385,16892216,20.3463,0.0774,19.4186,0.0618,16892216,19.6627,0.0544,,,16892216
189.310743580,27.399771190,140881893105790234,444669952,53,0.0860,0.0860,55248.884131940,5,3,21.7932,0.1615,20.2851,0.1121,16892216,21.6617,0.1192,20.5387,0.1093,16892216,21.5587,0.1887,21.2361,0.2781,114992,,,,,114720,,,,,114720
189.320073750,27.382824000,140851893199289972,310697984,37,0.0729,0.1052,56069.306724540,0,19,21.7705,0.1308,22.1881,0.2976,4120,21.7907,0.1809,21.3183,0.1913,16777496,21.5658,0.0757,20.8862,0.1338,16777496,20.9443,0.0617,20.5683,0.0605,16777496,,,,,0
189.309066180,27.375788030,140851893090961450,436527104,52,0.0096,0.0083,55952.240543980,5,67,20.2802,0.0666,20.4788,0.0976,115000,20.0973,0.0157,20.1735,0.0242,115000,20.0365,0.0207,20.2003,0.0422,115000,19.9767,0.0236,20.1069,0.0424,115000,19.9817,0.0661,20.0067,0.1352,115000
189.316253090,27.378688810,140851893162754971,503635968,60,0.0034,0.0030,55926.321550930,5,86,18.5228,0.0089,18.6149,0.0173,115000,17.5124,0.0052,17.5827,0.0030,115000,17.0740,0.0033,17.1397,0.0073,115000,16.8577,0.0032,16.9349,0.0057,115000,16.7282,0.0056,16.8393,0.0072,115000
189.328753260,27.378298450,140851893287874531,444915712,53,0.0112,0.0108,56151.431979170,5,66,21.6199,0.1590,21.7277,0.3301,115000,21.2382,0.0479,20.6760,0.0495,16892216,20.1063,0.0143,19.6692,0.0191,16892216,19.8559,0.0343,19.4217,0.0350,16892216,19.4522,0.0628,18.9688,0.0483,16892216
189.311388460,27.384655210,140861893113892109,444915712,53,0.0161,0.0174,55940.102118060,5,64,20.9822,0.0733,20.1915,0.1941,16892216,20.5670,0.0361,20.0858,0.0494,16892216,20.3839,0.0446,19.8506,0.0476,16892216,19.9352,0.0499,19.4718,0.0301,16892216,19.9616,0.0405,19.5562,0.1058,16892216
189.324940310,27.385509150,140861893249783155,444915712,53,0.0120,0.0137,56004.139004630,5,65,21.7361,0.1706,20.8126,0.3093,115000,20.8436,0.0347,20.2677,0.0545,16892216,20.0381,0.0339,19.5530,0.0363,16892216,19.7548,0.0514,19.1654,0.0432,16892216,19.5090,0.0736,19.2054,0.1208,115000
189.312614820,27.367788470,140841893125701900,444915712,53,0.0094,0.0097,56049.589166670,5,73,21.7815,0.1488,21.3784,0.0400,16892216,20.4998,0.0390,19.8976,0.0306,16892216,20.0504,0.0222,19.2123,0.0411,16892216,19.4416,0.0346,18.9010,0.0331,16892216,19.2797,0.0439,18.5974,0.0505,16892216
189.324770020,27.387385390,140861893247315288,444915712,53,0.0226,0.0256,56035.849363430,5,43,21.7443,0.1590,20.4519,0.1336,16892216,21.5933,0.0493,21.2312,0.0577,16892216,21.0042,0.0634,20.7675,0.0638,115000,20.5935,0.0455,20.2871,0.1163,16892216,20.5811,0.1834,19.8233,0.1938,16892216
189.336357480,27.385683950,140861893362783419,436527104,52,0.0700,0.0715,56000.188472220,5,27,21.8525,0.2218,21.6890,0.0922,115000,21.8331,0.0827,21.3538,0.0570,16892216,21.5092,0.0901,21.2743,0.0930,115000,21.2344,0.2204,20.7559,0.3268,115000,,,,,114720
189.338756640,27.399092630,140871893387849453,436527104,52,0.0098,0.0094,55951.090416670,5,86,20.0239,0.0168,20.1187,0.0223,115000,19.6584,0.0085,19.7390,0.0138,115000,19.5210,0.0101,19.6492,0.0239,115000,19.5458,0.0204,19.6653,0.0384,115000,19.4409,0.0176,19.5760,0.0791,115000
189.328922060,27.401909350,140881893289492867,436527104,52,0.0134,0.0065,56070.030520830,5,69,21.6494,0.0509,21.6506,0.1789,115000,20.6303,0.0106,20.7089,0.0295,115000,20.1596,0.0224,20.2481,0.0397,115000,19.9092,0.0252,20.0680,0.0362,115000,19.6393,0.0527,19.8033,0.0918,115000
189.338568730,27.404266130,140881893385705659,436527104,52,0.0127,0.0149,56053.471203700,5,66,21.8438,0.1731,,,115000,21.2174,0.0259,21.2772,0.0661,115000,20.5292,0.0314,20.5675,0.0603,115000,20.1428,0.0345,20.1298,0.0588,115000,19.9814,0.0602,20.0319,0.0952,115000
189.331792500,27.415780100,140891893318299506,444915712,53,0.0071,0.0087,56094.333587960,5,89,21.6014,0.0572,21.0316,0.0862,16892216,20.2869,0.0239,19.8953,0.0198,16892216,19.6018,0.0200,19.2549,0.0141,16892216,19.3714,0.0320,18.9833,0.0383,16892216,19.1202,0.0425,18.7241,0.0730,16892216
