star_name_1,spectrum_name_input,spectrum_name,matched_alias,spectrum_filename,spectrum_filepath,ra_j2000_hms,dec_j2000_dms,ra_j2000_deg,dec_j2000_deg,pmra_masyr,pmdec_masyr,proper_motion_applied,coordinate_note,ra_2026_deg,dec_2026_deg,ra_2026_hms,dec_2026_dms,vr_kms,simbad_name,alt_simbad_name,filename,ra,dec,tile_id,calv_name,star_name_2,spectral_type,catalog_mag_original,catalog_mag,catalog_mag_band,B-V,num_images_tile,num_images_objname
NGC6681-3,ngc66813,ngc6681_3,ngc66813,ngc6681_3_stis_002.fits,/data3/doabdi/intern/synthetic/calspec_data/ngc6681_3_stis_002.fits,18 43 13.041,-32 17 25.41,280.8043374999999,-32.290391666666665,,,False,proper_motion_missing_j2000_used,280.8043374999999,-32.290391666666665,18:43:13.0410,-32:17:25.410,218.7,,,ngc6681_3_stis_002.fits,280.8043374999999,-32.290391666666665,8811.0,ngc6681_3,NGC6681-3,...,16.9,16.9,V,0.03,0,0
NGC6681-4,ngc66814,ngc6681_4,ngc66814,ngc6681_4_stis_002.fits,/data3/doabdi/intern/synthetic/calspec_data/ngc6681_4_stis_002.fits,18 43 12.893,-32 17 26.43,280.8037208333333,-32.290675,,,False,proper_motion_missing_j2000_used,280.8037208333333,-32.290675,18:43:12.8930,-32:17:26.430,218.7,,,ngc6681_4_stis_002.fits,280.8037208333333,-32.290675,8811.0,ngc6681_4,NGC6681-4,...,16.14,16.14,V,0.04,0,0
NGC6681-5,ngc66815,ngc6681_5,ngc66815,ngc6681_5_stis_002.fits,/data3/doabdi/intern/synthetic/calspec_data/ngc6681_5_stis_002.fits,18 43 12.872,-32 17 26.56,280.80363333333327,-32.29071111111111,,,False,proper_motion_missing_j2000_used,280.80363333333327,-32.29071111111111,18:43:12.8720,-32:17:26.560,218.7,,,ngc6681_5_stis_002.fits,280.80363333333327,-32.29071111111111,8811.0,ngc6681_5,NGC6681-5,...,16.37,16.37,V,0.03,0,0
NGC6681-6,ngc66816,ngc6681_6,ngc66816,ngc6681_6_stis_002.fits,/data3/doabdi/intern/synthetic/calspec_data/ngc6681_6_stis_002.fits,18 43 12.755,-32 17 25.69,280.8031458333333,-32.29046944444444,,,False,proper_motion_missing_j2000_used,280.8031458333333,-32.29046944444444,18:43:12.7550,-32:17:25.690,218.7,,,ngc6681_6_stis_002.fits,280.8031458333333,-32.29046944444444,8811.0,ngc6681_6,NGC6681-6,...,16.2,16.2,V,0.04,0,0
NGC6681-7,ngc66817,ngc6681_7,ngc66817,ngc6681_7_stis_002.fits,/data3/doabdi/intern/synthetic/calspec_data/ngc6681_7_stis_002.fits,18 43 12.639,-32 17 27.09,280.80266249999994,-32.29085833333333,,,False,proper_motion_missing_j2000_used,280.80266249999994,-32.29085833333333,18:43:12.6390,-32:17:27.090,218.7,,,ngc6681_7_stis_002.fits,280.80266249999994,-32.29085833333333,8811.0,ngc6681_7,NGC6681-7,...,16.05,16.05,V,1.24,0,0
NGC6681-9,ngc66819,ngc6681_9,ngc66819,ngc6681_9_stis_002.fits,/data3/doabdi/intern/synthetic/calspec_data/ngc6681_9_stis_002.fits,18 43 12.199,-32 17 27.11,280.8008291666666,-32.290863888888886,,,False,proper_motion_missing_j2000_used,280.8008291666666,-32.290863888888886,18:43:12.1990,-32:17:27.110,218.7,,,ngc6681_9_stis_002.fits,280.8008291666666,-32.290863888888886,8811.0,ngc6681_9,NGC6681-9,...,15.8,15.8,V,0.18,0,0
NGC6681-11,ngc668111,ngc6681_11,ngc668111,ngc6681_11_stis_002.fits,/data3/doabdi/intern/synthetic/calspec_data/ngc6681_11_stis_002.fits,18 43 12.049,-32 17 27.52,280.8002041666666,-32.290977777777776,,,False,proper_motion_missing_j2000_used,280.8002041666666,-32.290977777777776,18:43:12.0490,-32:17:27.520,218.7,,,ngc6681_11_stis_002.fits,280.8002041666666,-32.290977777777776,8811.0,ngc6681_11,NGC6681-11,...,15.65,15.65,V,0.22,0,0
SF1615+001A,sf1615001a,sf1615_001a,sf1615001a,sf1615_001a_mod_006.fits,/data3/doabdi/intern/synthetic/calspec_data/sf1615_001a_mod_006.fits,16 18 14.240,+00 00 08.61,244.5593333333333,0.0023916666666666,2.55,-10.93,True,proper_motion_applied,244.55935175,0.0023127277777777,16:18:14.2444,+00:00:08.326,,2MASS J16181422+0000086,[B2010] SF1615+001A,sf1615_001a_mod_006.fits,244.55935175,0.0023127277777777,18885.0,sf1615_001a,SF1615+001A,G,16.75,16.75,V,0.49,78,0
VB8,vb8,vb8,vb8,vb8_stisnic_006.fits,/data3/doabdi/intern/synthetic/calspec_data/vb8_stisnic_006.fits,16 55 35.256,-08 23 40.75,253.8969,-8.394652777777777,-813.42,-870.61,True,proper_motion_applied,253.8909615804276,-8.400940472162734,16:55:33.8308,-08:24:03.386,15.0,,,vb8_stisnic_006.fits,253.8909615804276,-8.400940472162734,16099.0,vb8,VB8,M7V,16.92,16.92,V,1.8,78,0
WD0227+050,wd0227050,wd0227_050,wd0227050,wd0227_050_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd0227_050_mod_001.fits,02 30 16.628,+05 15 50.70,37.56928333333333,5.264083333333334,76.96,-24.5,True,proper_motion_applied,37.56984150955788,5.263906388640502,02:30:16.7620,+05:15:50.063,16.5,,,wd0227_050_mod_001.fits,37.56984150955788,5.263906388640502,20562.0,wd0227_050,WD0227+050,DA2.5,12.8,12.8,V,-0.05,0,3269
WD0809+177,wd0809177,wd0809_177,wd0809177,wd0809_177_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd0809_177_mod_001.fits,08 12 37.809,+17 37 01.43,123.15753749999996,17.61706388888889,73.48,-87.17,True,proper_motion_applied,123.1580943006693,17.616434326997403,08:12:37.9426,+17:36:59.164,,,,wd0809_177_mod_001.fits,123.1580943006693,17.616434326997403,24675.0,wd0809_177,WD0809+177,DA,13.46,13.46,V,,72,0
WD1105-048,wd1105048,wd1105_048,wd1105048,wd1105_048_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd1105_048_mod_001.fits,11 07 59.950,-05 09 26.03,166.99979166666665,-5.157230555555556,-55.55,-442.63,True,proper_motion_applied,166.99938883946697,-5.160427327647611,11:07:59.8533,-05:09:37.538,47.9,,,wd1105_048_mod_001.fits,166.99938883946697,-5.160427327647611,17209.0,wd1105_048,WD1105-048,DA3,13.06,13.06,V,0.04,78,0
WD1105-340,wd1105340,wd1105_340,wd1105340,wd1105_340_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd1105_340_mod_001.fits,11 07 47.897,-34 20 51.49,166.9495708333333,-34.347636111111115,39.89,-263.43,True,proper_motion_applied,166.94991978039204,-34.34953866061541,11:07:47.9807,-34:20:58.339,,,,wd1105_340_mod_001.fits,166.94991978039204,-34.34953866061541,8343.0,wd1105_340,WD1105-340,DA3.6,13.63,13.63,V,0.16,0,0
WD1202-232,wd1202232,wd1202_232_stiswfc_002,wd1202232,wd1202_232_stiswfc_002.fits,/data3/doabdi/intern/synthetic/calspec_data/wd1202_232_stiswfc_002.fits,12 05 26.674,-23 33 12.14,181.36114166666667,-23.553372222222222,41.82,226.56,True,proper_motion_applied,181.3614711457221,-23.551735955209,12:05:26.7531,-23:33:06.249,23.3,,,wd1202_232_stiswfc_002.fits,181.3614711457221,-23.551735955209,11279.0,wd1202_232,WD1202-232,DA5.7,12.9,12.9,V,0.14,78,0
WD1327-083,wd1327083,wd1327_083,wd1327083,wd1327_083_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd1327_083_mod_001.fits,13 30 13.637,-08 34 29.47,202.5568208333333,-8.574852777777778,-1111.1,-472.38,True,proper_motion_applied,202.5487054356384,-8.578264326338628,13:30:11.6893,-08:34:41.752,36.0,Gaia DR2 3630035787972473600,,wd1327_083_mod_001.fits,202.5487054356384,-8.578264326338628,16099.0,wd1327_083,WD1327-083,DA3.5,12.34,12.34,V,0.06,84,0
WD1544-377,wd1544377,wd1544_377_stiswfc_002,wd1544377,wd1544_377_stiswfc_002.fits,/data3/doabdi/intern/synthetic/calspec_data/wd1544_377_stiswfc_002.fits,15 47 30.021,-37 55 08.46,236.8750875,-37.91901666666666,-423.69,-209.11,True,proper_motion_applied,236.87120852531453,-37.92052684189717,15:47:29.0900,-37:55:13.897,21.1,,,wd1544_377_stiswfc_002.fits,236.87120852531453,-37.92052684189717,7213.0,wd1544_377,WD1544-377,DA4.8,12.8,12.8,V,0.3,0,1400
WD1919+145,wd1919145,wd1919_145,wd1919145,wd1919_145_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd1919_145_mod_001.fits,19 21 40.418,+14 40 41.40,290.4184083333333,14.678166666666666,-33.02,-75.93,True,proper_motion_applied,290.4181618107357,14.677618283203351,19:21:40.3588,+14:40:39.426,49.5,,,wd1919_145_mod_001.fits,290.4181618107357,14.677618283203351,23597.0,wd1919_145,WD1919+145,DA3.3,13.01,13.01,V,0.06,0,1400
WD2039-682,wd2039682,wd2039_682,wd2039682,wd2039_682_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd2039_682_mod_001.fits,20 44 21.459,-68 05 21.36,311.0894125,-68.08926666666666,182.1,-228.17,True,proper_motion_applied,311.0929371412077,-68.09091452357995,20:44:22.3049,-68:05:27.292,57.0,,,wd2039_682_mod_001.fits,311.0929371412077,-68.09091452357995,1393.0,wd2039_682,WD2039-682,DA3.0,13.3,13.3,V,0.05,60,2030
WD2149+021,wd2149021,wd2149_021,wd2149021,wd2149_021_mod_002.fits,/data3/doabdi/intern/synthetic/calspec_data/wd2149_021_mod_002.fits,21 52 25.379,+02 23 19.58,328.10574583333334,2.3887722222222223,15.32,-300.53,True,proper_motion_applied,328.10585657383456,2.3866017277743627,21:52:25.4056,+02:23:11.766,28.2,,,wd2149_021_mod_002.fits,328.10585657383456,2.3866017277743627,19725.0,wd2149_021,WD2149+021,DA2.8,12.74,12.74,V,-0.01,0,1400
WD0308-565,wd0308565,wd0308_565,wd0308565,wd0308_565_mod_008.fits,/data3/doabdi/intern/synthetic/calspec_data/wd0308_565_mod_008.fits,03 09 47.918,-56 23 49.41,47.449658333333325,-56.39705833333333,149.26,66.81,True,proper_motion_applied,47.45160612587628,-56.3965758014054,03:09:48.3855,-56:23:47.673,68.0,,,wd0308_565_mod_008.fits,47.45160612587628,-56.3965758014054,3232.0,wd0308_565,WD0308-565,sdB,14.14,14.14,V,-0.15,0,1400
WD0320-539,wd0320539,wd0320_539,wd0320539,wd0320_539_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd0320_539_mod_001.fits,03 22 14.820,-53 45 16.47,50.56174999999999,-53.754575,6.67,-59.93,True,proper_motion_applied,50.56183147671103,-53.75500782775015,03:22:14.8396,-53:45:18.028,59.4,,,wd0320_539_mod_001.fits,50.56183147671103,-53.75500782775015,3717.0,wd0320_539,WD0320-539,DA1.5,14.9,14.9,V,,60,0
WD0859-039,wd0859039,wd0859_039,wd0859039,wd0859_039_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd0859_039_mod_001.fits,09 02 17.299,-04 06 55.48,135.57207916666664,-4.115411111111111,-4.33,6.4,True,proper_motion_applied,135.57204781360286,-4.115364888888274,09:02:17.2915,-04:06:55.314,4.6,,,wd0859_039_mod_001.fits,135.57204781360286,-4.115364888888274,17488.0,wd0859_039,WD0859-039,DA2.1,12.4,12.4,V,0.8,90,1350
WD1031-114,wd1031114,wd1031_114,wd1031114,wd1031_114_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd1031_114_mod_001.fits,10 33 42.763,-11 41 38.34,158.42817916666667,-11.693983333333334,-343.95,-27.99,True,proper_motion_applied,158.42564242925295,-11.69418547218739,10:33:42.1542,-11:41:39.068,35.7,,,wd1031_114_mod_001.fits,158.42564242925295,-11.69418547218739,14998.0,wd1031_114,WD1031-114,DA1.9,13.01,13.01,V,-0.16,78,810
WD2039-202,wd2039202,wd2039_202,wd2039202,wd2039_202_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd2039_202_mod_001.fits,20 42 34.752,-20 04 35.93,310.6447999999999,-20.07664722222222,357.8,-96.28,True,proper_motion_applied,310.6475513078745,-20.077342556478868,20:42:35.4123,-20:04:38.433,-2.3,,,wd2039_202_mod_001.fits,310.6475513078745,-20.077342556478868,12315.0,wd2039_202,WD2039-202,DA2.5,12.4,12.4,V,-0.08,78,0
WD2051-208,wd2051208,wd2051_208,wd2051208,wd2051_208_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wd2051_208_mod_001.fits,20 54 42.799,-20 39 25.93,313.67832916666663,-20.657202777777776,68.93,10.25,True,proper_motion_applied,313.67886119978203,-20.657128749184608,20:54:42.9267,-20:39:25.663,161.3,,,wd2051_208_mod_001.fits,313.67886119978203,-20.657128749184608,12315.0,wd2051_208,WD2051-208,DA2.3,15.06,15.06,V,-0.06,123,0
WDFS1206-27,wdfs120627,wdfs1206_27,wdfs120627,wdfs1206_27_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wdfs1206_27_mod_001.fits,12 06 20.351,-27 29 40.68,181.5847958333333,-27.494633333333333,3.02,2.8,True,proper_motion_applied,181.5848204215829,-27.49461311110895,12:06:20.3569,-27:29:40.607,,WD1203-272,,wdfs1206_27_mod_001.fits,181.5848204215829,-27.49461311110895,10269.0,wdfs1206_27,WDFS1206-27,DA,G=16.67,16.67,G,,252,0
WDFS1514+00,wdfs151400,wdfs1514_00,wdfs151400,wdfs1514_00_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wdfs1514_00_mod_001.fits,15 14 21.273,+00 47 52.81,228.5886375,0.7980027777777777,4.35,-26.86,True,proper_motion_applied,228.5886689197125,0.7978087888887695,15:14:21.2805,+00:47:52.112,15.6,WD1511+009,SDSSJ151421.27+004752.8,wdfs1514_00_mod_001.fits,228.5886689197125,0.7978087888887695,19165.0,wdfs1514_00,WDFS1514+00,DA,G=15.88,15.88,G,,78,0
WDFS1535-77,wdfs153577,wdfs1535_77,wdfs153577,wdfs1535_77_mod_001.fits,/data3/doabdi/intern/synthetic/calspec_data/wdfs1535_77_mod_001.fits,15 35 45.310,-77 24 44.13,233.93879166666665,-77.41225833333334,-26.88,-43.75,True,proper_motion_applied,233.93790085690185,-77.41257430408268,15:35:45.0962,-77:24:45.267,,WD1529-772,,wdfs1535_77_mod_001.fits,233.93790085690185,-77.41257430408268,470.0,wdfs1535_77,WDFS1535-77,DA,G=16.76,16.76,G,,66,0
