|  star_names | sp_types | g_magnitudes | v_magnitudes | b_v_colors |       names |   models |      stis_names | var_percentages |           ra |          dec |    vr |   pm_ra |  pm_dec |                  simbad_name |     alt_simbad_name | tileid |            tile_ra |           tile_dec | is_observed | is_processed |
|   NGC6681-3 |      ... |              |         16.9 |       0.03 |   NGC6681_3 |          |       _stis_002 |                 | 18 43 13.041 | -32 17 25.41 | 218.7 |         |         |                              |                     | T08997 | 281.34453781512605 | -32.26415094339622 |       False |        False |
|   NGC6681-4 |      ... |              |        16.14 |       0.04 |   NGC6681_4 |          |       _stis_002 |                 | 18 43 12.893 | -32 17 26.43 | 218.7 |         |         |                              |                     | T08997 | 281.34453781512605 | -32.26415094339622 |       False |        False |
|   NGC6681-5 |      ... |              |        16.37 |       0.03 |   NGC6681_5 |          |       _stis_002 |                 | 18 43 12.872 | -32 17 26.56 | 218.7 |         |         |                              |                     | T08997 | 281.34453781512605 | -32.26415094339622 |       False |        False |
|   NGC6681-6 |      ... |              |         16.2 |       0.04 |   NGC6681_6 |          |       _stis_002 |                 | 18 43 12.755 | -32 17 25.69 | 218.7 |         |         |                              |                     | T08997 | 281.34453781512605 | -32.26415094339622 |       False |        False |
|   NGC6681-7 |      ... |              |        16.05 |       1.24 |   NGC6681_7 |          |       _stis_002 |                 | 18 43 12.639 | -32 17 27.09 | 218.7 |         |         |                              |                     | T08997 | 281.34453781512605 | -32.26415094339622 |       False |        False |
|   NGC6681-8 |      ... |              |        17.01 |      -0.01 |   NGC6681_8 |          |       _stis_002 |                 | 18 43 12.278 | -32 17 27.51 | 218.7 |         |         |                              |                     | T08997 | 281.34453781512605 | -32.26415094339622 |       False |        False |
|   NGC6681-9 |      ... |              |         15.8 |       0.18 |   NGC6681_9 |          |       _stis_002 |                 | 18 43 12.199 | -32 17 27.11 | 218.7 |         |         |                              |                     | T08997 | 281.34453781512605 | -32.26415094339622 |       False |        False |
| SF1615+001A |        G |              |        16.75 |       0.49 | sf1615_001a | _mod_006 |    _stisnic_011 |                 | 16 18 14.240 | +00 00 08.61 |       |     2.4 |  -10.94 |      2MASS J16181422+0000086 | [B2010] SF1615+001A | T19075 | 244.28571428571428 |                0.0 |       False |        False |
|         VB8 |      M7V |              |        16.92 |        1.8 |         vb8 |          | _stiswfcnic_004 |                 | 16 55 35.256 | -08 23 40.75 |  15.0 | -813.42 | -870.61 |                              |                     | T16294 | 253.42960288808666 |  -8.49056603773585 |       False |        False |
|  WD0227+050 |    DA2.5 |              |         12.8 |      -0.05 |  wd0227_050 | _mod_001 |    _stiswfc_003 |                 | 02 30 16.628 | +05 15 50.70 |  16.5 |   76.96 |   -24.5 |                              |                     | T20591 |  37.41935483870968 |  5.094339622641511 |       False |        False |
|  WD0308-565 |      sdB |              |        14.07 |      -0.11 |  wd0308_565 | _mod_007 |       _stis_009 |                 | 03 09 47.918 | -56 23 49.41 | -68.0 |  149.24 |   66.92 |                              |                     | T03253 |  47.84810126582279 |  -56.0377358490566 |       False |        False |
|  WD0809+177 |       DA |              |        13.46 |            |  wd0809_177 | _mod_001 |    _stiswfc_003 |                 | 08 12 37.809 | +17 37 01.43 |       |   73.48 |  -87.17 |                              |                     | T24766 | 122.69662921348313 | 17.830188679245293 |        True |         True |
|  WD1105-048 |      DA3 |              |        13.06 |       0.04 |  wd1105_048 | _mod_001 |    _stiswfc_003 |                 | 11 07 59.950 | -05 09 26.03 |  47.9 |  -55.55 | -442.63 |                              |                     | T17338 | 166.45161290322582 | -5.094339622641511 |       False |        False |
|  WD1105-340 |    DA3.6 |              |        13.63 |       0.16 |  wd1105_340 | _mod_001 |    _stiswfc_003 |                 | 11 07 47.897 | -34 20 51.49 |       |   39.89 | -263.43 |                              |                     | T08451 | 166.86695278969958 |  -33.9622641509434 |       False |        False |
|  WD1202-232 |    DA5.7 |              |         12.9 |       0.14 |  wd1202_232 |          |    _stiswfc_002 |                 | 12 05 26.674 | -23 33 12.14 |  23.3 |   41.82 |  226.56 |                              |                     | T11408 | 180.70038910505838 | -23.77358490566037 |        True |         True |
|  WD1327-083 |    DA3.5 |              |        12.34 |       0.06 |  wd1327_083 | _mod_001 |    _stiswfc_005 |                 | 13 30 13.637 | -08 34 29.47 |  36.0 | -1111.1 | -472.38 | Gaia DR2 3630035787972473600 |                     | T16255 | 202.74368231046932 |  -8.49056603773585 |       False |        False |
|  WD1544-377 |    DA4.8 |              |         12.8 |       0.30 |  wd1544_377 |          |    _stiswfc_002 |                 | 15 47 30.021 | -37 55 08.46 |  21.1 | -423.69 | -209.11 |                              |                     | T07358 |  236.1990950226244 | -38.20754716981132 |       False |        False |
|  WD1919+145 |    DA3.3 |              |        13.01 |       0.06 |  wd1919_145 | _mod_001 |    _stiswfc_002 |                 | 19 21 40.418 | +14 40 41.40 |  49.5 |  -33.02 |  -75.93 |                              |                     | T23816 | 290.92250922509226 | 14.433962264150942 |       False |        False |
|  WD2039-682 |    DA3.0 |              |         13.3 |       0.05 |  wd2039_682 | _mod_001 |    _stiswfc_002 |                 | 20 44 21.459 | -68 05 21.36 |  57.0 |   182.1 | -228.17 |                              |                     | T01485 | 309.53271028037386 |  -67.9245283018868 |        True |         True |
|  WD2149+021 |    DA2.8 |              |        12.74 |      -0.01 |  wd2149_021 | _mod_001 |    _stiswfc_002 |                 | 21 52 25.379 | +02 23 19.58 |  28.2 |   15.32 | -300.53 |                              |                     | T19979 |   327.741935483871 | 2.5471698113207557 |       False |        False |
