wavelength,response
1000,0.03735
1010,0.03735
1020,0.03735
1030,0.03735
1040,0.03735
1050,0.03735
1060,0.03735
1070,0.03735
1080,0.03735
1090,0.03735
1100,0.03735
1110,0.03735
1120,0.03735
1130,0.03735
1140,0.03735
1150,0.03735
1160,0.03735
1170,0.03735
1180,0.03735
1190,0.03735
1200,0.03735
1210,0.03735
1220,0.03735
1230,0.03735
1240,0.03735
1250,0.03735
1260,0.03735
1270,0.03735
1280,0.03735
1290,0.03735
1300,0.03735
1310,0.03735
1320,0.03735
1330,0.03735
1340,0.03735
1350,0.03735
1360,0.03735
1370,0.03735
1380,0.03735
1390,0.03735
1400,0.03735
1410,0.03735
1420,0.03735
1430,0.03735
1440,0.03735
1450,0.03735
1460,0.03735
1470,0.03735
1480,0.03735
1490,0.03735
1500,0.03735
1510,0.03735
1520,0.03735
1530,0.03735
1540,0.03735
1550,0.03735
1560,0.03735
1570,0.03735
1580,0.03735
1590,0.03735
1600,0.03735
1610,0.06051
1620,0.08470
1630,0.11022
1640,0.13657
1650,0.16408
1660,0.19133
1670,0.20844
1680,0.22601
1690,0.24369
1700,0.26193
1710,0.26752
1720,0.27055
1730,0.27399
1740,0.28486
1750,0.30568
1760,0.32660
1770,0.33251
1780,0.33784
1790,0.34233
1800,0.34752
1810,0.35233
1820,0.35684
1830,0.36215
1840,0.36660
1850,0.37055
1860,0.37807
1870,0.38430
1880,0.39229
1890,0.39509
1900,0.39489
1910,0.39053
1920,0.38793
1930,0.38480
1940,0.38072
1950,0.37748
1960,0.37509
1970,0.37249
1980,0.37062
1990,0.36777
2000,0.36486
2010,0.35808
2020,0.35099
2030,0.34414
2040,0.33649
2050,0.32944
2060,0.32177
2070,0.31356
2080,0.30554
2090,0.29709
2100,0.28865
2110,0.28349
2120,0.27796
2130,0.27257
2140,0.26639
2150,0.26076
2160,0.25467
2170,0.24871
2180,0.24218
2190,0.23663
2200,0.22973
2210,0.22033
2220,0.21090
2230,0.20179
2240,0.19284
2250,0.18509
2260,0.17869
2270,0.17235
2280,0.16623
2290,0.16000
2300,0.15417
2310,0.14839
2320,0.14277
2330,0.13720
2340,0.13257
2350,0.12813
2360,0.12394
2370,0.11976
