wavelength,response
6760.00000,0.00000
6807.61084,0.00651
6849.89453,0.10010
6883.72070,0.12135
6942.91748,0.94543
7010.57080,0.97375
7052.85400,0.95953
7095.13721,0.97794
7188.16064,0.97362
7230.44385,0.99061
7323.46729,0.97920
7408.03369,0.97488
7458.77393,0.97910
7517.97021,0.97197
7577.16699,0.98186
7644.82031,0.97755
7653.27686,0.97896
7704.01709,0.97326
7771.67041,0.98314
7890.06348,0.97880
7983.08691,0.98157
8118.39307,0.98005
8202.95996,0.98567
8262.15625,0.97428
8355.17969,0.72315
8431.29004,0.32309
8524.31250,0.09891
8600.42285,0.02085
8642.70605,0.00805
8680.00000,0.00000
