wavelength,response
7000.00000,0.00000
7000.16992,0.00010
7000.33008,0.00020
7000.50000,0.00030
7000.66992,0.00040
7000.83984,0.00050
7001.00977,0.00060
7001.18018,0.00070
7001.33984,0.00080
7001.50977,0.00090
7001.68018,0.00100
7001.85010,0.00110
7002.02002,0.00130
7002.18018,0.00140
7002.35986,0.00150
7002.52002,0.00160
7002.68994,0.00170
7002.85986,0.00180
7003.02002,0.00190
7003.18994,0.00200
7003.35986,0.00210
7003.52979,0.00220
7003.70020,0.00230
7003.87012,0.00240
7004.04004,0.00250
7004.20996,0.00260
7004.37012,0.00270
7004.54004,0.00280
7004.70996,0.00290
7004.87012,0.00300
7005.04004,0.00310
7005.20996,0.00320
7005.37988,0.00330
7005.54980,0.00340
7005.72021,0.00350
7005.89014,0.00360
7006.04980,0.00380
7006.22021,0.00390
7006.39014,0.00400
7006.56006,0.00410
7006.72021,0.00420
7006.89990,0.00430
7007.06982,0.00440
7007.22998,0.00450
7007.39990,0.00460
7007.56982,0.00470
7007.74023,0.00480
7007.89990,0.00490
7008.06982,0.00500
7008.24023,0.00510
7008.41016,0.00520
7008.58008,0.00530
7008.75000,0.00540
7008.91992,0.00550
7009.08008,0.00560
7009.25000,0.00570
7009.41992,0.00580
7009.58984,0.00590
7009.75977,0.00600
7009.93018,0.00620
7010.08984,0.00630
7010.25977,0.00640
7010.43018,0.00650
7010.60010,0.00660
7010.77002,0.00670
7010.93018,0.00680
7011.10010,0.00690
7011.27002,0.00700
7011.43994,0.00710
7011.60986,0.00720
7011.77979,0.00730
7011.95020,0.00740
7012.12012,0.00750
7012.27979,0.00760
7012.45020,0.00770
7012.62012,0.00780
7012.79004,0.00790
7012.95996,0.00800
7013.12988,0.00810
7013.29004,0.00820
7013.45996,0.00830
7013.62988,0.00850
7013.79980,0.00860
7013.97021,0.00870
7014.14014,0.00880
7014.29980,0.00890
7014.47998,0.00900
7014.64014,0.00910
7014.81006,0.00920
7014.97998,0.00930
7015.14990,0.00940
7015.31006,0.00950
7015.47998,0.00960
7015.64990,0.00970
7015.81982,0.00980
7015.99023,0.00990
7016.16016,0.01000
7016.33008,0.01010
7016.49023,0.01020
7016.66016,0.01030
7016.83008,0.01040
7017.00000,0.01050
7017.16992,0.01060
7017.33984,0.01070
7017.50977,0.01090
7017.68018,0.01100
7017.85010,0.01110
7018.00977,0.01120
7018.18018,0.01130
7018.35010,0.01140
7018.52002,0.01150
7018.68994,0.01160
7018.85010,0.01170
7019.02002,0.01180
7019.18994,0.01190
7019.35986,0.01200
7019.52979,0.01210
7019.70020,0.01220
7019.85986,0.01230
7020.02979,0.01240
7020.20020,0.01250
7020.37012,0.01260
7020.54004,0.01270
7020.70996,0.01280
7020.87988,0.01290
7021.04980,0.01300
7021.20996,0.01320
7021.37988,0.01330
7021.54980,0.01340
7021.72021,0.01350
7021.89014,0.01360
7022.04980,0.01370
7022.22998,0.01380
7022.39990,0.01390
7022.56006,0.01400
7022.72998,0.01410
7022.89990,0.01420
7023.06982,0.01430
7023.24023,0.01440
7023.41016,0.01450
7023.56982,0.01460
7023.75000,0.01470
7023.91016,0.01480
7024.08008,0.01490
7024.25000,0.01500
7024.41992,0.01510
7024.58984,0.01520
7024.75977,0.01530
7024.91992,0.01550
7025.08984,0.01560
7025.27002,0.01570
7025.43018,0.01580
7025.60010,0.01590
7025.77002,0.01600
7025.93994,0.01610
7026.10986,0.01620
7026.27002,0.01630
7026.43994,0.01640
7026.60986,0.01650
7026.77979,0.01660
7026.95020,0.01670
7027.12012,0.01680
7027.29004,0.01690
7027.45996,0.01700
7027.62012,0.01710
7027.79004,0.01720
7027.95996,0.01730
7028.12988,0.01740
7028.29980,0.01750
7028.47021,0.01770
7028.64014,0.01780
7028.81006,0.01790
7028.97998,0.01800
7029.14014,0.01810
7029.31006,0.01820
7029.47998,0.01830
7029.64990,0.01840
7029.81982,0.01850
7029.99023,0.01860
7030.16016,0.01870
7030.33008,0.01880
7030.49023,0.01890
7030.66016,0.01900
7030.83008,0.01910
7031.00000,0.01920
7031.16992,0.01930
7031.33984,0.01940
7031.50977,0.01950
7031.68018,0.01960
7031.83984,0.01970
7032.00977,0.01980
7032.18018,0.02000
7032.35010,0.02010
7032.52002,0.02020
7032.68994,0.02030
7032.85986,0.02040
7033.02979,0.02050
7033.20020,0.02060
7033.37012,0.02070
7033.54004,0.02080
7033.70020,0.02090
7033.87012,0.02100
7034.04004,0.02110
7034.20996,0.02120
7034.37988,0.02130
7034.54980,0.02140
7034.72021,0.02150
7034.89014,0.02160
7035.04980,0.02170
7035.22021,0.02180
7035.39014,0.02190
7035.56006,0.02200
7035.72998,0.02220
7035.89990,0.02230
7036.06982,0.02240
7036.24023,0.02250
7036.41016,0.02260
7036.58008,0.02270
7036.75000,0.02280
7036.91992,0.02290
7037.08008,0.02300
7037.25000,0.02310
7037.41992,0.02320
7037.58984,0.02330
7037.75977,0.02340
7037.93018,0.02350
7038.10010,0.02360
7038.27002,0.02370
7038.43018,0.02380
7038.60010,0.02390
7038.77002,0.02400
7038.93994,0.02410
7039.10986,0.02420
7039.27979,0.02440
7039.45020,0.02450
7039.62012,0.02460
7039.79004,0.02470
7039.95996,0.02480
7040.12988,0.02490
7040.29004,0.02500
7040.47021,0.02510
7040.62988,0.02520
7040.79980,0.02530
7040.97021,0.02540
7041.14014,0.02550
7041.31006,0.02560
7041.47998,0.02570
7041.64990,0.02580
7041.81006,0.02590
7041.99023,0.02600
7042.16016,0.02610
7042.33008,0.02620
7042.50000,0.02630
7042.66016,0.02640
7042.83008,0.02660
7043.00000,0.02670
7043.16992,0.02680
7043.33984,0.02690
7043.50977,0.02700
7043.68018,0.02710
7043.85010,0.02720
7044.02002,0.02730
7044.18994,0.02740
7044.35986,0.02750
7044.52002,0.02760
7044.68994,0.02770
7044.85986,0.02780
7045.02979,0.02790
7045.20020,0.02800
7045.37012,0.02810
7045.54004,0.02820
7045.70996,0.02830
7045.87988,0.02840
7046.04980,0.02850
7046.22021,0.02870
7046.37988,0.02880
7046.56006,0.02890
7046.72021,0.02900
7046.89014,0.02910
7047.06006,0.02920
7047.22998,0.02930
7047.39990,0.02940
7047.56982,0.02950
7047.74023,0.02960
7047.91016,0.02970
7048.08008,0.02980
7048.25000,0.02990
7048.41992,0.03000
7048.58008,0.03010
7048.75000,0.03020
7048.91992,0.03030
7049.08984,0.03040
7049.25977,0.03050
7049.43018,0.03060
7049.60010,0.03080
7049.77002,0.03090
7049.93994,0.03100
7050.10986,0.03110
7050.27979,0.03120
7050.45020,0.03140
7050.62012,0.03150
7050.79004,0.03170
7050.95020,0.03180
7051.12988,0.03200
7051.29980,0.03210
7051.45996,0.03230
7051.62988,0.03240
7051.79980,0.03260
7051.97021,0.03270
7052.14014,0.03280
7052.31006,0.03300
7052.47998,0.03310
7052.64990,0.03330
7052.81982,0.03340
7052.99023,0.03360
7053.16016,0.03370
7053.33008,0.03390
7053.50000,0.03400
7053.66992,0.03420
7053.83008,0.03430
7054.00000,0.03440
7054.16992,0.03460
7054.33984,0.03470
7054.50977,0.03490
7054.68018,0.03500
7054.85010,0.03520
7055.02002,0.03530
7055.18994,0.03550
7055.35986,0.03560
7055.52979,0.03580
7055.70020,0.03590
7055.87012,0.03600
7056.04004,0.03620
7056.20996,0.03630
7056.37988,0.03650
7056.54004,0.03660
7056.70996,0.03680
7056.87988,0.03690
7057.04980,0.03710
7057.22998,0.03720
7057.39990,0.03740
7057.56006,0.03750
7057.72998,0.03770
7057.89990,0.03780
7058.06982,0.03790
7058.24023,0.03810
7058.41016,0.03820
7058.58008,0.03840
7058.75000,0.03850
7058.91992,0.03870
7059.08984,0.03880
7059.25977,0.03900
7059.43018,0.03910
7059.60010,0.03930
7059.75977,0.03940
7059.93018,0.03950
7060.10010,0.03970
7060.27979,0.03980
7060.45020,0.04000
7060.62012,0.04010
7060.77979,0.04030
7060.95020,0.04040
7061.12012,0.04060
7061.29004,0.04070
7061.45996,0.04090
7061.62988,0.04100
