wavelength,response
4750.00000,0.00000
4750.20996,0.00010
4750.41992,0.00030
4750.62988,0.00040
4750.83984,0.00050
4751.04980,0.00060
4751.27002,0.00080
4751.47998,0.00090
4751.68994,0.00100
4751.89990,0.00110
4752.10986,0.00130
4752.31982,0.00140
4752.52979,0.00150
4752.74023,0.00160
4752.95020,0.00180
4753.16016,0.00190
4753.37012,0.00200
4753.58008,0.00220
4753.79004,0.00230
4754.00000,0.00240
4754.20996,0.00250
4754.43018,0.00270
4754.62988,0.00280
4754.85010,0.00290
4755.06006,0.00300
4755.27002,0.00320
4755.47998,0.00330
4755.68994,0.00340
4755.89990,0.00350
4756.10986,0.00370
4756.31982,0.00380
4756.52979,0.00390
4756.75000,0.00400
4756.95996,0.00420
4757.16992,0.00430
4757.37988,0.00440
4757.58984,0.00460
4757.79980,0.00470
4758.00977,0.00480
4758.22021,0.00490
4758.43018,0.00510
4758.64990,0.00520
4758.85010,0.00530
4759.06982,0.00540
4759.27979,0.00560
4759.49023,0.00570
4759.70020,0.00580
4759.91016,0.00590
4760.12012,0.00610
4760.33008,0.00620
4760.54004,0.00630
4760.75000,0.00650
4760.97021,0.00660
4761.18018,0.00670
4761.39014,0.00680
4761.60010,0.00700
4761.81006,0.00710
4762.02002,0.00720
4762.22998,0.00730
4762.45020,0.00750
4762.64990,0.00760
4762.87012,0.00770
4763.08008,0.00780
4763.29004,0.00800
4763.50000,0.00810
4763.70996,0.00820
4763.91992,0.00840
4764.12988,0.00850
4764.33984,0.00860
4764.56006,0.00870
4764.77002,0.00890
4764.97998,0.00900
4765.18994,0.00910
4765.39990,0.00920
4765.60986,0.00940
4765.81982,0.00950
4766.02979,0.00960
4766.25000,0.00970
4766.45996,0.00990
4766.66992,0.01000
4766.87988,0.01010
4767.08984,0.01030
4767.29980,0.01040
4767.50977,0.01050
4767.72021,0.01060
4767.93994,0.01080
4768.14990,0.01090
4768.35986,0.01100
4768.56982,0.01110
4768.77979,0.01130
4768.99023,0.01140
4769.20020,0.01150
4769.41992,0.01160
4769.62988,0.01180
4769.83984,0.01190
4770.04980,0.01200
4770.25977,0.01220
4770.47021,0.01230
4770.68994,0.01240
4770.89990,0.01250
4771.10986,0.01270
4771.31982,0.01280
4771.52979,0.01290
4771.74023,0.01300
4771.95996,0.01320
4772.16992,0.01330
4772.37988,0.01340
4772.58984,0.01360
4772.79980,0.01370
4773.00977,0.01380
4773.22021,0.01390
4773.43994,0.01410
4773.64990,0.01420
4773.85986,0.01430
4774.06982,0.01440
4774.27979,0.01460
4774.49023,0.01470
4774.70020,0.01480
4774.91992,0.01500
4775.12988,0.01510
4775.33984,0.01520
4775.54980,0.01530
4775.77002,0.01550
4775.97998,0.01560
4776.18994,0.01570
4776.39990,0.01580
4776.60986,0.01600
4776.81982,0.01610
4777.04004,0.01620
4777.25000,0.01630
4777.45996,0.01650
4777.66992,0.01660
4777.87988,0.01670
4778.08984,0.01690
4778.31006,0.01700
4778.52002,0.01710
4778.72998,0.01720
4778.93994,0.01740
4779.14990,0.01750
4779.35986,0.01760
4779.58008,0.01770
4779.79004,0.01790
4780.00000,0.01800
4780.20996,0.01810
4780.41992,0.01830
4780.64014,0.01840
4780.85010,0.01850
4781.06006,0.01860
4781.27002,0.01880
4781.47998,0.01890
4781.70020,0.01900
4781.91016,0.01910
4782.12012,0.01930
4782.33008,0.01940
4782.54980,0.01950
4782.75977,0.01970
4782.97021,0.01980
4783.18018,0.01990
4783.39014,0.02000
4783.60986,0.02020
4783.81982,0.02030
4784.02979,0.02040
4784.24023,0.02050
4784.45020,0.02070
4784.66992,0.02080
4784.87988,0.02090
4785.08984,0.02110
4785.29980,0.02120
4785.52002,0.02130
4785.72998,0.02140
4785.93994,0.02160
4786.14990,0.02170
4786.35986,0.02180
4786.56982,0.02190
4786.79004,0.02210
4787.00000,0.02220
4787.20996,0.02230
4787.43018,0.02250
4787.64014,0.02260
4787.85010,0.02270
4788.06006,0.02280
4788.27002,0.02300
4788.49023,0.02310
4788.70020,0.02320
4788.91016,0.02330
4789.12012,0.02350
4789.33984,0.02360
4789.54980,0.02370
4789.75977,0.02390
4789.97021,0.02400
4790.18018,0.02410
4790.39990,0.02420
4790.60986,0.02440
4790.81982,0.02450
4791.02979,0.02460
4791.25000,0.02470
4791.45996,0.02490
4791.66992,0.02500
4791.87988,0.02510
4792.10010,0.02530
4792.31006,0.02540
4792.52002,0.02550
4792.72998,0.02560
4792.95020,0.02580
4793.16016,0.02590
4793.37012,0.02600
4793.58984,0.02620
4793.79980,0.02630
4794.00977,0.02640
4794.22021,0.02650
4794.43018,0.02670
4794.64990,0.02680
4794.85986,0.02690
4795.06982,0.02700
4795.29004,0.02720
4795.50000,0.02730
4795.70996,0.02740
4795.91992,0.02760
4796.14014,0.02770
4796.35010,0.02780
4796.56006,0.02790
4796.77002,0.02810
4796.99023,0.02820
4797.20020,0.02830
4797.41016,0.02840
4797.62012,0.02860
4797.83984,0.02870
4798.04980,0.02880
4798.25977,0.02900
4798.47998,0.02910
4798.68994,0.02920
4798.89990,0.02930
4799.12012,0.02950
4799.33008,0.02960
4799.54004,0.02970
4799.75000,0.02990
4799.95996,0.03000
4800.18018,0.03020
4800.39014,0.03040
4800.60010,0.03060
4800.81982,0.03090
4801.02979,0.03110
4801.24023,0.03130
4801.45996,0.03160
4801.66992,0.03180
4801.87988,0.03200
4802.08984,0.03230
4802.29980,0.03250
4802.52002,0.03270
4802.72998,0.03300
4802.93994,0.03320
4803.16016,0.03340
4803.37012,0.03360
4803.58008,0.03390
4803.79980,0.03410
4804.00977,0.03430
4804.22021,0.03460
4804.43018,0.03480
4804.64990,0.03500
4804.85986,0.03530
4805.08008,0.03550
4805.29004,0.03570
4805.50000,0.03590
4805.70996,0.03620
4805.93018,0.03640
4806.14014,0.03660
4806.35010,0.03690
4806.56982,0.03710
4806.77979,0.03730
4806.99023,0.03760
4807.20996,0.03780
4807.41992,0.03800
4807.62988,0.03820
4807.83984,0.03850
4808.06006,0.03870
4808.27002,0.03890
4808.47998,0.03920
4808.70020,0.03940
4808.91016,0.03960
4809.12012,0.03990
4809.33984,0.04010
4809.54980,0.04030
4809.75977,0.04050
4809.97998,0.04080
4810.18994,0.04100
4810.39990,0.04120
4810.62012,0.04150
4810.83008,0.04170
4811.04004,0.04190
4811.25977,0.04220
4811.47021,0.04240
4811.68018,0.04260
4811.89990,0.04280
4812.10986,0.04310
4812.31982,0.04330
