wavelength,response
3000.00000,0.00000
3010.00000,0.00000
3020.00000,0.00000
3030.00000,0.00000
3040.00000,0.00000
3050.00000,0.00000
3060.00000,0.00000
3070.00000,0.00000
3080.00000,0.00000
3090.00000,0.00000
3100.00000,0.00000
3110.00000,0.00000
3120.00000,0.00000
3130.00000,0.00000
3140.00000,0.00000
3150.00000,0.00000
3160.00000,0.00000
3170.00000,0.00000
3180.00000,0.00000
3190.00000,0.00000
3200.00000,0.00000
3210.00000,0.00000
3220.00000,0.00000
3230.00000,0.00000
3240.00000,0.00000
3250.00000,0.00000
3260.00000,0.00000
3270.00000,0.00000
3280.00000,0.00000
3290.00000,0.00000
3300.00000,0.00000
3310.00000,0.00000
3320.00000,0.00000
3330.00000,0.00000
3340.00000,0.00000
3350.00000,0.00000
3360.00000,0.00000
3370.00000,0.00000
3380.00000,0.00000
3390.00000,0.00000
3400.00000,0.00000
3410.00000,0.00000
3420.00000,0.00000
3430.00000,0.00000
3440.00000,0.00000
3450.00000,0.00000
3460.00000,0.00000
3470.00000,0.00005
3480.00000,0.00015
3490.00000,0.00040
3500.00000,0.00080
3510.00000,0.00155
3520.00000,0.00275
3530.00000,0.00455
3540.00000,0.00710
3550.00000,0.01065
3560.00000,0.01535
3570.00000,0.02125
3580.00000,0.02855
3590.00000,0.03715
3600.00000,0.04730
3610.00000,0.05880
3620.00000,0.07155
3630.00000,0.08525
3640.00000,0.09965
3650.00000,0.11540
3660.00000,0.13170
3670.00000,0.14865
3680.00000,0.16565
3690.00000,0.18365
3700.00000,0.20155
3710.00000,0.21895
3720.00000,0.23720
3730.00000,0.25520
3740.00000,0.27255
3750.00000,0.28965
3760.00000,0.30700
3770.00000,0.32220
3780.00000,0.33745
3790.00000,0.35470
3800.00000,0.36960
3810.00000,0.38435
3820.00000,0.39885
3830.00000,0.41225
3840.00000,0.42585
3850.00000,0.43870
3860.00000,0.45120
3870.00000,0.46280
3880.00000,0.47405
3890.00000,0.48465
3900.00000,0.49540
3910.00000,0.50625
3920.00000,0.51550
3930.00000,0.52405
3940.00000,0.53340
3950.00000,0.54210
3960.00000,0.55000
3970.00000,0.55785
3980.00000,0.56485
3990.00000,0.57150
4000.00000,0.57790
4010.00000,0.58480
4020.00000,0.59045
4030.00000,0.59635
4040.00000,0.60205
4050.00000,0.60695
4060.00000,0.61245
4070.00000,0.61675
4080.00000,0.62165
4090.00000,0.62570
4100.00000,0.63005
4110.00000,0.63350
4120.00000,0.63760
4130.00000,0.64105
4140.00000,0.64445
4150.00000,0.64770
4160.00000,0.65120
4170.00000,0.65475
4180.00000,0.65730
4190.00000,0.66045
4200.00000,0.66335
4210.00000,0.66475
4220.00000,0.66705
4230.00000,0.66885
4240.00000,0.67040
4250.00000,0.67160
4260.00000,0.67185
4270.00000,0.67365
4280.00000,0.67475
4290.00000,0.67610
4300.00000,0.67625
4310.00000,0.67735
4320.00000,0.67760
4330.00000,0.67710
4340.00000,0.67755
4350.00000,0.67735
4360.00000,0.67645
4370.00000,0.67625
4380.00000,0.67580
4390.00000,0.67575
4400.00000,0.67500
4410.00000,0.67475
4420.00000,0.67415
4430.00000,0.67245
4440.00000,0.67110
4450.00000,0.66920
4460.00000,0.66710
4470.00000,0.66435
4480.00000,0.66155
4490.00000,0.65815
4500.00000,0.65430
4510.00000,0.65115
4520.00000,0.64770
4530.00000,0.64460
4540.00000,0.64155
4550.00000,0.63740
4560.00000,0.63415
4570.00000,0.62920
4580.00000,0.62410
4590.00000,0.61870
4600.00000,0.61230
4610.00000,0.60625
4620.00000,0.59880
4630.00000,0.59165
4640.00000,0.58330
4650.00000,0.57390
4660.00000,0.56405
4670.00000,0.55315
4680.00000,0.54210
4690.00000,0.53015
4700.00000,0.51725
4710.00000,0.50460
4720.00000,0.49090
4730.00000,0.47720
4740.00000,0.46380
4750.00000,0.44960
4760.00000,0.43565
4770.00000,0.42135
4780.00000,0.40685
4790.00000,0.39255
4800.00000,0.37780
4810.00000,0.36315
4820.00000,0.34785
4830.00000,0.33340
4840.00000,0.31880
4850.00000,0.30435
4860.00000,0.29035
4870.00000,0.27650
4880.00000,0.26315
4890.00000,0.25070
4900.00000,0.23825
4910.00000,0.22650
4920.00000,0.21555
4930.00000,0.20530
4940.00000,0.19560
4950.00000,0.18635
4960.00000,0.17810
4970.00000,0.17025
4980.00000,0.16265
4990.00000,0.15540
5000.00000,0.14785
5010.00000,0.14020
5020.00000,0.13230
5030.00000,0.12420
5040.00000,0.11590
5050.00000,0.10770
5060.00000,0.09975
5070.00000,0.09225
5080.00000,0.08530
5090.00000,0.07895
5100.00000,0.07295
5110.00000,0.06765
5120.00000,0.06275
5130.00000,0.05815
5140.00000,0.05360
5150.00000,0.04945
5160.00000,0.04525
5170.00000,0.04140
5180.00000,0.03775
5190.00000,0.03425
5200.00000,0.03105
5210.00000,0.02800
5220.00000,0.02515
5230.00000,0.02260
5240.00000,0.02030
5250.00000,0.01815
5260.00000,0.01625
5270.00000,0.01460
5280.00000,0.01315
5290.00000,0.01190
5300.00000,0.01085
5310.00000,0.00990
5320.00000,0.00910
5330.00000,0.00845
5340.00000,0.00795
5350.00000,0.00750
5360.00000,0.00710
5370.00000,0.00680
5380.00000,0.00655
5390.00000,0.00635
5400.00000,0.00625
5410.00000,0.00620
5420.00000,0.00620
5430.00000,0.00620
5440.00000,0.00630
5450.00000,0.00645
5460.00000,0.00665
5470.00000,0.00700
5480.00000,0.00730
5490.00000,0.00780
5500.00000,0.00830
5510.00000,0.00885
5520.00000,0.00935
5530.00000,0.01000
5540.00000,0.01055
5550.00000,0.01110
5560.00000,0.01155
5570.00000,0.01195
5580.00000,0.01225
5590.00000,0.01235
5600.00000,0.01240
5610.00000,0.01220
5620.00000,0.01135
5630.00000,0.01175
5640.00000,0.01130
5650.00000,0.01080
5660.00000,0.01020
5670.00000,0.00950
5680.00000,0.00885
5690.00000,0.00805
5700.00000,0.00725
5710.00000,0.00655
5720.00000,0.00575
5730.00000,0.00505
5740.00000,0.00435
5750.00000,0.00370
5760.00000,0.00310
5770.00000,0.00265
5780.00000,0.00220
5790.00000,0.00180
5800.00000,0.00145
5810.00000,0.00120
5820.00000,0.00095
5830.00000,0.00075
5840.00000,0.00060
5850.00000,0.00050
5860.00000,0.00040
5870.00000,0.00035
5880.00000,0.00030
5890.00000,0.00025
5900.00000,0.00020
5910.00000,0.00015
5920.00000,0.00015
5930.00000,0.00015
5940.00000,0.00015
5950.00000,0.00015
5960.00000,0.00015
5970.00000,0.00015
5980.00000,0.00015
5990.00000,0.00015
6000.00000,0.00015
6010.00000,0.00015
6020.00000,0.00010
6030.00000,0.00015
6040.00000,0.00015
6050.00000,0.00010
6060.00000,0.00015
6070.00000,0.00015
6080.00000,0.00010
6090.00000,0.00015
6100.00000,0.00010
6110.00000,0.00010
6120.00000,0.00010
6130.00000,0.00010
6140.00000,0.00010
6150.00000,0.00010
6160.00000,0.00010
6170.00000,0.00005
6180.00000,0.00005
6190.00000,0.00005
6200.00000,0.00005
6210.00000,0.00005
6220.00000,0.00005
6230.00000,0.00005
6240.00000,0.00000
6250.00000,0.00000
6260.00000,0.00005
6270.00000,0.00000
6280.00000,0.00000
6290.00000,0.00000
6300.00000,0.00000
6310.00000,0.00005
6320.00000,0.00000
6330.00000,0.00000
6340.00000,0.00000
6350.00000,0.00000
6360.00000,0.00000
