wavelength,response
5500.00000,0.00000
5500.25000,0.00020
5500.50000,0.00040
5500.75000,0.00060
5501.00977,0.00080
5501.25977,0.00110
5501.52002,0.00130
5501.77002,0.00150
5502.02002,0.00170
5502.27002,0.00190
5502.52002,0.00210
5502.77002,0.00230
5503.02979,0.00250
5503.27979,0.00280
5503.52979,0.00300
5503.77979,0.00320
5504.04004,0.00340
5504.29004,0.00360
5504.54004,0.00380
5504.79004,0.00400
5505.04980,0.00420
5505.29980,0.00440
5505.54980,0.00470
5505.81006,0.00490
5506.06006,0.00510
5506.31006,0.00530
5506.56006,0.00550
5506.81982,0.00570
5507.06982,0.00590
5507.31982,0.00610
5507.56982,0.00640
5507.81982,0.00660
5508.08008,0.00680
5508.33008,0.00700
5508.58008,0.00720
5508.83008,0.00740
5509.08984,0.00760
5509.33984,0.00780
5509.58984,0.00810
5509.85010,0.00830
5510.10010,0.00850
5510.35010,0.00870
5510.60010,0.00890
5510.85986,0.00910
5511.10986,0.00930
5511.35986,0.00950
5511.62012,0.00980
5511.87012,0.01000
5512.12012,0.01020
5512.37012,0.01040
5512.62988,0.01060
5512.87988,0.01080
5513.12988,0.01100
5513.39014,0.01120
5513.64014,0.01150
5513.89014,0.01170
5514.14014,0.01190
5514.39990,0.01210
5514.64990,0.01230
5514.89990,0.01250
5515.16016,0.01270
5515.41016,0.01290
5515.66016,0.01320
5515.91016,0.01340
5516.16992,0.01360
5516.41992,0.01380
5516.66992,0.01400
5516.91992,0.01420
5517.18018,0.01440
5517.43018,0.01460
5517.68994,0.01490
5517.93994,0.01510
5518.18994,0.01530
5518.43994,0.01550
5518.70020,0.01570
5518.95020,0.01590
5519.20020,0.01610
5519.45996,0.01630
5519.70996,0.01660
5519.95996,0.01680
5520.20996,0.01700
5520.47021,0.01720
5520.72021,0.01740
5520.97998,0.01760
5521.22998,0.01780
5521.47998,0.01800
5521.74023,0.01830
5521.99023,0.01850
5522.24023,0.01870
5522.49023,0.01890
5522.75000,0.01910
5523.00000,0.01930
5523.25977,0.01950
5523.50977,0.01970
5523.75977,0.02000
5524.02002,0.02020
5524.27002,0.02040
5524.52002,0.02060
5524.77002,0.02080
5525.02979,0.02100
5525.27979,0.02120
5525.52979,0.02140
5525.79004,0.02170
5526.04004,0.02190
5526.29980,0.02210
5526.54980,0.02230
5526.79980,0.02250
5527.06006,0.02270
5527.31006,0.02290
