wavelength,response
3050.00000,0.00000
3050.10010,0.00000
3050.18994,0.00010
3050.29004,0.00010
3050.38989,0.00020
3050.48999,0.00020
3050.59009,0.00020
3050.67993,0.00030
3050.78003,0.00030
3050.87988,0.00040
3050.97998,0.00040
3051.07007,0.00040
3051.16992,0.00050
3051.27002,0.00050
3051.37012,0.00050
3051.46997,0.00060
3051.56006,0.00060
3051.65991,0.00070
3051.76001,0.00070
3051.85010,0.00070
3051.94995,0.00080
3052.05005,0.00080
3052.14990,0.00090
3052.25000,0.00090
3052.34009,0.00090
3052.43994,0.00100
3052.54004,0.00100
3052.63989,0.00110
3052.72998,0.00110
3052.83008,0.00110
3052.92993,0.00120
3053.03003,0.00120
3053.12988,0.00130
3053.21997,0.00130
3053.32007,0.00130
3053.41992,0.00140
3053.52002,0.00140
3053.61011,0.00140
3053.70996,0.00150
3053.81006,0.00150
3053.90991,0.00160
3054.00000,0.00160
3054.10010,0.00160
3054.19995,0.00170
3054.30005,0.00170
3054.39990,0.00180
3054.48999,0.00180
3054.59009,0.00180
3054.68994,0.00190
3054.79004,0.00190
3054.88989,0.00200
3054.97998,0.00200
3055.08008,0.00200
3055.17993,0.00210
3055.27002,0.00210
3055.37012,0.00210
3055.46997,0.00220
3055.57007,0.00220
3055.66992,0.00230
3055.76001,0.00230
3055.86011,0.00230
3055.95996,0.00240
3056.06006,0.00240
3056.15991,0.00250
3056.25000,0.00250
3056.35010,0.00250
3056.44995,0.00260
3056.55005,0.00260
3056.64990,0.00270
3056.73999,0.00270
3056.84009,0.00270
3056.93994,0.00280
3057.04004,0.00280
3057.12988,0.00290
3057.22998,0.00290
3057.33008,0.00290
3057.42993,0.00300
3057.52002,0.00300
3057.62012,0.00300
3057.71997,0.00310
3057.82007,0.00310
3057.91992,0.00320
3058.01001,0.00320
3058.11011,0.00320
3058.20996,0.00330
3058.31006,0.00330
3058.40991,0.00340
3058.50000,0.00340
3058.60010,0.00340
3058.69995,0.00350
3058.80005,0.00350
3058.88989,0.00360
3058.98999,0.00360
3059.09009,0.00360
3059.18994,0.00370
3059.29004,0.00370
3059.37988,0.00380
3059.47998,0.00380
3059.58008,0.00380
3059.67993,0.00390
3059.77002,0.00390
3059.87012,0.00390
3059.96997,0.00400
3060.07007,0.00400
3060.16992,0.00410
3060.26001,0.00410
3060.36011,0.00410
3060.45996,0.00420
3060.56006,0.00420
3060.65991,0.00430
3060.75000,0.00430
3060.85010,0.00430
3060.94995,0.00440
3061.05005,0.00440
3061.14990,0.00450
3061.23999,0.00450
3061.34009,0.00450
3061.43994,0.00460
3061.54004,0.00460
3061.63989,0.00470
3061.72998,0.00470
3061.83008,0.00470
3061.92993,0.00480
3062.03003,0.00480
3062.12988,0.00490
3062.21997,0.00490
3062.32007,0.00490
3062.41992,0.00500
3062.52002,0.00500
3062.62012,0.00500
3062.70996,0.00510
3062.81006,0.00510
3062.90991,0.00520
3063.01001,0.00520
3063.11011,0.00520
3063.19995,0.00530
3063.30005,0.00530
3063.39990,0.00540
3063.50000,0.00540
3063.59009,0.00540
3063.68994,0.00550
3063.79004,0.00550
3063.88989,0.00560
3063.98999,0.00560
3064.09009,0.00560
3064.17993,0.00570
3064.28003,0.00570
3064.37988,0.00580
3064.47998,0.00580
3064.58008,0.00580
3064.66992,0.00590
3064.77002,0.00590
3064.87012,0.00590
3064.96997,0.00600
3065.07007,0.00600
3065.15991,0.00610
3065.26001,0.00610
3065.36011,0.00610
3065.45996,0.00620
3065.56006,0.00620
3065.65991,0.00630
3065.75000,0.00630
3065.85010,0.00630
3065.94995,0.00640
3066.05005,0.00640
3066.14990,0.00650
3066.23999,0.00650
3066.34009,0.00650
3066.43994,0.00660
3066.54004,0.00660
3066.63989,0.00670
3066.72998,0.00670
3066.83008,0.00670
3066.92993,0.00680
3067.03003,0.00680
3067.12988,0.00690
3067.21997,0.00690
3067.32007,0.00690
3067.41992,0.00700
3067.52002,0.00700
3067.62012,0.00700
3067.71997,0.00710
3067.81006,0.00710
3067.90991,0.00720
3068.01001,0.00720
