RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
57.605235,69.579499,0.565,0.458,20122679,7,29,1.598,0.282,15.411,0.135,17.009,0.248,16.342,0.102,14.915,0.025,14.214,0.052
57.463374,69.553735,0.540,0.688,20122679,7,33,1.625,0.262,15.531,0.113,17.156,0.236,16.406,0.091,15.000,0.027,14.358,0.082
57.575555,69.581108,0.671,0.437,20122679,6,30,1.069,0.205,15.788,0.131,16.857,0.157,16.398,0.078,15.450,0.083,14.945,0.035
56.625914,69.558845,0.607,0.543,20122679,8,38,1.558,0.311,15.065,0.140,16.624,0.278,15.861,0.064,14.560,0.064,13.918,0.067
56.779148,69.574823,0.700,0.415,20122679,7,37,1.107,0.207,15.271,0.113,16.378,0.174,15.929,0.083,14.890,0.051,14.397,0.067
56.700087,69.581844,0.674,0.618,20122679,7,38,1.194,0.239,15.158,0.118,16.352,0.208,15.906,0.227,14.744,0.043,14.197,0.046
57.197787,69.555471,0.376,0.189,20122679,9,41,1.786,0.458,14.020,0.119,15.806,0.442,14.949,0.089,13.490,0.050,12.776,0.043
57.090016,69.550086,0.489,0.342,20122679,8,36,1.220,0.309,15.075,0.102,16.295,0.291,15.749,0.092,14.711,0.047,14.207,0.076
57.155218,69.588545,0.907,0.710,20122679,5,21,1.028,0.179,16.083,0.133,17.110,0.120,16.927,0.457,15.758,0.069,15.250,0.106
57.321657,69.549970,0.506,0.565,20122679,6,30,1.598,0.259,15.439,0.126,17.037,0.227,16.312,0.120,14.943,0.032,14.239,0.067
57.395213,69.560302,0.872,0.527,20122679,6,33,1.019,0.203,13.869,0.112,14.888,0.170,14.511,0.123,13.578,0.029,13.180,0.084
57.376131,69.561583,0.495,0.184,20122728,12,55,1.949,0.401,12.110,0.124,14.058,0.381,13.125,0.162,11.484,0.058,10.725,0.071
57.404815,69.578197,0.477,0.302,20122728,10,48,1.682,0.234,13.048,0.112,14.730,0.205,13.992,0.174,12.527,0.045,11.839,0.045
57.360880,69.547316,0.835,0.633,20152678,5,21,1.139,0.248,16.154,0.063,17.292,0.240,16.772,0.074,15.784,0.060,15.310,0.046
57.304125,69.565712,0.704,0.775,20122679,6,29,1.021,0.212,15.890,0.145,16.911,0.155,16.613,0.312,15.458,0.039,14.976,0.140
57.290733,69.575324,0.613,0.171,20122728,13,59,1.874,0.402,13.007,0.126,14.881,0.382,14.091,0.283,12.409,0.053,11.661,0.071
57.432980,69.582694,0.388,0.663,20122679,6,33,1.354,0.146,15.445,0.092,16.800,0.113,16.230,0.125,14.919,0.053,14.316,0.090
57.463647,69.587824,0.753,0.430,20122679,8,36,1.697,0.630,14.901,0.143,16.598,0.614,15.883,0.420,14.420,0.045,13.762,0.075
57.500843,69.584716,0.258,0.330,20152678,5,28,1.256,0.202,14.655,0.111,15.911,0.169,15.370,0.081,14.212,0.034,13.632,0.048
57.524281,69.600357,0.748,1.063,20152678,4,15,1.141,0.232,16.295,0.000,17.436,0.232,16.968,0.051,15.950,0.058,15.413,0.028
57.449928,69.611469,0.844,0.554,20152678,4,21,1.097,0.197,15.830,0.051,16.927,0.190,16.504,0.059,15.555,0.082,15.079,0.059
57.488927,69.635741,0.114,0.264,20122728,6,34,1.382,0.193,11.267,0.109,12.649,0.159,12.039,0.057,10.865,0.027,10.340,0.038
57.452605,69.626335,1.405,0.661,20152678,4,8,1.090,0.000,16.319,0.000,17.409,0.000,17.085,0.046,15.999,0.064,15.559,0.000
57.482779,69.628637,0.269,0.743,20152678,5,27,0.895,0.216,14.598,0.123,15.493,0.178,15.127,0.060,14.348,0.034,13.991,0.076
57.230717,69.579216,0.974,0.673,20122679,6,23,1.151,0.126,16.055,0.076,17.206,0.101,16.702,0.330,15.592,0.055,15.049,0.062
57.206955,69.613454,0.528,0.275,20122679,6,33,1.636,0.165,14.920,0.098,16.556,0.132,15.907,0.197,14.364,0.039,13.622,0.064
57.177991,69.612155,0.209,0.179,20152678,5,30,1.582,0.183,13.936,0.104,15.519,0.151,14.798,0.057,13.417,0.034,12.713,0.045
57.426913,69.641379,0.637,0.772,20152678,4,15,0.697,0.203,16.215,0.019,16.911,0.202,16.671,0.047,15.870,0.026,15.561,0.080
57.470381,69.659404,0.509,0.652,20152678,4,24,1.026,0.201,15.472,0.101,16.498,0.174,16.064,0.047,15.150,0.059,14.729,0.064
57.409915,69.696409,0.945,0.453,20152678,2,7,0.927,0.092,16.407,0.000,17.334,0.092,16.931,0.021,16.126,0.016,15.709,0.000
57.422391,69.687252,0.704,0.538,20152678,4,25,1.057,0.197,15.928,0.120,16.986,0.157,16.527,0.017,15.645,0.054,15.162,0.074
56.956884,69.565887,0.394,0.182,20122679,9,43,0.944,0.368,13.615,0.098,14.559,0.355,14.109,0.133,13.396,0.052,13.086,0.033
56.992214,69.576693,1.165,1.301,20122679,4,11,1.615,0.195,16.514,0.000,18.129,0.195,17.893,0.762,15.978,0.168,15.339,0.058
56.886046,69.580956,0.520,0.222,20122679,7,36,1.558,0.174,14.191,0.108,15.749,0.136,15.133,0.169,13.689,0.037,13.027,0.038
56.944673,69.591197,0.921,0.729,20152678,3,9,1.412,0.000,16.736,0.000,18.148,0.000,17.363,0.142,16.390,0.110,16.057,0.000
57.019379,69.591862,0.367,0.279,20122679,7,40,0.613,0.854,14.098,0.135,14.711,0.843,14.471,0.410,13.811,0.036,13.434,0.047
56.999508,69.599858,0.599,0.530,20122679,6,25,1.568,0.191,15.382,0.086,16.950,0.170,16.302,0.232,14.828,0.040,14.242,0.045
57.104666,69.643835,0.482,0.440,20152678,5,29,0.915,0.229,15.277,0.126,16.193,0.191,15.817,0.060,15.044,0.019,14.657,0.063
56.848466,69.596994,0.517,0.260,20122679,8,43,1.266,0.354,14.014,0.120,15.280,0.333,14.812,0.260,13.609,0.023,13.071,0.032
56.890044,69.597597,0.359,0.146,20122728,8,39,0.975,0.406,12.722,0.102,13.697,0.393,13.262,0.198,12.519,0.030,12.206,0.024
56.788374,69.595117,0.370,0.176,20122728,9,45,0.644,0.393,10.966,0.101,11.610,0.380,11.408,0.236,10.922,0.030,10.786,0.039
56.905249,69.640232,0.226,0.150,20152678,5,30,0.900,0.215,14.214,0.111,15.114,0.184,14.757,0.064,13.969,0.019,13.576,0.050
57.004209,69.646240,0.654,0.735,20152678,4,11,0.981,0.113,16.550,0.000,17.531,0.113,17.177,0.068,16.334,0.079,15.872,0.000
57.029096,69.664010,0.278,0.222,20152678,4,25,1.926,0.164,14.365,0.102,16.291,0.129,15.415,0.067,13.737,0.034,12.950,0.047
57.027868,69.689744,0.886,0.552,20152678,2,8,1.035,0.000,16.596,0.000,17.631,0.000,17.152,0.080,16.144,0.146,15.645,0.196
57.181210,69.641624,0.660,0.627,20122679,3,16,1.412,0.285,15.275,0.069,16.687,0.277,16.261,0.071,14.846,0.037,14.196,0.063
57.180836,69.641746,1.394,0.538,20152678,2,8,1.474,0.083,15.419,0.000,16.893,0.083,16.209,0.035,14.807,0.043,14.176,0.015
57.254848,69.663743,0.408,0.365,20152678,4,25,1.039,0.192,15.219,0.108,16.258,0.158,15.861,0.053,14.865,0.044,14.461,0.078
57.103076,69.654827,0.422,0.505,20152678,5,27,1.286,0.213,15.117,0.126,16.403,0.172,15.835,0.034,14.704,0.038,14.211,0.046
57.192415,69.671303,0.627,0.657,20152678,4,23,1.224,0.278,15.846,0.102,17.070,0.259,16.519,0.063,15.446,0.042,14.867,0.066
57.214142,69.697700,0.774,0.585,20152678,4,23,1.076,0.238,15.875,0.070,16.951,0.228,16.537,0.056,15.597,0.046,15.156,0.024
57.315718,69.677103,0.435,0.445,20152678,4,25,1.021,0.176,15.600,0.109,16.621,0.138,16.231,0.039,15.311,0.068,14.802,0.063
57.353315,69.705363,0.389,0.316,20152678,4,25,1.600,0.195,15.026,0.104,16.626,0.165,15.898,0.060,14.530,0.034,13.875,0.031
57.389259,69.720822,0.192,0.182,20152678,4,25,0.959,0.177,13.973,0.100,14.931,0.145,14.537,0.045,13.737,0.034,13.365,0.031
57.242241,69.699634,0.381,0.261,20152678,4,25,0.979,0.197,14.967,0.096,15.946,0.172,15.547,0.054,14.694,0.023,14.279,0.032
57.037616,69.702546,0.486,0.416,20122728,5,27,1.673,0.191,13.383,0.101,15.056,0.162,14.309,0.051,12.852,0.036,12.125,0.036
57.155903,69.737428,0.851,0.677,20152678,3,13,1.269,0.000,16.234,0.000,17.503,0.000,17.155,0.054,15.907,0.062,15.281,0.109
57.281019,69.754995,0.666,0.528,20152678,4,24,0.974,0.264,16.079,0.142,17.054,0.223,16.629,0.071,15.775,0.026,15.306,0.051
57.281537,69.744459,0.891,0.752,20152678,4,13,1.405,0.000,16.433,0.000,17.838,0.000,17.343,0.084,16.178,0.072,15.583,0.117
57.312264,69.765329,0.147,0.158,20152678,4,25,1.370,0.194,14.384,0.090,15.755,0.171,15.166,0.041,13.944,0.026,13.350,0.045
57.219878,69.756518,0.282,0.220,20152678,4,25,0.952,0.191,14.769,0.094,15.720,0.166,15.356,0.045,14.514,0.029,14.079,0.057
57.258892,69.786756,0.112,0.189,20122728,5,27,0.737,0.276,13.509,0.144,14.246,0.236,13.978,0.075,13.372,0.070,13.092,0.071
56.019069,69.547951,0.444,0.346,20122679,10,52,1.479,0.271,14.186,0.116,15.665,0.245,14.969,0.084,13.626,0.071,12.865,0.077
55.945579,69.552204,0.454,0.366,20122679,9,48,0.974,0.223,14.624,0.115,15.598,0.191,15.141,0.081,14.293,0.075,13.897,0.048
55.867681,69.557266,0.833,0.714,20122679,5,18,1.100,0.298,16.178,0.167,17.277,0.247,16.752,0.058,15.834,0.024,15.356,0.098
55.942881,69.595281,1.645,0.430,20122679,6,16,1.367,0.228,14.752,0.111,16.119,0.199,15.553,0.167,14.216,0.043,13.416,0.086
55.571760,69.553204,0.745,0.352,20122679,10,51,1.325,0.210,14.714,0.099,16.039,0.186,15.516,0.144,14.255,0.068,13.723,0.081
55.573822,69.561197,0.475,0.447,20122679,10,42,1.209,0.204,14.672,0.089,15.880,0.183,15.362,0.066,14.275,0.086,13.732,0.047
55.528871,69.582520,0.759,0.567,20122679,8,33,1.878,0.303,15.505,0.159,17.383,0.257,16.640,0.237,14.905,0.041,14.129,0.072
55.523526,69.601192,0.405,1.204,20152678,3,9,1.165,0.211,14.680,0.162,15.845,0.134,15.355,0.000,14.289,0.000,13.780,0.094
55.549157,69.602844,0.387,0.455,20152678,5,26,1.550,0.119,15.062,0.067,16.612,0.099,15.882,0.072,14.555,0.043,13.914,0.052
55.758050,69.563004,0.729,0.810,20122679,5,18,1.575,0.252,15.895,0.236,17.470,0.089,16.795,0.053,15.451,0.130,14.788,0.092
55.636453,69.556096,0.555,0.806,20152678,5,22,1.300,0.208,16.089,0.090,17.389,0.187,16.826,0.074,15.709,0.068,15.111,0.072
55.699383,69.573779,0.626,0.732,20122679,5,23,1.315,0.235,15.822,0.118,17.136,0.203,16.554,0.091,15.435,0.077,14.965,0.042
55.745236,69.578538,0.531,0.511,20122728,10,45,1.767,0.170,13.658,0.107,15.425,0.132,14.645,0.133,13.056,0.039,12.330,0.047
55.764735,69.591464,0.811,0.891,20152678,4,19,1.026,0.077,16.231,0.041,17.256,0.066,16.932,0.088,15.926,0.079,15.510,0.176
55.816046,69.583374,0.556,0.218,20122728,11,52,0.816,0.327,13.154,0.085,13.970,0.316,13.637,0.181,12.997,0.027,12.768,0.044
55.823842,69.563920,0.529,0.225,20122728,13,63,0.648,0.180,13.160,0.104,13.809,0.147,13.583,0.172,13.027,0.072,12.826,0.075
55.907384,69.615761,0.194,0.238,20122728,6,32,0.794,0.217,14.012,0.121,14.806,0.180,14.492,0.076,13.806,0.036,13.510,0.056
55.907151,69.610449,0.351,0.704,20152678,3,9,0.823,0.210,17.287,0.000,18.110,0.210,17.879,0.099,16.931,0.227,16.993,0.000
55.827589,69.617521,0.177,0.413,20152678,5,30,1.570,0.179,13.915,0.116,15.485,0.137,14.775,0.070,13.412,0.037,12.753,0.040
55.834808,69.608750,0.476,0.382,20152678,5,30,0.993,0.191,14.961,0.103,15.955,0.161,15.533,0.065,14.679,0.032,14.283,0.039
55.816219,69.635121,0.501,0.344,20152678,4,19,1.428,0.255,15.867,0.056,17.295,0.249,16.483,0.074,15.345,0.067,14.770,0.080
55.895676,69.627209,0.682,0.563,20152678,4,23,0.952,0.197,15.745,0.098,16.696,0.171,16.309,0.038,15.489,0.041,15.120,0.067
55.575352,69.588382,0.487,0.298,20122679,8,41,1.945,0.257,13.927,0.117,15.873,0.229,14.948,0.120,13.279,0.046,12.475,0.045
55.629615,69.630619,0.513,0.354,20122728,5,29,0.750,0.185,12.818,0.101,13.568,0.156,13.292,0.067,12.666,0.042,12.400,0.033
55.652294,69.614050,0.870,0.966,20152678,4,12,1.083,0.136,16.527,0.000,17.611,0.136,17.140,0.030,16.172,0.075,15.788,0.117
55.655083,69.626148,0.571,0.405,20152678,5,25,1.409,0.222,15.549,0.159,16.957,0.155,16.362,0.076,15.072,0.026,14.416,0.068
55.790085,69.634074,0.522,0.587,20152678,4,19,1.671,0.458,15.760,0.155,17.431,0.431,16.563,0.094,15.263,0.034,14.610,0.079
55.742822,69.672814,0.253,0.309,20152678,4,25,0.808,0.216,14.803,0.116,15.611,0.183,15.311,0.064,14.607,0.042,14.317,0.055
55.771036,69.688582,0.210,0.211,20152678,4,25,1.969,0.198,14.245,0.112,16.214,0.164,15.334,0.057,13.594,0.041,12.740,0.026
55.529578,69.610389,0.602,0.626,20152678,5,29,0.993,0.178,15.807,0.124,16.800,0.127,16.407,0.089,15.523,0.049,15.113,0.086
55.652434,69.661034,0.136,0.207,20152678,4,25,0.946,0.185,14.478,0.097,15.424,0.158,15.053,0.062,14.218,0.039,13.758,0.028
55.547309,69.663386,0.426,0.492,20122728,5,27,0.880,0.173,14.024,0.100,14.905,0.142,14.568,0.056,13.794,0.037,13.396,0.047
55.508818,69.637597,0.883,0.716,20152678,3,11,0.817,0.036,16.604,0.000,17.421,0.036,17.145,0.063,16.196,0.099,15.573,0.139
55.674113,69.684961,0.330,0.446,20152678,4,23,2.035,0.198,14.819,0.112,16.854,0.163,15.881,0.042,14.083,0.040,13.158,0.040
55.682530,69.730276,0.188,0.347,20152678,4,25,1.076,0.176,14.388,0.108,15.464,0.139,15.025,0.053,14.075,0.040,13.592,0.051
55.695649,69.706631,0.547,0.563,20152678,4,23,1.506,0.231,15.229,0.089,16.735,0.213,16.057,0.037,14.731,0.038,14.107,0.073
55.546087,69.713100,0.471,0.504,20152678,4,16,1.500,0.270,15.863,0.103,17.362,0.250,16.611,0.054,15.409,0.054,14.777,0.101
55.509457,69.723980,0.309,0.289,20152678,4,25,1.083,0.199,14.844,0.101,15.927,0.171,15.476,0.051,14.547,0.040,14.141,0.032
55.567382,69.722336,0.966,0.338,20152678,4,23,1.441,0.235,14.413,0.141,15.854,0.188,15.257,0.084,13.949,0.040,13.387,0.052
55.536870,69.735403,0.467,0.337,20152678,4,23,1.661,0.215,14.973,0.085,16.634,0.197,15.858,0.053,14.413,0.044,13.687,0.039
55.553845,69.730101,0.432,0.629,20152678,4,25,1.221,0.179,15.656,0.085,16.877,0.157,16.341,0.066,15.200,0.069,14.659,0.039
55.569597,69.765193,0.579,0.909,20152678,4,9,1.233,0.000,16.565,0.000,17.798,0.000,17.523,0.000,15.964,0.000,15.049,0.088
55.640585,69.780825,0.388,0.327,20152678,4,25,1.547,0.180,15.059,0.101,16.606,0.149,15.919,0.063,14.576,0.042,13.923,0.038
56.241656,69.548422,1.184,0.879,20152678,5,14,1.299,0.247,16.427,0.210,17.726,0.129,16.953,0.060,15.929,0.089,15.456,0.032
56.355439,69.571226,0.575,0.505,20122679,9,44,1.010,0.206,14.505,0.110,15.515,0.174,15.028,0.107,14.177,0.041,13.788,0.059
56.371462,69.573768,0.486,0.625,20122679,7,35,0.893,0.222,14.542,0.126,15.435,0.183,15.045,0.075,14.272,0.038,13.916,0.040
56.390340,69.561415,0.471,0.486,20122679,9,41,0.946,0.210,15.309,0.084,16.254,0.192,15.904,0.163,15.023,0.058,14.606,0.050
56.289011,69.565709,0.685,0.821,20152678,3,6,0.663,0.000,16.619,0.000,17.282,0.000,17.375,0.000,16.599,0.000,15.918,0.253
56.560481,69.561333,0.941,0.879,20152678,3,15,1.138,0.366,16.080,0.118,17.217,0.346,16.726,0.068,15.865,0.039,15.393,0.033
56.471925,69.570417,0.929,0.671,20122679,6,32,0.770,0.209,15.936,0.089,16.706,0.190,16.396,0.105,15.653,0.047,15.329,0.095
56.551437,69.581700,0.459,0.738,20122679,6,29,1.384,0.161,15.489,0.128,16.874,0.098,16.306,0.061,15.011,0.039,14.432,0.085
56.559774,69.602446,0.467,0.183,20122679,6,31,0.994,0.194,14.503,0.106,15.497,0.162,15.081,0.080,14.227,0.033,13.869,0.070
56.625450,69.566783,0.611,0.675,20122679,8,32,1.419,0.331,15.580,0.122,16.999,0.308,16.426,0.193,15.069,0.047,14.427,0.044
56.684630,69.582149,0.797,0.491,20152678,3,7,1.200,0.000,17.726,0.000,18.926,0.000,17.992,0.155,17.579,0.133,16.740,0.000
56.708591,69.615383,0.285,0.147,20122728,6,32,0.855,0.206,12.835,0.113,13.689,0.172,13.348,0.065,12.618,0.029,12.269,0.034
56.615212,69.627432,1.055,1.204,20152678,4,14,0.930,0.512,16.544,0.205,17.474,0.470,17.001,0.089,16.151,0.019,15.683,0.083
56.632681,69.618626,0.698,0.542,20152678,4,15,1.130,0.072,16.085,0.023,17.214,0.069,16.755,0.029,15.721,0.026,15.337,0.063
56.661790,69.614147,0.563,0.880,20152678,4,14,1.189,0.174,16.485,0.019,17.674,0.173,17.173,0.062,16.129,0.122,15.547,0.071
56.430648,69.584482,0.400,0.262,20122679,8,41,1.505,0.182,14.540,0.110,16.045,0.145,15.474,0.227,14.058,0.025,13.418,0.041
56.480709,69.595281,0.392,0.363,20122679,7,38,0.907,0.196,14.546,0.110,15.454,0.162,15.160,0.228,14.301,0.023,13.954,0.049
56.538625,69.606660,0.372,0.583,20122679,7,32,1.073,0.170,15.454,0.085,16.527,0.148,16.152,0.216,15.175,0.047,14.703,0.064
56.420126,69.614148,0.293,0.293,20152678,5,30,1.594,0.203,14.538,0.122,16.132,0.162,15.419,0.064,13.979,0.033,13.256,0.040
56.471280,69.633483,0.436,0.436,20152678,5,30,1.076,0.224,15.211,0.155,16.286,0.161,15.797,0.058,14.824,0.028,14.344,0.079
56.639242,69.666990,0.131,0.380,20122728,5,29,0.927,0.199,13.322,0.097,14.249,0.174,13.886,0.053,13.086,0.031,12.717,0.028
56.647279,69.658132,0.548,0.352,20122728,5,29,0.744,0.175,12.594,0.099,13.338,0.144,13.076,0.100,12.438,0.081,12.134,0.088
56.655919,69.648291,0.164,0.182,20152678,5,29,1.557,0.188,13.573,0.115,15.129,0.149,14.423,0.064,13.070,0.033,12.397,0.029
56.551748,69.655522,0.263,0.218,20122728,5,27,1.488,0.182,13.790,0.092,15.277,0.157,14.620,0.045,13.358,0.039,12.719,0.038
56.536995,69.668015,0.662,0.625,20152678,4,25,1.239,0.211,15.762,0.098,17.001,0.187,16.493,0.068,15.430,0.057,14.896,0.100
56.573373,69.662025,0.765,0.695,20152678,3,14,1.371,0.000,16.110,0.000,17.480,0.000,16.750,0.077,15.508,0.052,14.933,0.026
56.588109,69.678941,1.297,0.864,20152678,2,5,0.773,0.189,17.161,0.000,17.934,0.189,17.499,0.000,16.885,0.000,16.352,0.000
56.606464,69.689461,0.856,0.579,20152678,2,13,0.991,0.142,15.995,0.051,16.986,0.133,16.643,0.102,15.686,0.011,15.307,0.029
56.116400,69.555458,0.512,0.250,20122728,15,70,0.849,0.311,12.626,0.093,13.475,0.297,13.091,0.170,12.434,0.061,12.213,0.060
56.052663,69.548532,0.761,0.651,20122679,7,35,1.274,0.210,15.647,0.130,16.921,0.165,16.313,0.048,15.239,0.053,14.784,0.103
56.101807,69.585616,0.199,0.243,20122679,7,37,0.854,0.294,13.729,0.104,14.582,0.275,14.200,0.067,13.506,0.032,13.196,0.046
