RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g'mag,e_g'mag,r'mag,e_r'mag,i'mag,e_i'mag
10.697551,40.680348,0.127,0.116,20151767,10,50,0.658,0.073,12.266,0.053,12.924,0.050,12.561,0.051,12.089,0.066,11.937,0.041
10.709136,40.656599,0.095,0.102,20151767,10,50,1.006,0.075,12.236,0.055,13.242,0.051,12.704,0.052,11.927,0.069,11.641,0.042
10.723497,40.712203,0.198,0.144,20151767,10,50,0.505,0.076,13.950,0.047,14.455,0.060,14.165,0.046,13.831,0.061,13.754,0.044
10.729914,40.688946,0.094,0.100,20151767,10,50,0.952,0.077,10.923,0.059,11.875,0.049,11.376,0.049,10.636,0.073,10.322,0.044
10.746895,40.701752,0.350,0.393,20151767,10,50,1.086,0.092,14.423,0.045,15.509,0.081,14.925,0.052,14.061,0.074,13.727,0.059
10.757565,40.743281,0.255,0.248,20151767,10,50,0.546,0.073,14.206,0.050,14.752,0.053,14.436,0.047,14.041,0.070,13.932,0.060
10.766267,40.759741,0.884,0.647,20151767,5,12,0.773,0.000,16.721,0.000,17.493,0.000,17.075,0.038,16.361,0.070,15.978,0.073
10.710737,40.718157,0.265,0.309,20151767,10,50,0.663,0.074,14.281,0.040,14.943,0.062,14.575,0.051,14.109,0.059,13.940,0.048
10.655165,40.699568,1.038,0.773,20121873,5,16,0.513,0.125,16.518,0.115,17.031,0.049,16.695,0.055,16.118,0.071,15.908,0.000
10.642996,40.721323,0.108,0.102,20151767,10,50,0.581,0.074,12.566,0.054,13.147,0.051,12.813,0.054,12.417,0.073,12.291,0.039
10.694625,40.745183,0.561,0.704,20151767,9,43,0.743,0.081,15.411,0.043,16.153,0.068,15.732,0.065,15.207,0.080,14.979,0.042
10.736563,40.745600,0.153,0.160,20151767,10,50,0.682,0.071,13.362,0.054,14.044,0.047,13.665,0.058,13.176,0.064,13.033,0.042
10.733808,40.757919,0.489,0.414,20151767,10,49,0.639,0.085,14.840,0.059,15.479,0.062,15.116,0.066,14.652,0.063,14.513,0.061
10.690276,40.764081,1.057,0.837,20151767,6,22,0.653,0.217,15.710,0.141,16.362,0.165,15.979,0.146,15.472,0.094,15.232,0.020
10.733131,40.790813,0.874,0.649,20151767,8,30,0.748,0.114,16.150,0.102,16.898,0.051,16.484,0.096,15.824,0.123,15.698,0.147
10.475180,40.637433,0.546,0.677,20151766,10,45,0.609,0.116,15.710,0.078,16.319,0.087,15.994,0.058,15.570,0.071,15.526,0.152
10.498082,40.632237,0.836,0.770,20151767,8,29,0.640,0.126,15.876,0.114,16.516,0.055,16.113,0.083,15.730,0.051,15.521,0.078
10.512643,40.644950,0.161,0.145,20151767,10,50,1.145,0.081,11.396,0.059,12.541,0.056,11.941,0.056,11.041,0.071,10.709,0.047
10.468608,40.650267,0.365,0.461,20151766,11,53,1.085,0.100,14.688,0.070,15.772,0.071,15.206,0.046,14.342,0.074,14.073,0.052
10.477853,40.657738,1.029,0.936,20151766,9,30,0.652,0.069,16.227,0.037,16.879,0.058,16.499,0.081,15.931,0.071,15.727,0.049
10.452413,40.687676,1.290,0.921,20151766,3,7,0.710,0.037,16.543,0.000,17.254,0.037,16.875,0.021,16.355,0.000,16.789,0.000
10.342605,40.632613,1.208,0.910,20121873,4,13,1.139,0.088,16.558,0.088,17.698,0.000,17.103,0.087,16.168,0.038,15.757,0.000
10.359601,40.622918,0.501,0.365,20151766,11,54,0.678,0.096,14.702,0.058,15.379,0.077,15.018,0.061,14.519,0.076,14.379,0.057
10.342885,40.623035,1.215,1.389,20151767,4,9,0.809,0.334,16.484,0.000,17.293,0.334,16.961,0.106,16.310,0.094,16.113,0.000
10.343450,40.623203,1.067,0.576,20151767,4,9,0.828,0.110,16.606,0.110,17.434,0.000,16.982,0.061,16.366,0.032,16.171,0.000
10.337241,40.641853,1.132,0.645,20121873,3,10,0.666,0.037,15.120,0.000,15.786,0.037,15.340,0.006,14.902,0.057,14.693,0.031
10.334743,40.651175,0.655,0.567,20151766,10,43,0.642,0.157,15.533,0.095,16.175,0.125,15.804,0.065,15.317,0.062,15.140,0.059
10.337034,40.641850,0.817,0.886,20151766,8,40,0.649,0.099,15.092,0.058,15.741,0.081,15.398,0.078,14.891,0.093,14.695,0.064
10.260849,40.643376,0.496,0.393,20151766,11,54,0.625,0.099,14.758,0.061,15.384,0.078,15.027,0.045,14.593,0.067,14.476,0.056
10.211562,40.621390,0.369,0.184,20151766,11,60,0.529,0.075,12.354,0.044,12.883,0.061,12.585,0.050,12.224,0.057,12.120,0.037
10.356089,40.648116,0.556,0.486,20151766,10,48,0.688,0.099,15.307,0.056,15.995,0.083,15.618,0.055,15.139,0.088,14.988,0.079
10.395002,40.661846,0.769,1.000,20151766,4,14,0.934,0.133,15.368,0.083,16.302,0.105,15.782,0.094,15.082,0.126,15.049,0.214
10.403830,40.673233,0.578,0.642,20151766,10,40,1.391,0.139,15.558,0.076,16.949,0.117,16.217,0.066,14.998,0.060,14.535,0.083
10.395287,40.662039,0.694,0.771,20151767,9,33,0.807,0.041,15.404,0.023,16.211,0.035,15.779,0.048,15.201,0.048,15.063,0.074
10.354465,40.698161,0.382,0.217,20151766,11,55,1.024,0.088,13.962,0.063,14.986,0.061,14.461,0.064,13.616,0.065,13.302,0.054
10.423516,40.757069,1.221,0.934,20151766,6,17,0.686,0.063,15.607,0.035,16.293,0.052,15.839,0.008,15.463,0.032,15.188,0.128
10.311655,40.696224,0.303,0.204,20151766,11,55,0.736,0.078,13.028,0.049,13.763,0.060,13.363,0.055,12.818,0.069,12.663,0.037
10.327926,40.714588,0.895,1.021,20151766,9,38,0.800,0.193,15.842,0.035,16.642,0.189,16.269,0.076,15.533,0.070,14.772,0.131
10.302559,40.718674,0.306,0.191,20151766,11,55,0.554,0.078,12.749,0.051,13.303,0.060,12.994,0.051,12.615,0.063,12.514,0.038
10.334539,40.727514,0.958,0.789,20121873,5,12,0.570,0.029,15.387,0.014,15.958,0.025,15.649,0.156,15.118,0.068,14.921,0.108
10.378158,40.741880,0.359,0.286,20151766,11,55,1.079,0.082,13.794,0.053,14.873,0.063,14.321,0.063,13.455,0.071,13.138,0.046
10.394010,40.776332,0.564,0.621,20151766,11,52,1.100,0.147,15.176,0.103,16.276,0.105,15.733,0.067,14.727,0.063,14.405,0.029
10.348963,40.790509,0.661,0.533,20151766,11,54,0.665,0.097,14.928,0.051,15.594,0.082,15.220,0.070,14.756,0.063,14.644,0.067
10.361417,40.781111,1.013,0.949,20151766,7,26,0.527,0.068,16.188,0.052,16.715,0.044,16.395,0.047,16.082,0.076,16.017,0.056
10.387429,40.795841,0.738,0.672,20151766,11,50,0.700,0.104,15.291,0.045,15.991,0.094,15.614,0.063,15.144,0.085,14.976,0.068
10.512614,40.661964,0.322,0.377,20151767,10,49,0.756,0.064,14.459,0.042,15.215,0.048,14.796,0.053,14.227,0.074,14.050,0.049
10.541949,40.669021,0.350,0.339,20151767,10,50,0.768,0.086,14.277,0.057,15.044,0.064,14.619,0.047,14.033,0.068,13.866,0.056
10.538774,40.682363,0.674,0.784,20151767,9,43,0.552,0.119,15.609,0.111,16.161,0.042,15.810,0.072,15.446,0.071,15.384,0.134
10.595213,40.676045,0.845,0.835,20151767,9,38,0.651,0.144,15.887,0.038,16.538,0.139,16.166,0.069,15.694,0.090,15.541,0.080
10.594718,40.732823,0.156,0.134,20151767,10,50,0.702,0.084,12.978,0.061,13.680,0.058,13.288,0.057,12.776,0.065,12.591,0.045
10.494898,40.687694,1.199,0.985,20121873,5,14,1.530,0.315,14.701,0.271,16.231,0.162,15.451,0.244,14.736,0.245,14.455,0.158
10.514696,40.708633,0.297,0.291,20151767,10,50,0.965,0.085,14.289,0.060,15.254,0.061,14.719,0.047,14.003,0.066,13.725,0.059
10.532609,40.709346,0.754,0.769,20151767,10,45,0.702,0.106,14.930,0.070,15.632,0.080,15.263,0.067,14.751,0.063,14.560,0.077
10.481474,40.715238,0.379,0.370,20151766,11,55,0.638,0.087,14.073,0.055,14.711,0.067,14.359,0.048,13.913,0.060,13.789,0.054
10.500357,40.716357,0.718,0.752,20151767,7,27,0.974,0.096,16.154,0.064,17.128,0.071,16.619,0.079,15.723,0.077,15.560,0.064
10.511928,40.739534,0.957,1.031,20121873,3,7,0.627,0.141,16.999,0.019,17.626,0.140,17.232,0.000,16.389,0.000,16.144,0.000
10.489751,40.742135,0.218,0.198,20151767,10,50,1.263,0.088,12.113,0.060,13.376,0.065,12.724,0.062,11.698,0.076,11.338,0.044
10.499260,40.755150,0.212,0.208,20151767,10,50,0.673,0.084,13.322,0.049,13.996,0.068,13.630,0.057,13.143,0.070,12.980,0.042
10.571118,40.769263,0.788,0.575,20151767,10,47,0.743,0.111,15.039,0.075,15.782,0.081,15.370,0.054,14.827,0.081,14.645,0.085
10.510407,40.765043,0.955,0.971,20151767,7,21,0.712,0.183,16.068,0.087,16.780,0.161,16.382,0.069,15.918,0.041,15.584,0.000
10.521763,40.764171,0.599,0.644,20151767,10,47,0.562,0.112,15.366,0.060,15.928,0.095,15.601,0.072,15.197,0.067,15.024,0.070
10.524025,40.788700,0.383,0.336,20151767,10,50,0.696,0.084,14.380,0.046,15.075,0.071,14.703,0.056,14.186,0.055,14.036,0.066
10.526963,40.748959,0.779,0.925,20151767,6,24,0.739,0.197,16.085,0.094,16.824,0.173,16.393,0.024,15.811,0.113,15.646,0.059
10.539201,40.799133,0.678,0.873,20151767,8,30,0.815,0.237,16.248,0.111,17.063,0.209,16.577,0.095,15.929,0.074,15.824,0.227
10.539444,40.805331,0.250,0.178,20151767,10,50,0.466,0.079,13.395,0.050,13.861,0.062,13.582,0.050,13.298,0.066,13.212,0.050
10.634028,40.758359,0.197,0.121,20151767,10,50,0.605,0.076,11.934,0.055,12.538,0.052,12.199,0.049,11.779,0.066,11.646,0.044
