,wavelength,transmission
0,330.0,1.9299268122000305e-12
1,330.2,3.915914454269489e-12
2,330.4,2.926647023526884e-11
3,330.6,8.213089002953248e-10
4,330.8,2.6524189680481185e-11
5,331.0,9.459860939325899e-13
6,331.2,1.5613975987038192e-13
7,331.4,5.096827933642115e-14
8,331.6,2.602513706750257e-14
9,331.8,1.9297541248924082e-14
10,332.0,2.1167730814833694e-14
11,332.2,4.0315766867811585e-14
12,332.4,2.9676359697776335e-13
13,332.6,1.8878924430535514e-13
14,332.8,3.355431814320889e-14
15,333.0,2.201452181560827e-14
16,333.2,4.131017827722842e-14
17,333.4,4.969439705986291e-13
18,333.6,8.892352334613855e-15
19,333.8,1.831082309178396e-15
20,334.0,7.040869782141526e-16
21,334.2,3.773784163742105e-16
22,334.4,2.5453557414747067e-16
23,334.6,2.0749545406760864e-16
24,334.8,2.0228355603417111e-16
25,335.0,2.3805071215099764e-16
26,335.2,3.398496589756012e-16
27,335.4,6.391848593922944e-16
28,335.6,1.9371398244195607e-15
29,335.8,2.4791081394344863e-14
30,336.0,1.2112574794440968e-14
31,336.2,2.681866890936662e-15
32,336.4,1.6258785025654435e-15
33,336.6,1.5444631864862335e-15
34,336.8,2.0355411141145345e-15
35,337.0,3.663964448718261e-15
36,337.2,9.587734815617437e-15
37,337.4,4.519726431742665e-14
38,337.6,1.0002300305468412e-12
39,337.8,2.0281740168224926e-12
40,338.0,2.4661873538954153e-12
41,338.2,1.2563913146401049e-12
42,338.4,2.021617484443743e-13
43,338.6,9.93439665961762e-14
44,338.8,8.942731972952984e-14
45,339.0,1.3021694294247306e-13
46,339.2,3.080565104720923e-13
47,339.4,1.0193339872176642e-12
48,339.6,1.6327714276371153e-12
49,339.8,2.469948450955246e-12
50,340.0,5.753834844202746e-11
51,340.2,2.0169930677216318e-12
52,340.4,4.698318025868109e-13
53,340.6,2.797933557367568e-13
54,340.8,2.9194993005612084e-13
55,341.0,5.182705281468552e-13
56,341.2,1.517549909281654e-12
57,341.4,1.4066662504471826e-12
58,341.6,6.055013525501516e-13
59,341.8,4.4405400717556704e-13
60,342.0,5.308017851848886e-13
61,342.2,1.0377085318905912e-12
62,342.4,4.1414169660909435e-12
63,342.6,2.0548544698840184e-10
64,342.8,2.1430492578849277e-11
65,343.0,7.570831680299942e-12
66,343.2,4.1144964287264756e-12
67,343.4,2.4531765167359457e-12
68,343.6,1.9224577013446247e-12
69,343.8,2.2240112754803697e-12
70,344.0,4.252189463136973e-12
71,344.2,1.8766720533770308e-11
72,344.4,3.6073504258180395e-09
73,344.6,5.5660349418445604e-11
74,344.8,1.4700512328238886e-11
75,345.0,3.847561151697924e-12
76,345.2,1.4718018182744922e-12
77,345.4,8.957370863029876e-13
78,345.6,8.685897436503416e-13
79,345.8,1.529303175819494e-12
80,346.0,7.424733676594977e-12
81,346.2,1.6817057672777858e-12
82,346.4,3.6034795831090414e-13
83,346.6,1.5620004673227533e-13
84,346.8,9.897915648979162e-14
85,347.0,8.204934673310902e-14
86,347.2,8.553446096917958e-14
87,347.4,1.1172882349616473e-13
88,347.6,1.8851242669025271e-13
89,347.8,4.509004942397268e-13
90,348.0,2.0794188865662744e-12
91,348.2,3.198976857896928e-10
92,348.4,5.7212354561859795e-12
93,348.6,2.4974652293427785e-12
94,348.8,2.4158051587109704e-12
95,349.0,3.83176636325776e-12
96,349.2,1.0358213790778392e-11
97,349.4,7.659410276203333e-11
98,349.6,5.148143311245365e-10
99,349.8,8.560496312918119e-11
100,350.0,9.443711323997903e-11
101,350.2,5.090496651161754e-10
102,350.4,6.200975129851745e-10
103,350.6,6.9679617036461e-11
104,350.8,3.2492066583613694e-11
105,351.0,2.5529554400667124e-11
106,351.2,2.7993035314062186e-11
107,351.4,3.9956384603304474e-11
108,351.6,7.167912275949072e-11
109,351.8,1.5446676622025138e-10
110,352.0,3.6206801264079845e-10
111,352.2,8.231988285068225e-10
112,352.4,2.0091608685987214e-09
113,352.6,8.510491538475449e-09
114,352.8,1.8579689043479742e-06
115,353.0,1.7513146516468062e-08
116,353.2,7.682943569365394e-09
117,353.4,7.581050934148356e-09
118,353.6,1.1124302584293324e-08
119,353.8,1.5316329708711374e-08
120,354.0,1.4050143161093061e-08
121,354.2,1.327848383176543e-08
122,354.4,1.8611019418495348e-08
123,354.6,5.175563478231328e-08
124,354.8,1.700574837976038e-06
125,355.0,1.3943921606947136e-07
126,355.2,4.34344542233503e-08
127,355.4,3.5502060596910314e-08
128,355.6,5.244926951919639e-08
129,355.8,1.501317274329214e-07
130,356.0,1.8679187842694146e-06
131,356.2,2.229000496346603e-06
132,356.4,4.7414966519206313e-07
133,356.6,1.863598804552455e-07
134,356.8,7.711473059435285e-08
135,357.0,4.3063573208258066e-08
136,357.2,3.500862633549133e-08
137,357.4,4.287494153667745e-08
138,357.6,9.059327290999243e-08
139,357.8,6.311867454907176e-07
140,358.0,8.759551868311977e-07
141,358.2,1.5148590351813408e-07
142,358.4,9.74609832346763e-08
143,358.6,1.1968935313241416e-07
144,358.8,2.763991448622974e-07
145,359.0,1.889197278980683e-06
146,359.2,3.052015808750618e-06
147,359.4,7.49152896430225e-07
148,359.6,4.258330195030933e-07
149,359.8,2.6109758783084775e-07
150,360.0,1.5612011731225065e-07
151,360.2,9.382534898119203e-08
152,360.4,5.159311482704517e-08
153,360.6,2.638958285129081e-08
154,360.8,1.4620239292248508e-08
155,361.0,9.697390701578086e-09
156,361.2,7.980564451926295e-09
157,361.4,8.275467441973495e-09
158,361.6,1.1095041540900352e-08
159,361.8,2.037683319463391e-08
160,362.0,5.958088690225595e-08
161,362.2,4.677730976065111e-07
162,362.4,6.731584222692722e-07
163,362.6,1.3783218646029517e-07
164,362.8,6.320324726609553e-08
165,363.0,3.842154752815293e-08
166,363.2,3.0140685112615976e-08
167,363.4,3.355684335399432e-08
168,363.6,6.598810483984288e-08
169,363.8,6.631407005844611e-07
170,364.0,2.0445328840654487e-07
171,364.2,3.8506163689696064e-08
172,364.4,2.316480367739156e-08
173,364.6,2.9403213610307124e-08
174,364.8,8.283788155948499e-08
175,365.0,2.2852526141139016e-08
176,365.2,4.5952257246100385e-09
177,365.4,1.7292467759209457e-09
178,365.6,9.32773142273123e-10
179,365.8,6.437954920421672e-10
180,366.0,5.401076989873332e-10
181,366.2,5.370041880954623e-10
182,366.4,6.25954497094155e-10
183,366.6,8.542430894919619e-10
184,366.8,1.3756220170701703e-09
185,367.0,2.664339282393141e-09
186,367.2,6.445328533336852e-09
187,367.4,2.1070248243445265e-08
188,367.6,1.1552260061993472e-07
189,367.8,3.75351238957915e-06
190,368.0,1.5388019648429095e-06
191,368.2,5.046635682723074e-07
192,368.4,3.6517065909226385e-07
193,368.6,3.648084115579635e-07
194,368.8,5.421371876531528e-07
195,369.0,2.2337227800296084e-06
196,369.2,3.60433702842436e-06
197,369.4,2.172190339399798e-07
198,369.6,5.8498810888363244e-08
199,369.8,2.560195803040517e-08
200,370.0,1.5013315345704177e-08
201,370.2,1.1042250833982925e-08
202,370.4,9.94469173897498e-09
203,370.6,1.0939319629511798e-08
204,370.8,1.4871766723586287e-08
205,371.0,2.5586357515016873e-08
206,371.2,5.546619600552719e-08
207,371.4,1.1615092751140562e-07
208,371.6,1.3285922641069084e-07
209,371.8,1.2300870405403898e-07
210,372.0,1.5778125056041561e-07
211,372.2,3.486187210465463e-07
212,372.4,1.9302879614671817e-06
213,372.6,8.223750118764733e-06
214,372.8,2.932880912341574e-06
215,373.0,3.718741354688714e-07
216,373.2,5.759364873172416e-08
217,373.4,1.593045997343294e-08
218,373.6,6.4350648776397226e-09
219,373.8,3.395887841193626e-09
220,374.0,2.2092198663078334e-09
221,374.2,1.718335088349387e-09
222,374.4,1.5756385620038479e-09
223,374.6,1.6989649656481363e-09
224,374.8,2.174152079476391e-09
225,375.0,3.384311033913161e-09
226,375.2,6.762781972277841e-09
227,375.4,1.965876147001183e-08
228,375.6,1.1610959607617476e-07
229,375.8,9.325291563530509e-07
230,376.0,1.651704013166061e-07
231,376.2,9.864658056231503e-08
232,376.4,9.849457828839783e-08
233,376.6,1.1852697737634014e-07
234,376.8,1.451778773042886e-07
235,377.0,1.9668024170416484e-07
236,377.2,4.0991611814878505e-07
237,377.4,3.315921217561932e-06
238,377.6,1.2442114874409594e-06
239,377.8,2.7118625609777095e-07
240,378.0,1.855318360465213e-07
241,378.2,3.3856857195312096e-07
242,378.4,1.5604880292021865e-05
243,378.6,1.11779418525757e-07
244,378.8,2.2727327500793113e-08
245,379.0,9.103742593577544e-09
246,379.2,5.198552858519909e-09
247,379.4,3.834785227310955e-09
248,379.6,3.5456151454699703e-09
249,379.8,4.169964194587571e-09
250,380.0,6.761946635557248e-09
251,380.2,2.0333530311668934e-08
252,380.4,1.5543660657703112e-06
253,380.6,2.0300099413571243e-08
254,380.8,4.7924896259567164e-09
255,381.0,2.2460558621292028e-09
256,381.2,1.4658031999827647e-09
257,381.4,1.2112432258486677e-09
258,381.6,1.2393128001893667e-09
259,381.8,1.607011089238583e-09
260,382.0,2.8850211153561e-09
261,382.2,9.673067378409952e-09
262,382.4,1.5162274627318215e-06
