,wavelength,transmission
0,330.1,3.2786729039782925e-08
1,330.3,3.647892026992723e-08
2,330.5,9.389721068506625e-08
3,330.7,8.226215806347409e-07
4,330.9,3.933482195526746e-08
5,331.1,1.1439000063607113e-08
6,331.3,6.477688416548989e-09
7,331.5,6.099054337370805e-09
8,331.7,5.834824726279015e-09
9,331.9,8.342523623631075e-09
10,332.1,1.6065271800906328e-08
11,332.3,4.489585825345015e-08
12,332.5,3.0374726057949237e-07
13,332.7,8.54879305199591e-07
14,332.9,6.26757153205061e-08
15,333.1,2.197767286124868e-08
16,333.3,1.3214402663982395e-08
17,333.5,1.207740345290392e-08
18,333.7,1.7757045517367892e-08
19,333.9,4.555413400743883e-08
20,334.1,2.9328091077531624e-08
21,334.3,7.838988250793496e-09
22,334.5,3.6569012701662142e-09
23,334.7,2.6132158964133032e-09
24,334.9,2.722064210504326e-09
25,335.1,4.524013021671899e-09
26,335.3,2.021013062215405e-08
27,335.5,7.813143454150717e-08
28,335.7,3.133056264380549e-08
29,335.9,1.9895894276946032e-08
30,336.1,2.0067624654546355e-07
31,336.3,1.0725742888291589e-07
32,336.5,1.6434802443150642e-07
33,336.7,2.9910762450570295e-08
34,336.9,6.6669120966632844e-09
35,337.1,4.98132157381353e-09
36,337.3,8.038327692864954e-09
37,337.5,2.2644453121242228e-08
38,337.7,6.841994497549761e-08
39,337.9,2.5776516579268535e-07
40,338.1,1.3597995611024671e-07
41,338.3,1.1689674529557115e-07
42,338.5,1.1083004794834009e-07
43,338.7,1.1477322066582442e-07
44,338.9,2.3409979387143965e-07
45,339.1,3.1170807994939224e-06
46,339.3,1.8759531084487573e-07
47,339.5,6.092264980200467e-08
48,339.7,5.037785622582177e-08
49,339.9,9.126187960465346e-08
50,340.1,2.2670998759169262e-06
51,340.3,6.275456046791523e-08
52,340.5,2.1676548970545847e-08
53,340.7,2.302040425378135e-08
54,340.9,7.842663523509994e-08
55,341.1,6.143779639110467e-07
56,341.3,4.989694848364075e-07
57,341.5,4.080520060615809e-07
58,341.7,1.600198719730735e-06
59,341.9,2.2918681351786886e-07
60,342.1,8.591337408613905e-08
61,342.3,7.117047570154754e-08
62,342.5,1.0351220354686644e-07
63,342.7,2.48190828892002e-07
64,342.9,7.790730023352304e-07
65,343.1,2.440879874053314e-06
66,343.3,6.777740380341388e-06
67,343.5,4.6550153071124205e-07
68,343.7,1.3697402626453242e-07
69,343.9,1.1659702544613259e-07
70,344.1,7.767995301094725e-08
71,344.3,9.42630099642507e-08
72,344.5,9.294627813215712e-08
73,344.7,6.314370024025151e-08
74,344.9,4.806778996035648e-08
75,345.1,5.223420511304374e-08
76,345.3,9.14525623979534e-08
77,345.5,3.570591729616215e-07
78,345.7,5.293310514469321e-06
79,345.9,5.019012858868408e-07
80,346.1,2.8037164516698074e-07
81,346.3,3.4641394386115987e-07
82,346.5,6.071539901665423e-07
83,346.7,7.479451207491428e-07
