,wavelength,transmission
0,330.1,2.6514285051701503e-10
1,330.3,1.197529282880225e-10
2,330.5,9.279675649658339e-11
3,330.7,2.0508587274592367e-10
4,330.9,8.450499021790473e-10
5,331.1,4.400424874548301e-09
6,331.3,1.260562655507292e-08
7,331.5,3.16760065005742e-09
8,331.7,4.642053976509771e-09
9,331.9,1.2811822395932962e-08
10,332.1,1.528892822294459e-09
11,332.3,1.0028832456887793e-09
12,332.5,2.5541285160004533e-09
13,332.7,3.640034440463248e-09
14,332.9,6.571926603534388e-10
15,333.1,3.8999006200007125e-10
16,333.3,4.760503153005529e-10
17,333.5,9.971292970608571e-10
18,333.7,2.6244319894740304e-09
19,333.9,6.842825999955891e-09
20,334.1,2.9085468078416443e-08
21,334.3,7.702993177486517e-09
22,334.5,3.768665805490802e-09
23,334.7,3.237604182335204e-09
24,334.9,3.6729996907540228e-09
25,335.1,2.843185798816283e-09
26,335.3,4.679922853694328e-09
27,335.5,2.6450097085714735e-08
28,335.7,7.329781363011788e-08
29,335.9,1.4897060356374447e-08
30,336.1,2.7989322677379047e-08
31,336.3,4.627208902320651e-08
32,336.5,7.578934780665249e-09
33,336.7,5.062766172300909e-09
34,336.9,9.524844871720542e-09
35,337.1,1.9069394195077687e-08
36,337.3,1.0632463199230363e-07
37,337.5,2.0511319880517805e-07
38,337.7,6.847791651181459e-07
39,337.9,1.6944826636986976e-08
40,338.1,4.799919451856443e-09
41,338.3,3.215316945670152e-09
42,338.5,3.1194003494623495e-09
43,338.7,1.7440237670195098e-09
44,338.9,7.157414198867067e-10
45,339.1,5.43705714584263e-10
46,339.3,3.6216851865676653e-09
47,339.5,3.138036252144629e-09
48,339.7,3.6848296408628987e-09
49,339.9,4.7241775459398965e-08
50,340.1,1.2220263704153157e-08
51,340.3,1.231481670659914e-08
52,340.5,3.707431555184311e-08
53,340.7,7.293891205815523e-08
54,340.9,6.184725187260046e-09
55,341.1,5.577348662382217e-09
56,341.3,2.4169854036689308e-09
57,341.5,3.1587567898807097e-09
58,341.7,7.566537494377148e-10
59,341.9,3.1311950432360683e-10
60,342.1,2.1123763659881276e-10
61,342.3,2.3112045801257296e-10
62,342.5,5.000543540772594e-10
63,342.7,2.185584390329142e-09
64,342.9,3.521997958696571e-10
65,343.1,1.0174421426717286e-09
66,343.3,8.189204519815623e-11
67,343.5,4.4110711847493416e-11
68,343.7,5.038620834751745e-11
69,343.9,8.702467674483333e-11
70,344.1,2.900983512049609e-10
71,344.3,1.7123986994370256e-08
72,344.5,6.948007083810125e-10
73,344.7,2.2962613328384997e-10
74,344.9,1.8025101048520272e-10
75,345.1,2.3563082550585563e-10
76,345.3,5.25627999551069e-10
77,345.5,3.1785677094793486e-09
78,345.7,2.94799739514131e-08
79,345.9,2.548570552899738e-09
80,346.1,1.7868815572423708e-09
81,346.3,2.986904221508577e-09
82,346.5,1.8583788074484896e-08
83,346.7,4.110978281423112e-08
84,346.9,4.9391241351779684e-09
85,347.1,2.9261454163239177e-09
86,347.3,3.318289857121918e-09
87,347.5,6.661890551644786e-09
88,347.7,3.28372586968614e-08
89,347.9,3.031369221002737e-06
90,348.1,5.722157865569462e-08
91,348.3,3.618096411419431e-08
