,wavelength,transmission
0,301.0,4.614701623942079e-10
1,302.0,6.553402083304634e-10
2,303.0,9.886738243065305e-10
3,304.0,1.2194822793156903e-09
4,305.0,1.6956631504739012e-09
5,306.0,2.052365671406057e-09
6,307.0,2.5424671589561746e-09
7,308.0,3.060088897177305e-09
8,309.0,3.4353534885557834e-09
9,310.0,4.209535674347588e-09
10,311.0,4.476908499068289e-09
11,312.0,4.9197499687289375e-09
12,313.0,5.367858078159165e-09
13,314.0,5.4674837106485745e-09
14,315.0,6.0304692210404265e-09
15,316.0,6.0443484699849645e-09
16,317.0,6.4275596222438065e-09
17,318.0,6.384075005839821e-09
18,319.0,6.955343411888294e-09
19,320.0,6.550028772411774e-09
20,321.0,7.40704605771834e-09
21,322.0,7.3644255997765485e-09
22,323.0,7.733748428096696e-09
23,324.0,8.54589053538975e-09
24,325.0,8.283064002337334e-09
25,326.0,8.994474998425996e-09
26,327.0,9.451965752048505e-09
27,328.0,9.278969227560912e-09
28,329.0,1.0088933691543047e-08
29,330.0,1.0516335957639511e-08
30,331.0,1.101053354213129e-08
31,332.0,1.2150605371674415e-08
32,333.0,1.3056683250332816e-08
33,334.0,1.36285585498758e-08
34,335.0,1.4814708038846928e-08
35,336.0,1.5756511972764314e-08
36,337.0,1.6461706833227238e-08
37,338.0,1.742407285955847e-08
38,339.0,1.8483793473676007e-08
39,340.0,1.934109258585973e-08
40,341.0,2.089200518936409e-08
41,342.0,2.2503806599672353e-08
42,343.0,2.4058425564385202e-08
43,344.0,2.552326437224475e-08
44,345.0,2.7296636916315037e-08
45,346.0,2.9040526930040028e-08
46,347.0,3.078213507624233e-08
47,348.0,1.8363739927286095e-07
48,349.0,1.1738079363672818e-06
49,350.0,2.8212234150470558e-06
50,351.0,2.9240829968130303e-06
51,352.0,1.994018443615343e-06
52,353.0,2.311932775749603e-06
53,354.0,2.674137717318292e-06
54,355.0,1.5486143949472295e-06
55,356.0,9.318595426199205e-07
56,357.0,1.2540681745244813e-06
57,358.0,6.324113153047986e-07
58,359.0,6.41456208893215e-07
59,360.0,1.4759629499420432e-06
60,361.0,1.1148758591881522e-06
61,362.0,2.2432830030719315e-07
62,363.0,2.3958677430581414e-07
63,364.0,1.929636554462638e-07
64,365.0,1.9453748700000792e-07
65,366.0,2.609860780084114e-07
66,367.0,4.454550098228183e-07
67,368.0,6.519272849752245e-07
68,369.0,7.974423239925214e-07
69,370.0,3.538996825118878e-07
70,371.0,4.880208349261922e-07
71,372.0,7.296909030039147e-07
72,373.0,5.266450117787092e-07
73,374.0,9.909030038831389e-07
74,375.0,3.769186384052292e-07
75,376.0,1.441636720910289e-07
76,377.0,7.11517859074423e-07
77,378.0,1.4055657116447451e-06
78,379.0,1.6212260806853654e-07
79,380.0,1.6830435392279094e-07
80,381.0,1.7435891807115193e-07
81,382.0,2.0534741471559605e-07
82,383.0,1.0319685801527397e-06
83,384.0,4.7031392376595927e-07
84,385.0,4.94885149872249e-07
85,386.0,3.6751396421810317e-07
86,387.0,5.566749507247192e-07
87,388.0,4.053637601200494e-07
88,389.0,3.3981008257374227e-07
89,390.0,5.041845935004628e-07
90,391.0,2.3468478184769063e-07
91,392.0,2.4011204673373817e-07
92,393.0,2.45590004007324e-07
93,394.0,4.895248093353998e-07
94,395.0,2.5671733363933025e-07
95,396.0,2.623664044930738e-07
96,397.0,4.424123712588236e-07
97,398.0,9.956582384534879e-07
98,399.0,9.502599825666743e-07
99,400.0,3.757068492309736e-07
100,401.0,2.9045269276091816e-07
101,402.0,6.521561221539275e-07
102,403.0,1.5373221440077465e-06
103,404.0,1.0759392815608076e-06
104,405.0,2.5946556537774965e-06
105,406.0,3.12871210391979e-07
106,407.0,3.174626091185585e-07
107,408.0,3.220626862468814e-07
108,409.0,1.3532127708733149e-06
109,410.0,1.9163160153444662e-06
110,411.0,4.317660697513691e-07
111,412.0,4.011420712380712e-07
112,413.0,4.7525598656629984e-07
113,414.0,3.522827916039128e-07
114,415.0,3.5141807258696733e-06
115,416.0,3.9972707134809646e-06
116,417.0,3.6884997946967204e-07
117,418.0,3.7442838052915583e-07
118,419.0,3.8006843417697374e-07
119,420.0,1.050820687539791e-06
120,421.0,1.4998637909156043e-06
121,422.0,3.9579059891846215e-07
122,423.0,8.134191790403851e-07
123,424.0,4.051462906402969e-07
124,425.0,4.0987748581287915e-07
125,426.0,9.908850267308552e-07
126,427.0,1.9101500725465278e-06
127,428.0,5.7495265177158615e-06
128,429.0,2.0658315604579288e-06
129,430.0,2.4449352885811203e-06
130,431.0,2.5002175761907497e-06
131,432.0,1.6374277804634656e-05
132,433.0,1.4669305449286201e-06
133,434.0,4.515318348588375e-07
134,435.0,4.5588326722280415e-07
135,436.0,4.6025146997922805e-07
136,437.0,4.6463508444897465e-07
137,438.0,4.6899749112513465e-07
138,439.0,4.7336050640481376e-07
139,440.0,4.777053854012669e-07
140,441.0,4.815398911563144e-07
141,442.0,4.848948292602088e-07
142,443.0,4.881822296496715e-07
143,444.0,4.916977859484035e-07
144,445.0,4.951228258149798e-07
145,446.0,4.98590744014448e-07
146,447.0,5.020981149103924e-07
147,448.0,5.056165787877967e-07
148,449.0,5.091372261718527e-07
149,450.0,5.126118903242875e-07
150,451.0,5.161284389587101e-07
151,452.0,5.198504034039089e-07
152,453.0,5.235560559910725e-07
153,454.0,5.272613206315562e-07
154,455.0,5.309327061282453e-07
155,456.0,5.34581915486206e-07
156,457.0,5.381864185170553e-07
157,458.0,8.11121785013934e-06
158,459.0,6.623765689694577e-06
159,460.0,5.48951052996228e-07
160,461.0,5.520042337643271e-07
161,462.0,5.540536023922362e-07
162,463.0,2.67815526099202e-06
163,464.0,5.5214554869214415e-06
164,465.0,5.604865046774465e-07
165,466.0,5.625736383918346e-07
166,467.0,5.645485037351738e-07
167,468.0,6.119870152302597e-07
168,469.0,9.5910350806528e-07
169,470.0,5.701220243564601e-07
170,471.0,5.723022381783645e-07
