,wavelength,transmission
0,330.0,7.028147051408623e-14
1,330.2,1.3104884443994262e-13
2,330.4,1.0976663388432299e-14
3,330.6,4.1467373567154685e-15
4,330.8,2.8115261354515862e-15
5,331.0,2.8720020944553154e-15
6,331.2,4.5489745501866305e-15
7,331.4,1.465885241080054e-14
8,331.6,4.440102802225856e-13
9,331.8,2.0488113808841842e-14
10,332.0,6.903579080448495e-15
11,332.2,5.000056653424499e-15
12,332.4,5.870980344293109e-15
13,332.6,1.1753771622519465e-14
14,332.8,7.35272660441579e-14
15,333.0,1.1998011018766527e-13
16,333.2,1.4261232795408738e-14
17,333.4,6.398930978152873e-15
18,333.6,4.611228699034783e-15
19,333.8,4.468974398935149e-15
20,334.0,5.495741695234745e-15
21,334.2,8.3517417679712e-15
22,334.4,1.564762711770723e-14
23,334.6,3.706880505300664e-14
24,334.8,1.1889417554782717e-13
25,335.0,6.162678122226828e-13
26,335.2,8.871291266862026e-12
27,335.4,4.7591180666573793e-11
28,335.6,1.3780372892469448e-11
29,335.8,1.9888199659181296e-11
30,336.0,6.825531445504171e-11
31,336.2,1.0397698466220272e-09
32,336.4,2.2217136783233967e-09
33,336.6,9.624486352298174e-10
34,336.8,2.120703136692845e-09
35,337.0,1.726439051595669e-08
36,337.2,2.9195506464070946e-08
37,337.4,3.076891264407618e-08
38,337.6,2.3741048187259604e-07
39,337.8,7.821773121011425e-08
40,338.0,7.03600381799272e-08
41,338.2,1.3228936307299656e-06
42,338.4,4.975067586471759e-08
43,338.6,1.984456102539024e-08
44,338.8,2.1230988471048743e-08
45,339.0,1.3306612050094304e-08
46,339.2,4.393699913633455e-09
47,339.4,2.3303250568273807e-09
48,339.6,2.0908621070784027e-09
49,339.8,3.1848419820748586e-09
50,340.0,9.670688440915997e-09
51,340.2,1.022596743989268e-07
52,340.4,8.412835761237272e-08
53,340.6,1.0792881209303717e-08
54,340.8,2.0225924210435485e-09
55,341.0,6.649002757308005e-10
56,341.2,3.4813122884698283e-10
57,341.4,2.725781676402761e-10
58,341.6,3.2614829881746366e-10
59,341.8,6.950816022031925e-10
60,342.0,2.026433585965096e-09
61,342.2,5.150808307253587e-10
62,342.4,1.7343987758690592e-10
63,342.6,1.0187815455295812e-10
64,342.8,8.825354379861167e-11
65,343.0,1.0902939212868024e-10
66,343.2,2.0898575750210623e-10
67,343.4,9.426029589050182e-10
68,343.6,1.0815753805957442e-08
69,343.8,5.608374225404067e-10
70,344.0,2.3265511601164515e-10
71,344.2,1.757876606682351e-10
72,344.4,1.9019028651076047e-10
73,344.6,2.726753808367989e-10
74,344.8,4.953731581920504e-10
75,345.0,1.0329648204791546e-09
76,345.2,1.9428950200941635e-09
77,345.4,2.9018873929179085e-09
78,345.6,4.319313203386316e-09
79,345.8,7.9927014363599e-09
80,346.0,1.84918720691062e-08
81,346.2,4.856797692887734e-08
82,346.4,1.293665706668454e-07
83,346.6,3.418071628470835e-08
84,346.8,7.768617671399584e-09
85,347.0,3.1194291602957318e-09
86,347.2,1.8333320165274698e-09
87,347.4,1.4347136348934774e-09
88,347.6,1.4323197621744488e-09
89,347.8,1.7967212792343077e-09
90,348.0,2.847357406678762e-09
91,348.2,5.8588327200255225e-09
92,348.4,1.650402304670981e-08
93,348.6,6.590212985199608e-08
94,348.8,2.277518452513784e-07
95,349.0,2.85298192825253e-07
96,349.2,3.123811867634069e-07
97,349.4,3.360433713604152e-07
98,349.6,3.2081201722573135e-07
99,349.8,2.4631958520138407e-07
100,350.0,1.0532772480984658e-07
101,350.2,3.9017564418820906e-08
102,350.4,1.8103393419914002e-08
103,350.6,1.0864400205895964e-08
104,350.8,8.161638118308507e-09
105,351.0,7.470389300796428e-09
106,351.2,8.217694501439258e-09
107,351.4,1.0851410300478341e-08
108,351.6,1.74539079654833e-08
109,351.8,3.554144285600676e-08
110,352.0,1.0011292681382564e-07
111,352.2,4.306304579849893e-07
112,352.4,6.303978321960726e-07
113,352.6,2.473173840873966e-07
114,352.8,1.429678681226674e-07
115,353.0,1.1380574366546275e-07
116,353.2,1.1479623465793117e-07
