,wavelength,transmission
0,330.1,2.522188175100945e-09
1,330.3,1.435044173101144e-08
2,330.5,1.8344729754173975e-08
3,330.7,4.634123194510488e-09
4,330.9,3.2756175946413697e-09
5,331.1,3.897433246238881e-09
6,331.3,8.639193512660268e-09
7,331.5,5.1752741975275344e-08
8,331.7,2.9054063831903764e-08
9,331.9,5.895642960841951e-09
10,332.1,2.700931764773576e-09
11,332.3,2.0350837485375173e-09
12,332.5,2.5335945364952594e-09
13,332.7,6.880000299710445e-09
14,332.9,4.6375078364771544e-08
15,333.1,4.665269816791384e-09
16,333.3,1.7737478047187295e-09
17,333.5,1.383835393048584e-09
18,333.7,1.8086374328449825e-09
19,333.9,4.047908901844624e-09
20,334.1,1.7476889850518844e-08
21,334.3,5.8822984810324893e-08
22,334.5,4.642734025007685e-08
23,334.7,3.368439010204752e-08
24,334.9,1.4800557272561629e-08
25,335.1,8.641263931335755e-09
26,335.3,8.795594778136083e-09
27,335.5,1.713071986665496e-08
28,335.7,9.747228555415717e-08
29,335.9,4.078079246334121e-07
30,336.1,9.752308502381295e-08
31,336.3,7.680270481652502e-08
32,336.5,5.461866755097308e-08
33,336.7,3.919698821892303e-08
34,336.9,6.14321722494234e-08
35,337.1,5.772713575580571e-07
36,337.3,4.700705713779499e-08
37,337.5,1.3146944246267468e-08
38,337.7,9.18281525881596e-09
39,337.9,1.239053383010018e-08
40,338.1,3.379845199311126e-08
41,338.3,5.952339807790775e-08
42,338.5,2.44365601408672e-08
43,338.7,2.0091255958768405e-08
44,338.9,4.07118073695532e-08
45,339.1,4.6935176859301005e-07
46,339.3,8.785646591708666e-08
47,339.5,2.5194894823842122e-08
48,339.7,1.2131748967852966e-08
49,339.9,5.720118868762695e-09
50,340.1,3.081364257214103e-09
51,340.3,2.249580972947964e-09
52,340.5,2.393194101622854e-09
53,340.7,4.317193589727903e-09
54,340.9,1.628187261889634e-08
55,341.1,1.3078089256714628e-07
56,341.3,1.1855340657142671e-08
57,341.5,5.6258906717351526e-09
58,341.7,5.122614709355744e-09
59,341.9,6.961609948807309e-09
60,342.1,1.2200661593174821e-08
61,342.3,2.3550704409861954e-08
62,342.5,5.074339956850245e-08
63,342.7,2.1009148691136286e-07
64,342.9,1.348876520374797e-06
65,343.1,1.5377824691385665e-07
66,343.3,1.2141538598906873e-07
67,343.5,6.936328151498152e-08
68,343.7,5.5512428188201104e-08
69,343.9,3.271132280086371e-08
70,344.1,2.170559043222606e-08
71,344.3,1.9576975519529702e-08
72,344.5,2.3955532752852968e-08
73,344.7,3.799008065566529e-08
74,344.9,7.422878162828806e-08
75,345.1,1.9820379581134617e-07
76,345.3,1.9609665438153266e-06
77,345.5,6.879689017192819e-07
78,345.7,1.1918198012758556e-07
79,345.9,5.793910260383989e-08
80,346.1,4.424743369678239e-08
81,346.3,4.45890162396732e-08
82,346.5,5.571887311298629e-08
83,346.7,9.64615866942914e-08
84,346.9,2.6818415241028363e-07
85,347.1,9.525999330126563e-06
86,347.3,3.9223624900965715e-07
87,347.5,1.1951492164883613e-07
88,347.7,8.332791635708642e-08
89,347.9,8.567600754086587e-08
90,348.1,1.039811948785421e-07
91,348.3,1.263484066184382e-07
92,348.5,1.766227921740192e-07
93,348.7,4.5899707101390387e-07
94,348.9,4.432086722657895e-06
95,349.1,3.2847966419505124e-07
96,349.3,1.203954926569905e-07
97,349.5,1.0930187869723581e-07
98,349.7,2.876897978492427e-07
99,349.9,6.2560154490223815e-06
100,350.1,1.4447001006785714e-07
101,350.3,3.500900577392162e-08
102,350.5,1.555529431661037e-08
103,350.7,8.540933685355132e-09
104,350.9,5.224115176347923e-09
105,351.1,3.746213662368343e-09
106,351.3,3.6648213130147623e-09
107,351.5,7.243646925305654e-09
108,351.7,2.767932791567409e-07
109,351.9,2.0753308718365128e-08
110,352.1,8.873357290373857e-09
111,352.3,8.383331747782473e-09
112,352.5,1.1072127961723037e-08
113,352.7,1.819707111734447e-08
114,352.9,2.5946036252614333e-08
115,353.1,3.5825870179968175e-08
116,353.3,1.672570430750783e-07
117,353.5,4.724179552385651e-07
118,353.7,5.729105348940856e-08
119,353.9,6.831971230893541e-08
120,354.1,3.3867543919791003e-07
121,354.3,4.040341727583008e-07
122,354.5,2.5862125612657e-07
123,354.7,5.075422024668313e-07
124,354.9,3.0862710164018835e-07
125,355.1,6.860720673208783e-08
126,355.3,3.482723764547384e-08
127,355.5,3.1724502080244316e-08
128,355.7,5.4273369362280975e-08
129,355.9,5.430938837358572e-07
130,356.1,1.1828659890874143e-07
131,356.3,1.7465071106578014e-08
132,356.5,7.466072862648031e-09
133,356.7,5.2591420333127966e-09
134,356.9,5.536929128545241e-09
135,357.1,9.16947593548007e-09
136,357.3,3.158775036411234e-08
137,357.5,7.421791440362145e-08
138,357.7,1.0358602554394265e-08
139,357.9,5.483152101030762e-09
140,358.1,4.989368290865873e-09
141,358.3,7.513990619592392e-09
142,358.5,9.298840948295393e-08
143,358.7,2.979416516701492e-08
144,358.9,1.8536271096925212e-07
145,359.1,2.7139897755974794e-05
146,359.3,2.256656963981823e-07
147,359.5,3.895064550099821e-08
148,359.7,1.449222957586665e-08
149,359.9,8.954963275854389e-09
150,360.1,8.572158992451014e-09
151,360.3,1.3563049621052474e-08
152,360.5,5.3228440034662964e-08
153,360.7,4.6752601886934227e-07
154,360.9,2.7414310523605814e-08
155,361.1,1.2999082928132432e-08
156,361.3,1.2624642945634635e-08
157,361.5,1.9513240394071462e-08
158,361.7,7.226325784837006e-08
159,361.9,1.7152786956690821e-06
160,362.1,7.085015257821518e-08
161,362.3,3.203822469433638e-08
162,362.5,3.757112764541464e-08
163,362.7,5.729306559468888e-08
164,362.9,2.5265371942219374e-08
165,363.1,1.1602925816374342e-08
166,363.3,9.953977307594657e-09
167,363.5,1.535313143279691e-08
168,363.7,4.174945163166923e-08
169,363.9,6.308803831194825e-07
170,364.1,1.8056589906310378e-07
171,364.3,2.5292026352135062e-08
172,364.5,1.5433791756050912e-08
173,364.7,2.9450757164795824e-08
174,364.9,8.579940843876588e-07
175,365.1,1.013771714215473e-08
176,365.3,2.8879686532019635e-09
