,wavelength,transmission
0,330.1,8.95712010525785e-12
1,330.3,8.17400138434036e-12
2,330.5,1.8663963824358327e-11
3,330.7,2.178111303822656e-11
4,330.9,4.86830446899869e-12
5,331.1,2.468248881177084e-12
6,331.3,2.5041654268690877e-12
7,331.5,3.313016186879256e-12
8,331.7,1.1063693081611888e-12
9,331.9,3.0288588896536367e-13
10,332.1,1.260065055803304e-13
11,332.3,7.249528057450913e-14
12,332.5,5.376941746507168e-14
13,332.7,4.9762447548053114e-14
14,332.9,5.702599266432649e-14
15,333.1,8.074475890150586e-14
16,333.3,1.4723384883812678e-13
17,333.5,3.7489991197307156e-13
18,333.7,1.6577067510820253e-12
19,333.9,3.207814039444503e-11
20,334.1,7.477499432356077e-11
21,334.3,2.4352348774372533e-11
22,334.5,5.076338483341902e-12
23,334.7,1.4242351605861319e-12
24,334.9,6.858897226460601e-13
25,335.1,4.911922126852499e-13
26,335.3,4.865616629416842e-13
27,335.5,6.594030801991449e-13
28,335.7,1.6440403155515798e-10
29,335.9,3.3435088371946656e-10
30,336.1,5.688068848942557e-10
31,336.3,7.326513089568882e-10
32,336.5,8.672253121197675e-10
33,336.7,7.116916321218424e-10
34,336.9,6.28757909124294e-10
35,337.1,3.889744497027617e-09
36,337.3,2.5883672150603775e-09
37,337.5,3.789871025807296e-11
38,337.7,5.301214420575416e-12
39,337.9,1.5962086769681486e-12
40,338.1,7.445547887295181e-13
41,338.3,4.737918674636988e-13
42,338.5,3.887224411019424e-13
43,338.7,4.026297885275187e-13
44,338.9,5.28711169099122e-13
45,339.1,9.103256493037382e-13
46,339.3,2.247283292064924e-12
47,339.5,1.0334809732731657e-11
48,339.7,1.4709294538089765e-09
49,339.9,2.1204109273343815e-09
50,340.1,3.1310395307887694e-09
51,340.3,4.314580491312957e-09
52,340.5,2.0778536984158566e-08
53,340.7,5.99302164622791e-09
54,340.9,5.114862053078278e-09
55,341.1,2.9151899060205924e-09
56,341.3,2.032870155755736e-09
57,341.5,1.1452962798178624e-09
58,341.7,1.1609870695532124e-09
59,341.9,1.1771998676449401e-09
60,342.1,1.1937648604757628e-09
61,342.3,1.2108177350215722e-09
62,342.5,1.2290523371834085e-09
63,342.7,1.0094249723697157e-09
64,342.9,1.1164243451867563e-09
65,343.1,5.232502148799821e-10
66,343.3,2.651871387934703e-10
67,343.5,8.218895467673792e-12
68,343.7,2.15174274911103e-11
69,343.9,9.864116819242537e-10
70,344.1,4.999220592780102e-11
71,344.3,2.0625493794063413e-11
72,344.5,4.207710856251766e-11
73,344.7,2.104667067513409e-09
74,344.9,4.000697426780389e-09
75,345.1,6.074075022944566e-09
76,345.3,8.200857370185283e-09
77,345.5,1.0378544462788976e-08
78,345.7,8.704887208477775e-09
79,345.9,6.988308702654626e-09
80,346.1,5.228599510781629e-09
81,346.3,3.4242730465750843e-09
82,346.5,1.5751261093138396e-09
83,346.7,1.275054277131746e-09
84,346.9,9.682829209756875e-10
85,347.1,6.598912306765725e-10
86,347.3,1.1871198266862243e-09
87,347.5,8.468324213473402e-11
88,347.7,2.1216165261104387e-10
89,347.9,6.702531081334372e-11
90,348.1,6.2267269181511714e-12
91,348.3,2.0638580304328125e-12
92,348.5,1.1503304120256754e-12
93,348.7,9.141221579544444e-13
94,348.9,1.0045103492613646e-12
95,349.1,1.6556580534874362e-12
96,349.3,6.108287928705912e-12
97,349.5,1.4444308827554572e-10
98,349.7,1.1276202103702911e-09
99,349.9,2.2736983195848832e-09
100,350.1,3.4447081612245357e-09
101,350.3,4.639510369276999e-09
102,350.5,5.861379608405668e-09
103,350.7,5.153123291456257e-09
104,350.9,4.422353520940346e-09
105,351.1,3.6687841776548737e-09
106,351.3,2.8924072942218232e-09
107,351.5,2.0944027169089686e-09
108,351.7,1.7010993660295433e-09
109,351.9,1.308227385222868e-09
110,352.1,1.0412307728149616e-09
111,352.3,8.36790408634621e-10
112,352.5,1.5760188269839445e-10
113,352.7,6.174172335540018e-10
114,352.9,1.2250184946946696e-09
115,353.1,2.4117469986444643e-09
116,353.3,1.0071711522545926e-08
117,353.5,1.1511464315335232e-06
118,353.7,9.467847846170557e-07
119,353.9,1.9363228910178336e-08
120,354.1,6.170481784530725e-09
121,354.3,4.3778536026696676e-09
