,wavelength,transmission
0,330.0,4.3195732173537145e-09
1,330.2,3.460454918472984e-09
2,330.4,4.585327355939585e-09
3,330.6,9.707480552648396e-09
4,330.8,3.129263431443333e-08
5,331.0,1.1681127176885599e-07
6,331.2,1.2543349031367017e-08
7,331.4,3.2270074814839707e-09
8,331.6,1.9288258842310637e-09
9,331.8,2.587628810581915e-09
10,332.0,1.9123804884912962e-08
11,332.2,5.313429531125944e-09
12,332.4,1.028988749450343e-09
13,332.6,7.159410231753535e-10
14,332.8,1.4922734696158788e-09
15,333.0,2.63699469713771e-09
16,333.2,2.644582192240598e-10
17,333.4,8.602158208048439e-11
18,333.6,5.102895351712301e-11
19,333.8,4.6005299966331196e-11
20,334.0,5.709871206736646e-11
21,334.2,7.400772559507555e-11
22,334.4,6.424635429410518e-11
23,334.6,4.673137787334396e-11
24,334.8,4.333717319684472e-11
25,335.0,6.073925839688428e-11
26,335.2,1.5003301559060738e-10
27,335.4,1.6170612834760434e-09
28,335.6,1.117791929323279e-09
29,335.8,2.52927162140399e-10
30,336.0,1.9522546764261047e-10
31,336.2,2.8005105864285056e-10
32,336.4,5.721212631723787e-10
33,336.6,7.5470557999465e-10
34,336.8,6.93074433631971e-10
35,337.0,1.1493472236257733e-09
36,337.2,1.0777449920619418e-08
37,337.4,4.4638762751719114e-09
38,337.6,1.0609621472113238e-09
39,337.8,8.124660353589528e-10
40,338.0,5.15615621308442e-10
41,338.2,1.7985599793555613e-10
42,338.4,8.046351212577205e-11
43,338.6,5.4192788273191606e-11
44,338.8,5.400950717945297e-11
45,339.0,8.201012906032738e-11
46,339.2,2.2035879641186044e-10
47,339.4,1.9825151050422626e-09
48,339.6,1.1348158472719697e-08
49,339.8,3.0668171937628864e-09
50,340.0,1.4366712201191614e-09
51,340.2,2.813872438068149e-10
52,340.4,1.1395736812171521e-10
53,340.6,8.594832098129992e-11
54,340.8,1.0624496934370892e-10
55,341.0,1.2295792146588422e-10
56,341.2,5.723253507287332e-11
57,341.4,2.725781676402766e-11
58,341.6,2.0022353172781845e-11
59,341.8,2.3929619526422987e-11
60,342.0,5.749530402754859e-11
61,342.2,1.425526803176728e-09
62,342.4,1.3205320868262696e-10
63,342.6,3.979981647339241e-11
64,342.8,3.666335072962057e-11
65,343.0,8.403178536054402e-11
66,343.2,9.779500870971285e-11
67,343.4,2.189418577003768e-11
68,343.6,1.1152103543868092e-11
69,343.8,1.1257371148381243e-11
70,344.0,1.470322512802479e-11
71,344.2,4.853872751215282e-12
72,344.4,1.3188285272024628e-12
73,344.6,5.459412733651357e-13
74,344.8,3.1299144752113114e-13
75,345.0,2.3162505266455314e-13
76,345.2,2.142640625665138e-13
77,345.4,2.45855855202904e-13
78,345.6,3.4867009243897595e-13
79,345.8,6.370794411229747e-13
80,346.0,1.6326040902669885e-12
81,346.2,7.283665849128001e-12
82,346.4,1.411958934138636e-10
83,346.6,3.271757898035902e-10
84,346.8,1.0574108160120094e-10
85,347.0,2.1906607526561243e-11
86,347.2,6.117037217260469e-12
87,347.4,2.933359055258562e-12
88,347.6,2.093341021600879e-12
89,347.8,2.069096334537787e-12
90,348.0,2.80118623901174e-12
91,348.2,5.46903998163707e-12
92,348.4,1.8641884866993644e-11
93,348.6,2.922129445340729e-10
94,348.8,2.573723596778149e-10
95,349.0,8.675590024148897e-11
96,349.2,1.1775649500137e-10
97,349.4,4.735821590422004e-10
98,349.6,1.5210749986571023e-08
99,349.8,1.0408758793120463e-08
100,350.0,1.632836511824131e-10
101,350.2,2.2733178189321077e-11
102,350.4,6.8117702193529925e-12
103,350.6,3.173260714337292e-12
104,350.8,2.0215167050552866e-12
105,351.0,1.661664090368096e-12
106,351.2,1.7252418799421405e-12
107,351.4,2.2713611060458372e-12
108,351.6,3.9227685213333505e-12
109,351.8,9.721539713185238e-12
110,352.0,4.490453031769633e-11
111,352.2,2.0323792100825923e-09
112,352.4,4.152548476191199e-10
113,352.6,2.6124900451726956e-10
114,352.8,7.225009811648577e-10
115,353.0,6.802431560677349e-08
116,353.2,6.501710731576749e-09
117,353.4,6.119689880145233e-09
118,353.6,1.444351155789828e-10
119,353.8,2.7698401526058467e-11
120,354.0,1.0410719599409968e-11
121,354.2,5.857988153847676e-12
122,354.4,4.4943838601661324e-12
123,354.6,4.578862894359327e-12
124,354.8,6.3547101867657e-12
125,355.0,1.3417911790581904e-11
126,355.2,6.662456227916817e-11
127,355.4,1.5369281352751644e-09
128,355.6,5.758898762382096e-11
129,355.8,3.0100414884709465e-11
130,356.0,3.4814325822226644e-11
131,356.2,9.109827746698697e-11
132,356.4,4.178452294982714e-09
133,356.6,2.117153872300757e-10
134,356.8,8.714397091749869e-11
135,357.0,1.771781091829166e-10
136,357.2,5.594677670287554e-10
137,357.4,1.8163667401798736e-11
138,357.6,4.289394098403585e-12
139,357.8,1.7776975357473747e-12
140,358.0,1.0122362557326636e-12
141,358.2,7.250571198648699e-13
142,358.4,6.285369133353771e-13
143,358.6,6.499134425262445e-13
144,358.8,8.035940177904832e-13
145,359.0,1.2113713873410762e-12
146,359.2,2.3355371451224988e-12
147,359.4,6.413136193291903e-12
148,359.6,3.416168895029337e-11
149,359.8,3.5156275535991317e-09
150,360.0,3.467040133418451e-10
151,360.2,8.676012887204657e-10
152,360.4,2.744048280126273e-10
153,360.6,2.5523047295193775e-11
154,360.8,8.471386194556599e-12
155,361.0,4.728842977668136e-12
156,361.2,3.763861284882791e-12
157,361.4,4.1427863285606255e-12
158,361.6,6.839572108559212e-12
159,361.8,2.527764965697414e-11
160,362.0,5.988347078928203e-10
161,362.2,1.1500990407109535e-11
162,362.4,3.444429371161771e-12
163,362.6,1.82789247731204e-12
164,362.8,1.3074930592052747e-12
165,363.0,1.1512638110629787e-12
166,363.2,1.2018578925869522e-12
167,363.4,1.4654840653816764e-12
168,363.6,2.0848060358529857e-12
169,363.8,3.502722110205701e-12
170,364.0,7.158039656268969e-12
171,364.2,1.8950918010542352e-11
172,364.4,7.554898324664537e-11
173,364.6,6.935771854649519e-10
174,364.8,1.6118661834982087e-09
175,365.0,6.414077666745039e-10
176,365.2,6.648242456497284e-10
177,365.4,1.2383886832076937e-09
178,365.6,4.0999261379174406e-09
179,365.8,3.297979344990263e-08
180,366.0,4.617217871654324e-06
181,366.2,3.786846251011799e-06
182,366.4,6.767725945342194e-08
183,366.6,1.4742850928160041e-08
184,366.8,7.450735017619963e-09
185,367.0,6.258777721028519e-09
186,367.2,7.977100420618054e-09
187,367.4,1.5804095755560047e-08
188,367.6,5.8744465561087276e-08
189,367.8,1.0950598442745777e-06
190,368.0,1.7594735081027477e-06
191,368.2,7.239389675700158e-07
192,368.4,1.6726145692122919e-07
193,368.6,4.147294191816289e-08
194,368.8,1.8789239338845496e-08
195,369.0,1.327483932692624e-08
196,369.2,1.3608974286558081e-08
197,369.4,2.0610943742062712e-08
198,369.6,5.440603019586443e-08
199,369.8,6.530902215526415e-07
200,370.0,4.706267482037193e-07
201,370.2,9.86410322275547e-08
202,370.4,7.341610259618139e-08
203,370.6,1.0541206275716159e-07
204,370.8,2.856686382341122e-07
205,371.0,4.87201328585381e-07
206,371.2,1.78866241799766e-07
207,371.4,1.0561428960068981e-07
208,371.6,1.0449408787348598e-07
209,371.8,1.647539528041169e-07
210,372.0,4.647885213044848e-07
211,372.2,4.393905429210947e-06
212,372.4,1.3561948852319777e-05
213,372.6,4.913261797999939e-06
214,372.8,1.2105826047455862e-05
215,373.0,2.2212424948992405e-06
216,373.2,5.61144348422368e-07
217,373.4,3.1399903670041163e-07
218,373.6,3.0644527521667765e-07
219,373.8,5.187443003790075e-07
220,374.0,1.1685275066037756e-06
221,374.2,5.456420833532783e-07
222,374.4,2.1392256690292385e-07
223,374.6,1.4144396541107616e-07
