,wavelength,transmission
0,330.1,9.109871395743432e-09
1,330.3,9.58877557749502e-09
2,330.5,1.0124565389503033e-08
3,330.7,8.910553217354692e-09
4,330.9,7.623451933322193e-09
5,331.1,6.285107828909927e-09
6,331.3,4.967551637488485e-09
7,331.5,3.6322424903537934e-09
8,331.7,3.0993465824751255e-09
9,331.9,2.533022559860863e-09
10,332.1,1.936485610291374e-09
11,332.3,1.313529701797204e-09
12,332.5,6.670164039305784e-10
13,332.7,5.407625143950426e-10
14,332.9,4.101635243507373e-10
15,333.1,2.7636996176075307e-10
16,333.3,1.3959470985509054e-10
17,333.5,1.6508793623543677e-14
18,333.7,4.259000648082949e-14
19,333.9,1.9173843744519215e-13
20,334.1,2.4024612345113893e-12
21,334.3,1.7829569416347233e-11
22,334.5,9.648294974410956e-12
23,334.7,3.10585876711035e-11
24,334.9,6.248190978359205e-10
25,335.1,1.5683806406099614e-10
26,335.3,2.0306631465732921e-10
27,335.5,1.0530547986122284e-09
28,335.7,9.785122193987614e-10
29,335.9,7.533544217934933e-10
30,336.1,1.4908032941981267e-09
31,336.3,2.322781129469151e-09
32,336.5,3.6419551698377985e-09
33,336.7,6.390735271319036e-09
34,336.9,1.0052994864319947e-09
35,337.1,4.5444359728070003e-10
36,337.3,4.4664544754770825e-10
37,337.5,8.545243263838014e-10
38,337.7,2.7231738668493847e-09
39,337.9,3.517140093253109e-09
40,338.1,3.624070697599144e-09
41,338.3,9.600361837005641e-09
42,338.5,6.9189407784940965e-09
43,338.7,3.2139929931956074e-09
44,338.9,3.873003313824534e-09
45,339.1,1.0202824007800507e-08
46,339.3,9.663561742940581e-08
47,339.5,4.627050316007557e-08
48,339.7,1.6499517720954072e-08
49,339.9,2.6663435538455825e-09
50,340.1,1.4272630103576198e-09
51,340.3,7.102252286210447e-10
52,340.5,5.885893893450555e-11
53,340.7,5.574573803645836e-11
54,340.9,7.341516106317373e-11
55,341.1,1.385801634715119e-10
56,341.3,3.873160911190264e-10
57,341.5,9.94948796610823e-10
58,341.7,9.101590954279261e-10
59,341.9,9.014953473791758e-10
60,342.1,1.6520739611464098e-09
61,342.3,8.12540329376348e-09
62,342.5,1.4234985783198153e-07
63,342.7,1.553811460661266e-08
64,342.9,1.8495682083898223e-08
65,343.1,4.0845728994878975e-08
66,343.3,9.517925674239825e-09
67,343.5,4.1880654190530485e-09
68,343.7,3.7178370252834644e-09
69,343.9,5.909601644980235e-09
70,344.1,1.875868110894979e-08
71,344.3,2.233594619492184e-07
72,344.5,1.0586341229685564e-06
73,344.7,1.3843275809476234e-07
74,344.9,2.439530625062e-08
75,345.1,8.682751932107645e-09
76,345.3,5.58661358230278e-09
77,345.5,5.861762556269022e-09
78,345.7,1.0516094848324146e-08
79,345.9,2.7755570032773153e-08
80,346.1,6.142435900677605e-08
81,346.3,7.972645744497121e-08
82,346.5,3.663399515776902e-07
83,346.7,1.4349251347307085e-07
84,346.9,2.5078054738536473e-08
85,347.1,1.528919995359702e-08
86,347.3,2.173579477119882e-08
87,347.5,3.204036661918675e-08
88,347.7,5.5688675612965435e-09
89,347.9,1.6647109514682357e-09
90,348.1,8.180122728352484e-10
91,348.3,5.580586183722005e-10
92,348.5,4.908203961871093e-10
93,348.7,5.387710309385973e-10
94,348.9,7.300530430472499e-10
95,349.1,1.226508736228355e-09
96,349.3,2.6068707572931306e-09
97,349.5,7.3806866116717784e-09
98,349.7,3.348449691693736e-08
99,349.9,9.82185288452424e-07
100,350.1,1.3092561462723194e-07
101,350.3,3.168338550504549e-08
102,350.5,1.7348349965000933e-08
103,350.7,1.4583872841130564e-08
104,350.9,1.7522502507914612e-08
105,351.1,3.095922607450069e-08
106,351.3,9.294032386105922e-08
107,351.5,8.296602326429821e-07
108,351.7,7.860725243649531e-06
109,351.9,2.0421049445540617e-06
110,352.1,9.48484172441238e-07
111,352.3,2.0897358309933168e-07
112,352.5,9.476793146672448e-08
113,352.7,7.88812833384944e-08
114,352.9,7.343929243957736e-08
115,353.1,2.8531474519874066e-08
116,353.3,9.409261724736379e-09
117,353.5,4.3493958029262625e-09
118,353.7,2.810871543095439e-09
119,353.9,2.496288403295871e-09
120,354.1,3.184870801195409e-09
121,354.3,7.130723295932227e-09
122,354.5,9.511278939379386e-08
123,354.7,1.9182426501610906e-08
124,354.9,3.561358324536332e-09
125,355.1,1.7425458955063886e-09
126,355.3,1.3122517599387922e-09
127,355.5,1.3017335313501654e-09
128,355.7,1.5103688036585686e-09
129,355.9,1.733763772026297e-09
130,356.1,1.7785182434525681e-09
131,356.3,1.868918996158885e-09
132,356.5,2.5601338122526367e-09
133,356.7,7.396132915876975e-09
134,356.9,9.896317525817925e-08
135,357.1,3.135706747385007e-08
136,357.3,1.6165265683569725e-08
137,357.5,1.3532713208785625e-07
138,357.7,9.45795254137725e-09
139,357.9,7.675514178268246e-09
140,358.1,8.143085019793115e-09
141,358.3,8.800444563939363e-09
142,358.5,9.505971465507177e-09
143,358.7,2.1096517700508647e-08
144,358.9,3.292294569359244e-08
145,359.1,4.498409818966298e-08
146,359.3,5.728080885796236e-08
147,359.5,6.981540947049069e-08
148,359.7,6.580831982038339e-08
149,359.9,6.172022999681526e-08
150,360.1,5.7565920028924165e-08
151,360.3,5.3599545770021824e-08
