,wavelength,transmission
0,330.0,1.1599541946836012e-09
1,330.2,3.3972944981242387e-09
2,330.4,5.339128166582576e-08
3,330.6,1.2861941477263299e-08
4,330.8,6.129741004680669e-09
5,331.0,6.697068672855943e-09
6,331.2,1.368401391444849e-08
7,331.4,2.0361040711347828e-07
8,331.6,1.128997617653869e-08
9,331.8,2.513633628495126e-09
10,332.0,1.3752267268385595e-09
11,332.2,1.2268032707168157e-09
12,332.4,1.3234594105881713e-09
13,332.6,1.162457939552069e-09
14,332.8,8.923771019981233e-10
15,333.0,8.588340538941776e-10
16,333.2,1.2270353347284541e-09
17,333.4,2.8087133965469918e-09
18,333.6,1.0261637340731349e-08
19,333.8,5.641672435987082e-08
20,334.0,1.2190634552515517e-07
21,334.2,6.703120978978801e-09
22,334.4,2.1694442208418623e-09
23,334.6,1.54173093398799e-09
24,334.8,2.210347616978738e-09
25,335.0,1.0003903298971957e-08
26,335.2,4.742276133093965e-08
27,335.4,5.030677524215609e-09
28,335.6,3.760633146235946e-09
29,335.8,9.604958024133324e-09
30,336.0,7.0914732956158575e-09
31,336.2,1.2692209110849346e-09
32,336.4,5.731761207474007e-10
33,336.6,4.576964679724128e-10
34,336.8,5.916704486892049e-10
35,337.0,1.3512983643295688e-09
36,337.2,8.554921198518464e-09
37,337.4,1.3164735831003897e-08
38,337.6,3.953665194807746e-09
39,337.8,3.714541498583132e-09
40,338.0,7.425506224051211e-09
41,338.2,3.032668396418855e-08
42,338.4,9.217199445422154e-08
43,338.6,7.525606332747476e-08
44,338.8,3.6205138609387984e-08
45,339.0,1.9465586579104664e-08
46,339.2,5.175238769734585e-09
47,339.4,8.389121897950492e-10
48,339.6,2.1524119370049869e-10
49,339.8,8.429229713805932e-11
50,340.0,4.607415636993316e-11
51,340.2,3.362051839715779e-11
52,340.4,3.22880941197844e-11
53,340.6,4.147032100460555e-11
54,340.8,7.558025894924726e-11
55,341.0,2.2759174886508962e-10
56,341.2,1.7731398203084591e-09
57,341.4,3.353444072528676e-08
58,341.6,3.953803828401761e-09
59,341.8,3.5525139625227255e-10
60,342.0,7.714936837154414e-11
61,342.2,3.0596756303420173e-11
62,342.4,1.8392847005540096e-11
63,342.6,1.5706559701996014e-11
64,342.8,1.9347825126064155e-11
65,343.0,3.94406070507767e-11
66,343.2,2.5651731751144224e-10
67,343.4,5.985890923002699e-10
68,343.6,7.241971194823904e-11
69,343.8,4.55970750706378e-11
70,344.0,5.806475621218828e-11
71,344.2,6.067201053213747e-11
72,344.4,2.080598747315603e-11
73,344.6,8.636662094859048e-12
74,344.8,5.512295242266477e-12
75,345.0,5.069738176856132e-12
76,345.2,5.914926265049276e-12
77,345.4,5.433511063989266e-12
78,345.6,2.89544084722691e-12
79,345.8,1.4879679964422094e-12
80,346.0,9.586959224666897e-13
81,346.2,8.015857971364833e-13
82,346.4,8.839385319652139e-13
83,346.6,1.3664104019572138e-12
84,346.8,3.647906920430522e-12
85,347.0,5.6842756160982927e-11
86,347.2,1.5650965093759197e-11
87,347.4,3.4646967259716405e-12
88,347.6,2.187459314127608e-12
89,347.8,2.3533185131646253e-12
90,348.0,4.128972441161609e-12
91,348.2,1.4194205819417281e-11
92,348.4,2.2443460547565132e-10
93,348.6,1.2941942040259707e-08
94,348.8,5.136436273803266e-11
95,349.0,3.4930034991652247e-12
