,wavelength,transmission
0,330.1,4.847930883858293e-11
1,330.3,6.963796389379137e-12
2,330.5,5.018893510517758e-12
3,330.7,9.651734563970229e-12
4,330.9,5.165216597121936e-11
5,331.1,6.684446954671011e-10
6,331.3,7.096853970087471e-10
7,331.5,3.384905169835525e-09
8,331.7,1.2652341424091815e-09
9,331.9,1.753553764878011e-09
10,332.1,3.122061879525095e-10
11,332.3,2.8766100404417124e-10
12,332.5,3.315940378562538e-10
13,332.7,2.0731095978632246e-11
14,332.9,6.6609314741029986e-12
15,333.1,5.633830082729862e-12
16,333.3,1.6957240024727287e-11
17,333.5,1.4540539779315483e-11
18,333.7,2.3965033780612457e-12
19,333.9,1.3518830330369319e-12
20,334.1,3.002281242658247e-12
21,334.3,4.6152071930946616e-12
22,334.5,4.4830279951858015e-13
23,334.7,1.9655207323831254e-13
24,334.9,1.9103765287321183e-13
25,335.1,4.310914197717712e-13
26,335.3,5.432482626655476e-12
27,335.5,2.1107517234625643e-12
28,335.7,7.690504568937143e-11
29,335.9,1.385277020248539e-12
30,336.1,5.935450606889062e-13
31,336.3,5.690635018104771e-13
32,336.5,8.982578765445511e-13
33,336.7,2.424601976825653e-12
34,336.9,1.7910468857256016e-11
35,337.1,1.1988990384313115e-10
36,337.3,1.985313568481751e-11
37,337.5,2.192200368023751e-11
38,337.7,1.1870706060662803e-10
39,337.9,1.45308155720065e-10
40,338.1,1.6349262666241277e-11
41,338.3,7.615350005286855e-12
42,338.5,5.9723075679023645e-12
43,338.7,6.5329374052463025e-12
44,338.9,9.300818003414564e-12
45,339.1,1.6634127951760148e-11
46,339.3,3.570803446392438e-11
47,339.5,8.333281374442882e-11
48,339.7,1.8858646314255687e-10
49,339.9,4.5758786824302443e-10
50,340.1,1.9335500700918968e-09
51,340.3,4.222110964964668e-07
52,340.5,3.992202143057926e-09
53,340.7,1.7587837732912167e-09
54,340.9,1.7425523406371773e-09
55,341.1,2.5662625718240063e-09
56,341.3,3.5445862668988157e-09
57,341.5,3.2606241581672136e-09
58,341.7,3.0889958731753263e-09
59,341.9,4.3387388148959606e-09
60,342.1,1.2090089067290216e-08
61,342.3,3.9805668990966337e-07
62,342.5,3.2700707280963944e-08
63,342.7,1.0202425061787519e-08
64,342.9,8.349803470769264e-09
65,343.1,1.2349633263119129e-08
66,343.3,3.53974999638317e-08
67,343.5,4.409788929070914e-07
