,wavelength,transmission
0,330.1,2.2928117446042234e-11
1,330.3,1.967590454300683e-11
2,330.5,2.4216082304457804e-11
3,330.7,4.654575389470453e-11
4,330.9,2.0959346218796562e-10
5,331.1,2.3938059869718346e-09
6,331.3,1.2475645202672446e-10
7,331.5,5.242320365738687e-11
8,331.7,4.006822644209099e-11
9,331.9,4.367963902372078e-11
10,332.1,6.293510597805811e-11
11,332.3,1.1473864981498846e-10
12,332.5,2.397923541522691e-10
13,332.7,5.864199170336267e-10
14,332.9,9.465111747410013e-10
15,333.1,1.414802505179772e-09
16,333.3,2.405511995007135e-09
17,333.5,4.9483104151863656e-09
18,333.7,1.218045114663316e-08
19,333.9,3.095571265968021e-08
20,334.1,9.83917803994433e-09
21,334.3,4.2982361129318595e-09
22,334.5,3.7262359060737115e-09
23,334.7,3.9346943589886974e-09
24,334.9,4.3603940498035915e-09
25,335.1,4.890993313229203e-09
26,335.3,5.517202017231732e-09
27,335.5,6.31247878557313e-09
28,335.7,8.067710389011045e-09
29,335.9,1.1642679320244555e-08
30,336.1,2.4350815277500482e-08
31,336.3,6.340934080305184e-08
32,336.5,7.783408974169549e-08
33,336.7,8.302556540945753e-08
34,336.9,8.738334677477482e-08
35,337.1,8.235495444505136e-08
36,337.3,6.358355171809773e-08
37,337.5,2.9749374720399385e-08
38,337.7,1.3762833362565366e-08
39,337.9,8.248475256398593e-09
40,338.1,5.8734494339480615e-09
41,338.3,4.5325437001795214e-09
42,338.5,3.6415450460591306e-09
43,338.7,3.641577819416055e-09
44,338.9,4.074510756816116e-09
45,339.1,5.419141569130339e-09
46,339.3,9.400461589001636e-09
47,339.5,2.403738997164751e-08
48,339.7,9.965823172328013e-08
49,339.9,1.445864440378448e-07
50,340.1,5.7213424085473784e-08
51,340.3,3.352609793499863e-08
52,340.5,2.699695310869322e-08
53,340.7,2.7351707011466187e-08
54,340.9,3.282179678060877e-08
55,341.1,3.879623615563811e-08
56,341.3,3.1799466958103354e-08
57,341.5,1.9428123041754155e-08
58,341.7,1.2729049528575775e-08
59,341.9,9.990405339243836e-09
60,342.1,9.323625366156381e-09
61,342.3,1.0109930976654988e-08
62,342.5,1.2622656293599972e-08
63,342.7,1.7830549352576403e-08
64,342.9,2.78194228485852e-08
65,343.1,4.050150039560632e-08
66,343.3,4.713035283886382e-08
67,343.5,4.4417204250691165e-08
68,343.7,3.114664284211711e-08
69,343.9,1.6808803706848543e-08
70,344.1,9.189578302282307e-09
71,344.3,5.821148993032438e-09
72,344.5,4.243104135656385e-09
73,344.7,4.2975205782798245e-09
74,344.9,4.827514940489442e-09
75,345.1,5.815979244367932e-09
76,345.3,7.595680036672281e-09
77,345.5,1.149847812215198e-08
78,345.7,2.3409306110766875e-08
79,345.9,5.056853937547551e-08
80,346.1,3.964348744236086e-08
81,346.3,2.7561269246458752e-08
82,346.5,2.5519670885163697e-08
83,346.7,2.6600774184685166e-08
84,346.9,3.27193649457311e-08
85,347.1,3.955366088187912e-08
86,347.3,3.401422971961405e-08
87,347.5,2.3605047766497694e-08
88,347.7,2.2685493984471904e-08
89,347.9,2.5119535575792937e-08
90,348.1,3.0057134186091006e-08
91,348.3,3.822081153446366e-08
92,348.5,5.317517984118235e-08
93,348.7,1.046741877826791e-07
94,348.9,1.2475765011589233e-07
95,349.1,1.5055744797768195e-07
96,349.3,1.863296790238157e-07
97,349.5,2.257031592913381e-07
98,349.7,2.2755630637486468e-07
99,349.9,2.3009566184570547e-07
100,350.1,2.336213267550502e-07
101,350.3,2.4013756217168683e-07
102,350.5,2.6125177567231755e-07
103,350.7,2.41009637630544e-07
104,350.9,1.827593349403259e-07
105,351.1,1.4178088916767442e-07
106,351.3,1.0564761578055206e-07
107,351.5,7.419023085011276e-08
108,351.7,1.0226314765908478e-07
109,351.9,2.69555258448556e-07
110,352.1,1.2286203409006554e-07
111,352.3,7.083695478991642e-08
112,352.5,5.8224002662272416e-08
113,352.7,5.139742168656131e-08
114,352.9,4.6579059317844586e-08
115,353.1,4.2215962830031355e-08
116,353.3,3.7915748111613544e-08
117,353.5,3.35659339259201e-08
118,353.7,3.396380685389641e-08
119,353.9,3.438302054947974e-08
120,354.1,3.4825093222560086e-08
121,354.3,3.53093485159318e-08
122,354.5,3.591955585307799e-08
