,wavelength,transmission
0,330.0,7.366154773290038e-15
1,330.2,1.0720948153902284e-13
2,330.4,1.008719337044764e-13
3,330.6,1.8741594158675259e-13
4,330.8,2.199085550728978e-12
5,331.0,3.913674947881834e-12
6,331.2,1.674223783627319e-13
7,331.4,2.9073677738203776e-14
8,331.6,1.096460587531381e-14
9,331.8,6.832851432630651e-15
10,332.0,6.2990390985906835e-15
11,332.2,8.324821403835804e-15
12,332.4,1.6282107822843828e-14
13,332.6,5.383655331972572e-14
14,332.8,4.952772937183149e-13
15,333.0,6.398957952753143e-12
16,333.2,8.954824302238163e-13
17,333.4,3.726554059145906e-13
18,333.6,1.76244941965988e-13
19,333.8,1.3261964674448648e-13
20,334.0,1.7475367288731318e-13
21,334.2,4.154101059398391e-13
22,334.4,7.317260025332872e-13
23,334.6,3.9692512148117763e-13
24,334.8,3.49269433418328e-13
25,335.0,6.859137122886922e-13
26,335.2,4.585501485381618e-12
27,335.4,1.5343572124715387e-11
28,335.6,7.374982083617486e-13
29,335.8,1.0512244931445522e-13
30,336.0,2.6039729699649058e-14
31,336.2,9.777711496467707e-15
32,336.4,5.0267592855539395e-15
33,336.6,3.341008349668751e-15
34,336.8,2.7847093866765976e-15
35,337.0,2.8684762014709115e-15
36,337.2,3.672958433466757e-15
37,337.4,6.0633431684673835e-15
38,337.6,1.3877137437417262e-14
39,337.8,5.2204172327333744e-14
40,338.0,5.914609363053555e-13
41,338.2,9.940882155820827e-12
42,338.4,1.0839243808228353e-11
43,338.6,6.906237295844979e-13
44,338.8,8.663037901806514e-14
45,339.0,3.0162511142446826e-14
46,339.2,1.7014938810460026e-14
47,339.4,1.3237821019121562e-14
48,339.6,1.3348282577894828e-14
49,339.8,1.7150938491090415e-14
50,340.0,2.8658759761952554e-14
51,340.2,6.771804405014394e-14
52,340.4,2.9291553843549566e-13
53,340.6,7.008698809105857e-12
54,340.8,1.015800390721238e-12
55,341.0,4.376798098106504e-13
56,341.2,4.0648355775337757e-13
57,341.4,5.900530610769209e-13
58,341.6,1.2972244259912483e-12
59,341.8,5.127855677155085e-12
60,342.0,1.183129749732147e-10
61,342.2,5.351498246452955e-11
62,342.4,1.8435246896818194e-11
63,342.6,1.807927744227346e-11
64,342.8,2.8690106038177697e-11
65,343.0,6.055410516796318e-11
66,343.2,1.2712082118691498e-10
67,343.4,2.0185002089824757e-10
68,343.6,3.0595446326174684e-10
69,343.8,6.031661833689821e-10
70,344.0,1.7350524463353358e-09
71,344.2,6.986962087663496e-09
72,344.4,4.355001738097011e-08
73,344.6,1.8261898657221565e-07
74,344.8,9.456544501206769e-09
75,345.0,3.516296845641283e-09
76,345.2,2.712372516151263e-09
77,345.4,3.828076038379326e-09
