,wavelength,transmission
0,330.1,1.159896526364783e-10
1,330.3,1.0677930832219482e-10
2,330.5,1.2531770483529262e-10
3,330.7,3.4357243856449887e-10
4,330.9,2.5635675449233694e-09
5,331.1,5.156593870250743e-08
6,331.3,1.6904808223477447e-08
7,331.5,1.6788517084292107e-08
8,331.7,5.364099143288453e-08
9,331.9,6.386922096564501e-08
10,332.1,8.322451618128661e-08
11,332.3,9.100625585206594e-09
12,332.5,1.0003268445982267e-09
13,332.7,3.3089132199298934e-10
14,332.9,1.911522294563317e-10
15,333.1,1.5768928660967966e-10
16,333.3,1.8401722933339253e-10
17,333.5,3.3823974281147946e-10
18,333.7,4.3446307566327386e-10
19,333.9,2.3385407641231265e-10
20,334.1,2.5317881946366184e-10
21,334.3,4.755809522736767e-10
22,334.5,1.2151632892604093e-09
23,334.7,2.992813537213321e-09
24,334.9,6.574128528081057e-09
25,335.1,1.5913965257052187e-08
26,335.3,5.96512172869288e-07
27,335.5,1.2034896971465877e-08
28,335.7,3.1911017162829416e-09
29,335.9,1.7570632915032958e-09
30,336.1,1.375886051439177e-09
31,336.3,1.3273699583154779e-09
32,336.5,1.4399374401895479e-09
33,336.7,1.6506410189020451e-09
34,336.9,1.9670018261858073e-09
35,337.1,2.538739321150297e-09
36,337.3,3.947289705390813e-09
37,337.5,1.0380009222617774e-08
38,337.7,1.8397632991184815e-08
39,337.9,1.0570505799950867e-07
40,338.1,1.7318190513243573e-06
41,338.3,1.6373025254938794e-07
42,338.5,1.038478597211269e-07
43,338.7,1.4101145864482637e-07
44,338.9,4.160458534623196e-07
45,339.1,1.5527362449792834e-05
46,339.3,6.886305183093643e-07
47,339.5,1.8894765987886912e-07
48,339.7,1.0655069564687338e-07
49,339.9,8.545488821320127e-08
50,340.1,8.941804039644686e-08
51,340.3,1.220741866221072e-07
52,340.5,2.3397890554060732e-07
53,340.7,6.787770106548758e-07
54,340.9,1.5995292361327466e-06
55,341.1,9.202708877110069e-07
56,341.3,6.047897272249157e-07
57,341.5,5.90062437536279e-07
58,341.7,7.102897242399538e-07
59,341.9,8.328637348327286e-07
60,342.1,8.68650096832084e-07
61,342.3,9.62204415327975e-07
62,342.5,1.0787626340121961e-06
63,342.7,7.317260478863854e-07
64,342.9,3.2519236762933936e-07
65,343.1,1.5504314173551566e-07
66,343.3,8.826556038621093e-08
67,343.5,5.8953178764247265e-08
68,343.7,4.5438858460079314e-08
69,343.9,4.0600730686531375e-08
70,344.1,4.3212064425307946e-08
71,344.3,5.787713161755319e-08
72,344.5,1.0982287560561125e-07
73,344.7,4.354612256022764e-07
74,344.9,2.4082976312044665e-05
75,345.1,3.3150936820768927e-07
76,345.3,1.111173219750593e-07
77,345.5,6.864933174428432e-08
78,345.7,5.844040346517985e-08
79,345.9,1.0844758577270312e-07
80,346.1,6.69983019407386e-08
81,346.3,5.7960496054311544e-08
82,346.5,6.665612280192891e-08
83,346.7,1.0061564083955168e-07
84,346.9,2.6588548452669455e-07
85,347.1,9.583968229106865e-06
86,347.3,4.005267894355278e-07
87,347.5,3.283740468805537e-07
88,347.7,2.5261909189849886e-07
89,347.9,7.868047351641784e-08
90,348.1,6.652359938591762e-08
91,348.3,9.945740424512534e-08
92,348.5,4.938518403802916e-07
93,348.7,3.873543402484688e-07
94,348.9,9.481832623081803e-08
95,349.1,7.128598782816371e-08
96,349.3,9.124340329565439e-08
97,349.5,2.611451346429956e-07
98,349.7,5.577412144946262e-06
99,349.9,1.1664081294310944e-07
100,350.1,4.1583984502347645e-08
101,350.3,2.7716942424665094e-08
102,350.5,2.6223645074788208e-08
103,350.7,3.257216816517699e-08
104,350.9,4.942208537799973e-08
105,351.1,8.166397714235849e-08
106,351.3,1.3380068030498641e-07
107,351.5,2.362399699861972e-07
108,351.7,5.064130643527871e-07
109,351.9,7.536861857973518e-07
110,352.1,7.478991434228902e-07
111,352.3,5.860123167321192e-07
112,352.5,4.669886646910975e-07
113,352.7,6.751261510927486e-07
114,352.9,1.041129600550935e-06
115,353.1,9.130191734352543e-07
116,353.3,3.2255892192981226e-06
117,353.5,1.4392808926195032e-06
118,353.7,3.8391132961061885e-06
119,353.9,1.5955514182147514e-06
120,354.1,2.887890211389503e-07
121,354.3,1.6236730010785844e-07
122,354.5,1.760699293024058e-07
123,354.7,5.358773084253774e-07
124,354.9,7.690339813659267e-07
125,355.1,1.1238049306589517e-07
126,355.3,1.2367712044999143e-07
127,355.5,6.903899818611119e-07
128,355.7,2.0168961859079775e-06
129,355.9,2.1079367187721638e-07
130,356.1,1.1481890580096349e-07
131,356.3,1.3778624518167843e-07
132,356.5,3.891394850612572e-07
133,356.7,2.3303745725861447e-07
134,356.9,2.8326877353629083e-07
135,357.1,7.757580293423326e-07
136,357.3,1.0694267900873277e-05
137,357.5,4.532828178231317e-06
138,357.7,7.474120328830025e-07
139,357.9,3.2234750530224986e-07
140,358.1,1.996533197907586e-07
141,358.3,1.6015690905147052e-07
142,358.5,1.6533008107512432e-07
143,358.7,2.2797820811465342e-07
144,358.9,4.563730213615725e-07
145,359.1,1.288305421882527e-06
146,359.3,1.7339118668914733e-06
147,359.5,8.204894152463937e-07
148,359.7,2.371823844566855e-06
149,359.9,6.380380035782455e-07
150,360.1,1.3105558193815002e-06
151,360.3,1.161442858190507e-05
152,360.5,6.690580700832374e-07
153,360.7,2.1020210767896846e-07
154,360.9,1.2413720616819555e-07
155,361.1,1.0688075236256985e-07
156,361.3,1.2572515865835e-07
157,361.5,2.032675743447312e-07
158,361.7,4.753220906178526e-07
159,361.9,1.5904354464285609e-06
160,362.1,4.244438081569815e-06
161,362.3,1.5061898557197873e-05
162,362.5,9.411831229847235e-06
163,362.7,6.416693351994203e-07
164,362.9,1.776727511700453e-07
165,363.1,8.503762668678006e-08
166,363.3,5.76323384276174e-08
167,363.5,5.183002117294859e-08
168,363.7,6.205021481278885e-08
169,363.9,1.0388060287045234e-07
170,364.1,2.7743896419100823e-07
171,364.3,2.52127785942431e-06
172,364.5,1.8821008557147492e-06
173,364.7,2.128487460389286e-07
174,364.9,8.733756850193147e-08
175,365.1,5.304054297116234e-08
176,365.3,3.427608616533189e-08
177,365.5,2.0461378021830327e-08
178,365.7,1.1977694143016452e-08
179,365.9,7.612917783369786e-09
180,366.1,5.531710457450193e-09
181,366.3,4.670743764462823e-09
182,366.5,4.613900022029316e-09
