,wavelength,transmission
0,301.0,4.614701623942079e-10
1,302.0,7.13693078557551e-10
2,303.0,9.785494774867263e-10
3,304.0,1.2194822793156903e-09
4,305.0,1.6956631504739012e-09
5,306.0,2.052365671406057e-09
6,307.0,2.5424671589561746e-09
7,308.0,3.060088897177305e-09
8,309.0,3.4353534885557834e-09
9,310.0,4.209535674347588e-09
10,311.0,4.476908499068289e-09
11,312.0,4.9197499687289375e-09
12,313.0,5.367858078159165e-09
13,314.0,5.4674837106485745e-09
14,315.0,6.0304692210404265e-09
15,316.0,6.0443484699849645e-09
16,317.0,6.4275596222438065e-09
17,318.0,6.384075005839821e-09
18,319.0,6.955343411888294e-09
19,320.0,1.823851958649215e-08
20,321.0,1.1775565410135535e-08
21,322.0,2.0024338153713176e-08
22,323.0,1.5084228626638314e-08
23,324.0,2.310476006891148e-08
24,325.0,2.5271976974995504e-08
25,326.0,2.3059655626870147e-08
26,327.0,2.3441669699561665e-08
27,328.0,2.465793164838868e-08
28,329.0,1.0088933691543047e-08
29,330.0,2.6190324950690274e-08
30,331.0,4.1917332677571404e-08
31,332.0,1.2150605371674415e-08
32,333.0,2.425780492958675e-08
33,334.0,3.3532996788563294e-08
34,335.0,1.4814708038846928e-08
35,336.0,3.096171214201436e-08
36,337.0,1.6461706833227238e-08
37,338.0,4.811630051805179e-08
38,339.0,3.241901646736044e-08
39,340.0,1.0267025154669014e-07
40,341.0,3.513837196428068e-08
41,342.0,6.549910737754467e-08
42,343.0,7.789358073620981e-08
43,344.0,5.61036289230222e-08
44,345.0,6.05603197532528e-08
45,346.0,6.951996089023393e-08
46,347.0,4.91924450982405e-08
47,348.0,3.252861678582054e-08
48,349.0,3.434967502814333e-08
49,350.0,1.282214284638628e-07
50,351.0,6.347829992201956e-08
51,352.0,5.45968075649023e-08
52,353.0,1.56593199416456e-07
53,354.0,1.4189324111477798e-07
54,355.0,1.90340261219174e-07
55,356.0,2.1130222252313467e-07
56,357.0,3.8090367325479875e-07
57,358.0,3.6622934212351775e-07
58,359.0,1.133987284176746e-06
59,360.0,8.118549431088316e-07
60,361.0,4.342429739925851e-07
61,362.0,5.905499448301041e-07
62,363.0,1.2464545579590117e-07
63,364.0,9.018531231785604e-08
64,365.0,9.375260259916288e-08
65,366.0,1.9958074886585516e-07
66,367.0,1.1236620957180213e-07
67,368.0,1.4293831641949102e-07
68,369.0,2.1552356220584665e-07
69,370.0,1.7121739988689988e-07
70,371.0,1.782434124636897e-07
71,372.0,8.149564280318286e-07
72,373.0,3.823036624105479e-07
73,374.0,2.3773857281502486e-07
74,375.0,1.3829098878974278e-07
75,376.0,1.441636720910289e-07
76,377.0,1.5010126257439234e-07
77,378.0,1.5607813048931746e-07
78,379.0,2.3252819632017911e-07
79,380.0,1.6830435392279094e-07
80,381.0,3.2459022021236114e-07
81,382.0,2.586158212643537e-07
82,383.0,2.592371180047925e-07
83,384.0,3.137278007684507e-07
84,385.0,2.2025214804725066e-07
85,386.0,2.038882645619041e-07
86,387.0,2.099584288090064e-07
87,388.0,2.1609573557357714e-07
88,389.0,2.355197209017603e-07
89,390.0,3.2653573941358397e-07
90,391.0,2.3468478184769063e-07
91,392.0,3.3011867258870134e-07
92,393.0,7.051560783532619e-07
93,394.0,5.917221435667679e-07
94,395.0,5.057736889899924e-07
95,396.0,2.623664044930738e-07
96,397.0,2.680637352123594e-07
97,398.0,2.738326146962386e-07
98,399.0,8.976977080404122e-07
99,400.0,4.062245561072594e-06
100,401.0,3.235000871238608e-07
101,402.0,3.6383953924892496e-07
