RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS12,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
189.382304,27.459664,1,+,3,J123731.75+272734.7,,2004.9733,3,24.002,0.838,25.336,0.660,22.487,0.204,23.339,0.549,21.435,0.524,,-9999.0000,-9999.0000,0.3978
189.385056,27.464079,1,+,3,J123732.41+272750.6,,2004.9733,3,26.202,0.466,24.023,0.488,22.284,0.189,22.949,0.465,21.455,0.584,,0.5939,0.0858,0.3878
189.368376,27.451088,1,,3,J123728.41+272703.9,,2004.9733,3,21.837,0.285,22.554,0.237,21.721,0.192,20.705,0.120,21.776,1.267,,0.5686,0.1328,0.3435
189.384146,27.446289,1,,3,J123732.19+272646.6,,2004.9733,3,26.272,0.380,24.826,0.651,23.344,0.417,21.818,0.159,21.668,0.614,,0.6531,0.0699,0.6429
189.329581,27.458624,1,+,3,J123719.09+272731.0,*,2004.9733,3,25.753,1.446,22.965,0.441,21.006,0.128,19.959,0.076,19.140,0.164,,0.5687,0.0337,0.5758
189.329721,27.457976,1,,6,J123719.13+272728.7,,2004.9733,3,23.669,0.599,23.800,0.334,23.095,0.289,22.599,0.261,21.685,0.517,,,,
189.328802,27.447975,1,+,6,J123718.91+272652.7,,2004.9733,3,25.190,0.703,22.940,0.159,21.879,0.098,20.539,0.042,19.874,0.108,,,,
189.335133,27.458745,1,+,6,J123720.43+272731.4,*,2004.9733,3,22.608,0.265,22.217,0.086,21.497,0.070,21.275,0.078,21.119,0.311,,,,
189.336039,27.457743,1,+,6,J123720.64+272727.8,,2004.9733,3,24.670,0.837,22.854,0.157,22.297,0.150,21.790,0.133,21.080,0.328,,,,
189.334602,27.460640,1,+,3,J123720.30+272738.3,,2004.9733,3,24.602,0.952,23.219,0.233,22.334,0.171,21.894,0.165,21.129,0.379,,0.4168,0.1545,0.4822
189.338486,27.445632,1,,6,J123721.23+272644.2,,2004.9733,3,24.420,0.800,23.146,0.190,24.512,0.653,25.239,0.462,24.373,0.353,,,,
189.341771,27.445477,1,,3,J123722.02+272643.7,,2004.9733,3,23.666,0.660,22.776,0.156,25.109,0.750,23.404,0.531,22.915,0.916,,0.8487,0.1717,0.5543
189.349643,27.455215,1,,6,J123723.91+272718.7,,2004.9733,3,23.418,0.490,23.161,0.191,23.360,0.341,23.116,0.364,22.804,0.792,,,,
189.357599,27.447804,1,+,3,J123725.82+272652.0,,2004.9733,3,22.737,0.391,22.226,0.115,21.236,0.079,20.928,0.086,20.592,0.293,,0.4313,0.0931,0.4176
189.327806,27.453184,1,+,3,J123718.67+272711.4,,2004.9733,3,22.518,0.818,23.102,0.621,20.989,0.157,20.416,0.142,20.390,0.631,,0.4079,0.0523,0.4253
189.351494,27.453660,1,+,3,J123724.35+272713.1,,2004.9733,3,24.000,0.839,23.568,0.319,22.303,0.174,21.918,0.175,21.654,0.607,,0.3991,0.0901,0.4324
189.322747,27.451958,1,,6,J123717.45+272707.0,,2004.9733,3,26.040,0.386,25.279,0.561,25.289,0.610,22.185,0.173,24.000,0.469,,,,
189.344527,27.445054,1,,6,J123722.68+272642.1,,2004.9733,3,25.431,0.628,25.400,0.555,24.400,0.658,22.306,0.199,24.171,0.434,,,,
189.345687,27.458379,1,,6,J123722.96+272730.1,,2004.9733,3,25.408,0.651,23.929,0.365,23.285,0.339,22.234,0.193,21.648,0.512,,,,
189.354823,27.449776,1,,3,J123725.15+272659.1,*,2004.9733,3,24.706,1.360,23.472,0.416,22.295,0.243,21.477,0.170,22.772,1.436,,0.7596,0.1231,0.3594
189.326542,27.445908,1,,3,J123718.37+272645.2,,2004.9733,3,21.422,0.476,21.123,0.159,21.667,0.464,23.256,2.888,20.390,1.003,,-9999.0000,-9999.0000,0.3682
189.331928,27.446599,1,,3,J123719.66+272647.7,,2004.9733,3,26.984,0.358,22.428,0.194,23.127,0.596,22.487,0.520,20.917,0.573,,0.8908,0.1905,0.4620
189.343884,27.456397,1,,3,J123722.53+272723.0,,2004.9733,3,25.702,0.694,23.930,0.463,24.527,0.899,21.979,0.209,21.835,0.759,,-9999.0000,-9999.0000,0.5704
189.342185,27.466682,1,+,6,J123722.12+272800.0,*,2004.9733,3,16.455,0.006,15.245,0.003,14.842,0.003,14.715,0.004,14.694,0.004,,,,
189.344563,27.463259,1,,3,J123722.69+272747.7,,2004.9733,3,24.396,0.847,23.511,0.275,23.358,0.373,22.087,0.180,21.774,0.576,,0.6243,0.1123,0.7005
189.357686,27.473150,1,+,6,J123725.84+272823.3,*,2004.9733,3,16.158,0.006,14.920,0.003,14.498,0.003,14.828,0.003,14.357,0.004,,,,
189.360409,27.470422,1,+,3,J123726.49+272813.5,*,2004.9733,3,21.875,0.163,21.172,0.040,20.481,0.034,20.191,0.036,20.193,0.163,,0.3064,0.1127,0.2972
189.355876,27.474850,1,,3,J123725.41+272829.4,,2004.9733,3,24.996,0.854,25.656,0.562,24.519,0.755,22.239,0.218,22.604,0.885,,0.7565,0.0986,0.5327
189.347394,27.473344,1,,6,J123723.37+272824.0,,2004.9733,3,22.473,0.243,26.471,0.293,24.167,0.574,24.321,0.627,24.065,0.449,,,,
189.347993,27.461376,1,+,3,J123723.51+272740.9,,2004.9733,3,23.312,0.758,22.447,0.167,21.732,0.146,21.124,0.125,20.614,0.363,,0.6279,0.1525,0.5900
189.352450,27.458157,1,+,3,J123724.58+272729.3,,2004.9733,3,22.828,0.414,22.667,0.167,21.968,0.144,21.759,0.171,22.093,0.890,,0.5546,0.1268,0.3247
189.352484,27.460155,1,+,3,J123724.59+272736.5,*,2004.9733,3,24.334,0.938,23.024,0.203,22.297,0.173,21.708,0.145,21.795,0.661,,0.4567,0.1640,0.4767
189.354534,27.468348,1,+,3,J123725.08+272806.0,*,2004.9733,3,23.039,0.555,21.467,0.066,21.212,0.083,20.807,0.084,21.370,0.612,,0.1595,0.0901,0.1623
189.359160,27.487593,1,+,6,J123726.19+272915.3,*,2004.9733,3,23.275,0.506,22.591,0.132,21.352,0.071,20.071,0.034,19.411,0.084,,,,
189.354440,27.476102,1,+,3,J123725.06+272833.9,,2004.9733,3,24.396,1.119,23.122,0.257,22.188,0.185,21.733,0.183,21.426,0.613,,0.6384,0.1097,0.4660
189.345895,27.470241,1,,6,J123723.01+272812.8,,2004.9733,3,23.962,0.681,23.845,0.329,25.194,0.630,22.375,0.202,22.052,0.622,,,,
189.350999,27.464781,1,,3,J123724.23+272753.2,,2004.9733,3,24.745,0.968,24.124,0.481,23.244,0.385,21.954,0.180,23.106,0.952,,0.2484,0.1391,0.4004
189.352744,27.464468,1,,3,J123724.65+272752.0,,2004.9733,3,24.142,1.430,24.177,0.796,23.393,0.703,21.884,0.281,24.816,0.503,,-9999.0000,-9999.0000,0.3422
189.369694,27.472081,1,+,3,J123728.72+272819.4,,2004.9733,3,23.287,0.691,21.210,0.053,20.101,0.034,19.715,0.035,19.166,0.095,,0.3150,0.0914,0.3438
189.392917,27.473335,1,,6,J123734.30+272824.0,*,2004.9733,3,22.358,0.220,20.253,0.019,18.907,0.011,17.634,0.007,16.956,0.012,,,,
189.394894,27.472409,1,,6,J123734.77+272820.6,,2004.9733,3,24.880,0.814,23.013,0.171,23.344,0.352,22.214,0.189,21.937,0.634,,,,
189.396027,27.457374,1,+,3,J123735.04+272726.5,,2004.9733,3,21.005,0.133,19.526,0.017,18.691,0.014,18.249,0.014,18.050,0.046,,0.1725,0.0301,0.1717
189.400441,27.477448,1,+,6,J123736.10+272838.8,,2004.9733,3,23.014,0.372,21.826,0.062,20.536,0.033,19.506,0.020,19.032,0.056,,,,
189.401755,27.455047,1,,3,J123736.42+272718.1,,2004.9733,3,22.518,0.300,22.694,0.157,22.855,0.294,22.451,0.294,21.576,0.617,,-9999.0000,-9999.0000,0.5577
189.402909,27.449622,1,+,3,J123736.69+272658.6,,2004.9733,3,25.153,1.167,22.733,0.202,21.762,0.144,20.972,0.106,20.570,0.341,,0.5672,0.1078,0.5679
189.407512,27.484041,1,+,3,J123737.80+272902.5,,2004.9733,3,26.142,0.506,22.810,0.189,21.342,0.086,20.543,0.062,19.779,0.146,,0.5431,0.0537,0.5137
189.410925,27.465973,1,+,3,J123738.62+272757.5,,2004.9733,3,22.568,0.385,21.053,0.046,20.265,0.038,19.776,0.036,19.414,0.118,,0.2724,0.1202,0.2856
189.410442,27.457193,1,+,3,J123738.50+272725.8,,2004.9733,3,26.746,0.467,22.480,0.215,21.799,0.194,21.730,0.269,21.698,1.144,,0.3602,0.1158,0.2124
189.415897,27.465512,1,+,3,J123739.81+272755.8,,2004.9733,3,23.008,0.626,22.429,0.170,21.806,0.165,21.334,0.165,23.077,1.477,,-9999.0000,-9999.0000,0.1970
189.425054,27.469204,1,+,3,J123742.01+272809.1,*,2004.9733,3,22.359,0.585,20.987,0.075,20.659,0.096,20.224,0.102,20.546,0.599,,0.0951,0.0581,0.1506
189.405242,27.459035,1,,6,J123737.25+272732.5,,2004.9733,3,26.335,0.289,25.813,0.444,22.777,0.210,24.460,0.617,22.075,0.656,,,,
189.399095,27.460919,1,,3,J123735.78+272739.3,,2004.9733,3,23.740,0.681,24.246,0.478,23.878,0.578,21.981,0.174,20.900,0.321,,-9999.0000,-9999.0000,0.7008
189.416450,27.474481,1,,3,J123739.94+272828.1,,2004.9733,3,26.194,0.426,25.198,0.667,22.876,0.285,21.769,0.160,22.578,0.998,,0.4845,0.1076,0.4394
189.420655,27.466803,1,,3,J123740.95+272800.4,,2004.9733,3,26.119,0.409,25.190,0.611,23.325,0.374,21.884,0.155,21.473,0.503,,0.7065,0.0415,0.6404
189.408487,27.492797,1,+,6,J123738.03+272934.0,*,2004.9733,3,18.146,0.014,16.660,0.004,16.076,0.004,15.861,0.004,15.793,0.006,,,,
189.410628,27.491353,1,+,3,J123738.55+272928.8,,2004.9733,3,21.179,0.121,20.562,0.032,19.482,0.020,19.034,0.020,18.736,0.064,,0.3655,0.0676,0.3549
189.423051,27.504481,1,+,6,J123741.53+273016.1,*,2004.9733,3,18.135,0.014,15.562,0.003,14.210,0.003,16.127,0.014,13.351,0.003,,,,
189.423569,27.506649,1,,3,J123741.65+273023.9,,2004.9733,3,24.542,0.905,24.777,0.575,23.630,0.471,21.704,0.133,21.894,0.660,,0.8367,0.0913,0.5771
189.419004,27.502785,1,,3,J123740.56+273010.0,,2004.9733,3,23.643,0.622,24.895,0.579,23.816,0.520,22.485,0.253,21.304,0.416,,0.7478,0.0947,0.6805
189.437945,27.480063,1,,3,J123745.10+272848.2,,2004.9733,3,23.429,0.498,22.830,0.136,23.531,0.381,23.668,0.520,22.145,0.683,,-9999.0000,-9999.0000,0.4341
189.418350,27.478596,1,+,3,J123740.40+272842.9,,2004.9733,3,23.816,1.084,21.844,0.099,20.009,0.033,19.273,0.027,18.801,0.076,,0.4369,0.0225,0.4514
189.420891,27.498085,1,+,6,J123741.01+272953.1,,2004.9733,3,23.008,0.367,22.549,0.111,21.917,0.101,21.665,0.112,21.994,0.631,,,,
189.423524,27.483221,1,+,6,J123741.64+272859.5,,2004.9733,3,25.236,0.679,23.145,0.182,22.745,0.207,22.114,0.166,22.760,0.833,,,,
189.426380,27.509154,1,,3,J123742.33+273032.9,*,2004.9733,3,23.265,0.920,22.164,0.160,20.806,0.078,19.935,0.054,19.994,0.260,,0.5031,0.0839,0.5100
189.427111,27.508268,1,,6,J123742.50+273029.7,,2004.9733,3,24.037,0.709,24.421,0.450,23.474,0.366,22.048,0.153,21.843,0.562,,,,
189.427386,27.506007,1,,3,J123742.57+273021.6,,2004.9733,3,25.957,1.112,21.925,0.151,22.527,0.443,21.302,0.233,21.177,0.906,,-9999.0000,-9999.0000,0.3824
189.432244,27.483279,1,+,6,J123743.73+272859.8,,2004.9733,3,26.091,0.464,23.999,0.441,22.052,0.141,20.789,0.067,20.122,0.175,,,,
189.430486,27.483879,1,+,3,J123743.31+272901.9,*,2004.9733,3,23.719,0.782,22.344,0.118,21.102,0.066,20.552,0.099,20.102,0.182,,0.4048,0.0952,0.4124
189.433380,27.495484,1,+,3,J123744.01+272943.7,,2004.9733,3,21.312,0.210,19.855,0.026,19.103,0.023,18.821,0.027,18.563,0.095,,0.1574,0.0543,0.1416
189.435975,27.493455,1,,3,J123744.63+272936.4,,2004.9733,3,23.825,0.846,22.769,0.168,23.155,0.380,22.498,0.323,22.984,1.073,,0.2894,0.1383,0.2644
189.418102,27.481068,1,+,6,J123740.34+272851.8,,2004.9733,3,25.676,0.548,25.396,0.560,22.156,0.133,21.665,0.122,20.894,0.292,,,,
189.427700,27.482847,1,+,3,J123742.64+272858.2,,2004.9733,3,24.954,1.021,22.895,0.191,21.523,0.095,20.628,0.063,21.288,0.515,,0.3793,0.1125,0.4028
189.438845,27.485877,1,+,3,J123745.32+272909.1,,2004.9733,3,25.288,0.737,24.053,0.396,22.562,0.194,21.721,0.133,21.186,0.390,,0.5531,0.0556,0.5416
189.441577,27.489904,1,,6,J123745.97+272923.6,,2004.9733,3,24.260,0.750,24.011,0.349,23.007,0.247,22.060,0.154,21.566,0.468,,,,
189.426605,27.489185,1,,3,J123742.38+272921.0,,2004.9733,3,25.995,0.488,24.258,0.496,22.776,0.254,22.108,0.201,21.556,0.559,,0.5040,0.0675,0.4611
189.386892,27.489052,1,+,6,J123732.85+272920.5,,2004.9733,3,19.940,0.038,18.969,0.009,18.693,0.009,18.548,0.011,18.504,0.036,,,,
189.371237,27.488222,1,+,3,J123729.09+272917.6,*,2004.9733,3,21.939,0.173,21.599,0.056,21.317,0.068,20.829,0.063,20.422,0.202,,0.7584,0.1586,0.6786
189.369560,27.489261,1,,6,J123728.69+272921.3,,2004.9733,3,23.829,0.639,23.490,0.243,23.444,0.359,22.106,0.158,21.503,0.435,,,,
189.376421,27.486300,1,+,6,J123730.34+272910.6,,2004.9733,3,21.985,0.164,20.673,0.026,20.287,0.027,20.134,0.031,20.111,0.137,,,,
189.381947,27.480172,1,+,3,J123731.66+272848.6,,2004.9733,3,22.490,0.337,21.645,0.073,20.576,0.047,20.018,0.042,19.868,0.167,,0.4421,0.1081,0.4422
189.384055,27.490479,1,+,3,J123732.17+272925.7,,2004.9733,3,23.632,0.950,22.453,0.168,21.830,0.159,22.119,0.305,21.402,0.711,,0.3965,0.0879,0.3298
189.384389,27.494335,1,,3,J123732.25+272939.6,,2004.9733,3,25.775,0.691,22.737,0.179,22.933,0.343,22.395,0.311,23.853,0.778,,-9999.0000,-9999.0000,0.1972
189.385718,27.480961,1,+,3,J123732.57+272851.4,,2004.9733,3,22.812,0.496,21.956,0.109,20.825,0.067,20.323,0.063,20.266,0.266,,0.4356,0.0972,0.4361
189.389008,27.477497,1,+,3,J123733.36+272838.9,*,2004.9733,3,26.028,0.730,22.279,0.149,20.810,0.068,19.844,0.044,19.972,0.219,,0.5073,0.0828,0.4980
189.389975,27.499775,1,+,3,J123733.59+272959.1,,2004.9733,3,23.104,0.464,22.451,0.118,21.800,0.106,21.354,0.102,21.637,0.571,,0.5410,0.1509,0.3922
189.389734,27.485095,1,+,3,J123733.53+272906.3,*,2004.9733,3,23.849,1.096,22.240,0.139,21.796,0.152,21.493,0.170,21.859,0.994,,0.3159,0.1280,0.1897
189.390179,27.484141,1,,6,J123733.64+272902.9,,2004.9733,3,24.848,0.773,25.179,0.551,24.941,0.661,22.521,0.226,21.534,0.453,,,,
189.392279,27.495810,1,,6,J123734.14+272944.9,,2004.9733,3,23.098,0.381,23.332,0.214,23.886,0.486,23.966,0.581,21.188,0.341,,,,
189.396950,27.494772,1,+,6,J123735.26+272941.1,,2004.9733,3,24.019,0.751,22.209,0.088,20.857,0.044,19.692,0.024,19.134,0.063,,,,
