RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS12,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
189.398483,27.489667,1,+,3,J123735.63+272922.8,,2004.9733,3,22.441,0.459,21.691,0.103,20.796,0.080,20.695,0.114,22.043,1.395,,0.6746,0.0805,0.1413
189.387215,27.503804,1,+,3,J123732.93+273013.6,,2004.9733,3,22.901,0.362,24.103,0.411,22.615,0.198,22.869,0.337,22.446,0.821,,0.1978,0.0664,0.4202
189.392865,27.492054,1,+,3,J123734.28+272931.3,,2004.9733,3,25.184,1.068,23.302,0.302,22.164,0.186,22.091,0.255,21.641,0.743,,0.3055,0.1020,0.3746
189.369362,27.496141,1,,6,J123728.64+272946.1,,2004.9733,3,24.011,0.749,25.281,0.577,23.880,0.517,22.103,0.171,22.326,0.757,,,,
189.376774,27.476371,1,,6,J123730.42+272834.9,,2004.9733,3,23.938,0.694,25.509,0.531,24.216,0.605,22.227,0.184,24.012,0.494,,,,
189.380584,27.482347,1,,3,J123731.34+272856.4,,2004.9733,3,27.699,1.233,21.130,0.359,20.458,0.340,18.953,0.136,19.254,0.811,,0.7969,0.1318,0.5016
189.417338,27.504874,1,+,3,J123740.16+273017.5,,2004.9733,3,24.636,0.951,22.784,0.157,21.447,0.080,21.051,0.081,21.219,0.430,,0.3287,0.1012,0.3309
189.398132,27.522782,1,+,6,J123735.55+273122.0,*,2004.9733,3,21.011,0.078,18.958,0.009,18.114,0.007,17.769,0.007,17.593,0.018,,,,
189.398666,27.523686,1,,6,J123735.67+273125.2,,2004.9733,3,23.799,0.702,22.943,0.168,22.185,0.138,21.728,0.130,21.567,0.507,,,,
189.401727,27.525926,1,+,6,J123736.41+273133.3,*,2004.9733,3,19.815,0.035,17.263,0.004,15.857,0.004,15.018,0.004,14.600,0.004,,,,
189.388201,27.514845,1,+,3,J123733.16+273053.4,,2004.9733,3,24.047,1.458,20.904,0.052,19.975,0.038,19.590,0.040,19.242,0.129,,0.2369,0.1069,0.2302
189.392994,27.509182,1,+,3,J123734.31+273033.0,,2004.9733,3,22.535,0.362,21.526,0.067,20.416,0.042,19.768,0.035,19.277,0.100,,0.4471,0.1058,0.4953
189.396058,27.518466,1,+,3,J123735.05+273106.4,,2004.9733,3,23.169,0.626,22.124,0.114,20.728,0.055,19.988,0.042,19.537,0.126,,0.4491,0.0706,0.4831
189.398932,27.507145,1,+,3,J123735.74+273025.7,,2004.9733,3,24.260,0.945,22.917,0.181,22.064,0.139,22.375,0.258,22.005,0.764,,0.3079,0.0738,0.3168
189.404898,27.506896,1,+,3,J123737.17+273024.8,,2004.9733,3,22.486,0.379,21.714,0.087,20.905,0.077,20.819,0.099,20.299,0.275,,0.3542,0.0903,0.3487
189.409631,27.509950,1,+,3,J123738.31+273035.8,,2004.9733,3,25.231,1.192,22.126,0.125,20.461,0.048,19.866,0.042,19.331,0.119,,0.3906,0.0446,0.4020
189.390646,27.515579,1,+,3,J123733.75+273056.0,,2004.9733,3,25.831,0.529,23.361,0.244,22.573,0.198,21.714,0.132,22.455,0.853,,0.4385,0.1419,0.3497
189.396035,27.509781,1,+,3,J123735.04+273035.2,,2004.9733,3,22.473,0.597,22.348,0.233,21.100,0.128,21.045,0.181,21.115,0.885,,0.3572,0.0777,0.3976
189.414243,27.513305,1,,3,J123739.41+273047.8,,2004.9733,3,24.786,0.883,25.258,0.604,22.385,0.172,24.674,0.710,24.419,0.398,,0.0624,0.0889,0.3429
189.419493,27.507733,1,+,3,J123740.67+273027.8,,2004.9733,3,25.140,0.907,23.222,0.242,22.168,0.159,22.083,0.214,21.865,0.744,,0.3457,0.1088,0.3460
189.395854,27.501731,1,,3,J123735.00+273006.2,,2004.9733,3,26.199,0.484,24.102,0.531,23.266,0.449,21.418,0.131,21.033,0.428,,0.4361,0.1007,0.6603
189.403235,27.500255,1,,6,J123736.77+273000.9,,2004.9733,3,24.962,0.767,25.092,0.543,23.892,0.485,22.385,0.202,21.511,0.435,,,,
189.410931,27.522527,1,,3,J123738.62+273121.0,,2004.9733,3,24.004,0.773,24.674,0.554,22.849,0.246,21.610,0.119,21.245,0.395,,0.6649,0.0432,0.6196
189.396047,27.515080,1,,6,J123735.05+273054.2,,2004.9733,3,25.806,0.469,25.147,0.546,25.271,0.603,23.481,0.465,20.484,0.188,,,,
189.485759,27.474502,1,+,6,J123756.58+272828.2,*,2004.9733,3,22.224,0.195,19.682,0.013,18.227,0.007,17.198,0.006,16.667,0.010,,,,
189.479565,27.471454,1,+,3,J123755.09+272817.2,,2004.9733,3,22.462,0.372,21.598,0.076,21.132,0.083,20.947,0.105,20.955,0.487,,0.2967,0.1171,0.2458
189.486135,27.456988,1,+,3,J123756.67+272725.1,,2004.9733,3,24.161,0.903,22.962,0.187,21.395,0.079,20.786,0.067,20.673,0.287,,0.4155,0.0723,0.3919
189.487024,27.463904,1,+,6,J123756.88+272750.0,,2004.9733,3,25.137,0.712,22.361,0.090,20.918,0.043,19.583,0.020,18.840,0.047,,,,
